target_channel,roi_prior_mu,channel,estimated_roi
meta,0.2,meta,0.093531034886837
meta,0.2,google,0.05846856161952019
meta,0.2,snapchat,0.10465685278177261
meta,0.4,meta,0.1047399640083313
meta,0.4,google,0.0668540969491005
meta,0.4,snapchat,0.0894303247332573
meta,0.6,meta,0.09881845861673355
meta,0.6,google,0.05909004062414169
meta,0.6,snapchat,0.09728041291236877
meta,0.8,meta,0.10488095134496689
meta,0.8,google,0.051973264664411545
meta,0.8,snapchat,0.1052171140909195
google,0.2,meta,0.0898340716958046
google,0.2,google,0.06196143478155136
google,0.2,snapchat,0.09493960440158844
google,0.4,meta,0.1047399640083313
google,0.4,google,0.0668540969491005
google,0.4,snapchat,0.0894303247332573
google,0.6,meta,0.09372347593307495
google,0.6,google,0.0671112984418869
google,0.6,snapchat,0.09271331876516342
google,0.8,meta,0.09774143993854523
google,0.8,google,0.06474275141954422
google,0.8,snapchat,0.09839548915624619
snapchat,0.2,meta,0.10998155176639557
snapchat,0.2,google,0.06829557567834854
snapchat,0.2,snapchat,0.10807369649410248
snapchat,0.4,meta,0.1047399640083313
snapchat,0.4,google,0.0668540969491005
snapchat,0.4,snapchat,0.0894303247332573
snapchat,0.6,meta,0.09385755658149719
snapchat,0.6,google,0.05814940854907036
snapchat,0.6,snapchat,0.10696498304605484
snapchat,0.8,meta,0.09590141475200653
snapchat,0.8,google,0.05872449278831482
snapchat,0.8,snapchat,0.10926170647144318
