run_id,prior_key,channel,estimated_roi
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,-0.030660229
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,-0.006796887
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,0.035834536
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,-0.0073099397
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,0.021455728
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,0.021011261
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,0.020987097
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,0.27334133
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,0.031111874
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,0.02259925
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,0.037552167
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,0.048138693
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,0.021207612
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,0.020783639
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,0.020947669
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,0.17972049
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",meta,-0.03032168
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",google,-0.0060764565
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",snapchat,0.033312626
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",tiktok,-0.008039105
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",moloco,0.024695016
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",liveintent,0.022452563
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",beehiiv,0.022851301
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",amazon,0.2722773
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",meta,0.031102085
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",google,0.022679938
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",snapchat,0.03758616
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",tiktok,0.04694884
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",moloco,0.022105724
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",liveintent,0.019336492
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",beehiiv,0.02135442
"multi|beehiiv,liveintent,moloco|0.020759|0.016722|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",amazon,0.17604087
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",meta,-0.03317059
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",google,-0.0074411454
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",snapchat,0.03676043
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",tiktok,-0.0064407573
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",moloco,0.03290005
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",liveintent,0.027257262
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",beehiiv,0.02810632
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",amazon,0.26767063
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",meta,0.031644408
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",google,0.022685692
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",snapchat,0.03791095
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",tiktok,0.04809864
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",moloco,0.020449959
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",liveintent,0.016891066
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",beehiiv,0.023685955
"multi|beehiiv,liveintent,moloco|0.020759|0.033445|LogNormal","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",amazon,0.18030894
"multi|beehiiv,liveintent,moloco|0.051898|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",meta,-0.037575398
"multi|beehiiv,liveintent,moloco|0.051898|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",google,-0.012624968
"multi|beehiiv,liveintent,moloco|0.051898|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",snapchat,0.03965821
"multi|beehiiv,liveintent,moloco|0.051898|0.006689|Normal","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",tiktok,-0.01031943
