run_id,prior_key,channel,estimated_roi
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,-0.04907692
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,-0.02478367
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,0.019847877
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,-0.0364719
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,0.09542057
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,0.3316077
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,0.28274548
multi|snapchat|0.020759|0.006689|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,0.37593523
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,0.031378046
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,0.020949405
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,0.01841812
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,0.04376455
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,0.097539335
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,0.11772683
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,0.18316998
multi|snapchat|0.020759|0.006689|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,0.16854495
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",meta,-0.050040737
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",google,-0.024327291
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",snapchat,0.017165389
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",tiktok,-0.034386445
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",moloco,0.095217176
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",liveintent,0.34037468
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",beehiiv,0.2849894
multi|snapchat|0.020759|0.016722|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",amazon,0.37160993
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",meta,0.031742733
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",google,0.021672754
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",snapchat,0.013140019
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",tiktok,0.043627035
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",moloco,0.098173216
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",liveintent,0.12198918
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",beehiiv,0.1839795
multi|snapchat|0.020759|0.016722|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",amazon,0.16720742
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",meta,-0.04750479
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",google,-0.025363754
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",snapchat,0.013609342
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",tiktok,-0.033317048
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",moloco,0.09237487
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",liveintent,0.35871372
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",beehiiv,0.28695983
multi|snapchat|0.020759|0.033445|Normal,"{""snapchat"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",amazon,0.37856156
multi|snapchat|0.020759|0.033445|LogNormal,"{""snapchat"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",meta,0.03174218
