run_id,targets,prior_key,channel,qc_status_code,qc_summary_short,qc_primary_review_check,qc_flagged_channels,roi_baseline,roi_new,delta_abs,delta_pct,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,analysis_stage,run_mode,prior_mode_used,kpi_type,kpi_type_effective,outcome_col_used,revenue_per_kpi,target_channels,sweep_type,two_layer_enabled,prior_design_mode,prior_grid_type,prior_design_label,roi_mu,roi_sigma,roi_dist,qc_scope,qc_target_channels,gate_mode,gate_matched_count,gate_missing_count,gate_warning,data_tag,input_data_csv,roi_prior_mu,roi_prior_sigma,roi_prior_dist,roi_baseline_sd,roi_baseline_p05,roi_baseline_p50,roi_baseline_p95,roi_new_sd,roi_new_p05,roi_new_p50,roi_new_p95,ci_overlap_baseline_new,prior_roi_mu_channel,prior_roi_sigma_channel,prior_roi_dist_channel,prior_posterior_kl_gaussian,prior_posterior_wasserstein,channel_total_spend,incremental_outcome_baseline,incremental_outcome_new,delta_outcome,delta_outcome_abs,dollars_per_subscription,incremental_value_baseline,incremental_value_new,delta_value,delta_value_abs,is_baseline,target_channel,is_target_channel,roi_change_pct,roi_change_signed_pct,roi_change_pct_unreliable_baseline,contribution_change_pct,contribution_change_signed_pct,output_change_pct,signed_output_change_pct,output_change_delta_fallback,output_change,output_change_method,input_mu_pct,input_sigma_pct,input_dist_change,mu_only,sigma_only,dist_only,input_change,joint_continuous,elasticity_mu,elasticity_sigma,elasticity_joint,elasticity_any,dist_sensitivity,in_target_set,flagged_this_channel,sign_flip
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 1.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",google,PASS,PASS,,,0.2173753125499934,0.0710761134921146,0.1462991990578788,0.6730258249737167,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,0.5,1.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,0.5,1.5,LogNormal,0.1141985652415083,0.0764339379966259,0.1931566521525383,0.4313608959317207,0.0688474056017008,0.0066317851655185,0.048236871138215,0.2117820814251899,0.3186693353427055,0.5,1.5,LogNormal,2.623264659112595,0.3642342382433049,1757726.9300000002,382086.4407862904,124932.39876482618,-257154.0420214642,257154.0420214642,100.0,38208644.07862904,12493239.87648262,-25715404.20214642,25715404.20214642,False,google,True,0.6730258249737167,-0.6730258249737167,False,0.6730258249737165,-0.6730258249737165,0.6730258249737167,-0.6730258249737167,0.5146338582117386,0.6730258249737167,percent_roi_or_contribution,0.5,0.5,0,False,False,False,1.0,True,,,0.6730258249737167,0.6730258249737167,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 1.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",meta,PASS,PASS,,,0.6286957863283654,0.699620696529746,0.0709249102013805,0.1128127653210273,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,0.5,1.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,0.5,1.5,LogNormal,0.1752713553414357,0.3437986373901367,0.6255695819854736,0.914747294783592,0.1840566513747936,0.385001915693283,0.6976633369922638,0.9817198783159256,0.830424424058229,1.0,1.0,LogNormal,1.2545639692887078,0.4584549787222032,2011876.73,1264858.4227630906,1407550.5991745878,142692.17641149717,142692.17641149717,100.0,126485842.27630906,140755059.91745877,14269217.641149716,14269217.641149716,False,google,False,0.11281276532102726,0.11281276532102726,False,0.11281276532102723,0.11281276532102723,0.11281276532102724,0.11281276532102724,0.10689083291376941,0.11281276532102724,percent_roi_or_contribution,0.5,0.5,0,False,False,False,1.0,True,,,0.11281276532102724,0.11281276532102724,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 1.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",tiktok,PASS,PASS,,,0.1217829295434057,0.1231622724219535,0.0013793428785478,0.0113262415653763,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,0.5,1.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,0.5,1.5,LogNormal,0.0578294023805826,0.0474718268960714,0.1112487278878688,0.2323891542851924,0.060509895408664,0.0472180189564824,0.1105929277837276,0.2392392344772815,0.963004670539081,1.0,1.0,LogNormal,2.691201290819411,0.8642282993303234,1196397.23,145700.75956701575,147351.00156613055,1650.2419991148054,1650.2419991148054,100.0,14570075.956701577,14735100.156613056,165024.19991148077,165024.19991148077,False,google,False,0.011326241565376255,0.011326241565376255,False,0.011326241565376115,0.011326241565376115,0.011326241565376184,0.011326241565376184,0.011262579938367288,0.011326241565376184,percent_roi_or_contribution,0.5,0.5,0,False,False,False,1.0,True,,,0.011326241565376184,0.011326241565376184,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 0.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",google,PASS,PASS,,,0.2173753125499934,0.393923020871977,0.1765477083219836,0.8121792040270444,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,1.0,0.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,1.0,0.5,LogNormal,0.1141985652415083,0.0764339379966259,0.1931566521525383,0.4313608959317207,0.1239653987522192,0.2141056641936302,0.3827318400144577,0.6181118756532669,0.401078236041809,1.0,0.5,LogNormal,1.6599990635110131,0.5847188441187522,1757726.9300000002,382086.4407862904,692409.1021336261,310322.6613473357,310322.6613473357,100.0,38208644.07862904,69240910.2133626,31032266.134733565,31032266.134733565,False,google,True,0.8121792040270442,0.8121792040270442,False,0.8121792040270444,0.8121792040270444,0.8121792040270444,0.8121792040270444,0.5945301012003276,0.8121792040270444,percent_roi_or_contribution,0.0,0.5,0,False,True,False,0.5,True,,1.6243584080540887,1.6243584080540887,1.6243584080540887,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 0.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",meta,PASS,PASS,,,0.6286957863283654,0.5348495164668808,0.0938462698614845,0.1492713517447833,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,1.0,0.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,1.0,0.5,LogNormal,0.1752713553414357,0.3437986373901367,0.6255695819854736,0.914747294783592,0.1765199642755482,0.2410909593105316,0.5300992727279663,0.8277257561683654,0.718359040501566,1.0,1.0,LogNormal,1.3580834320221722,0.4930728274625875,2011876.73,1264858.4227630906,1076051.2962314694,-188807.1265316212,188807.1265316212,100.0,126485842.27630906,107605129.62314694,-18880712.65316212,18880712.65316212,False,google,False,0.14927135174478334,-0.14927135174478334,False,0.14927135174478337,-0.14927135174478337,0.14927135174478334,-0.14927135174478334,0.13912813438285193,0.14927135174478334,percent_roi_or_contribution,0.0,0.5,0,False,True,False,0.5,True,,0.2985427034895667,0.2985427034895667,0.2985427034895667,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 0.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",tiktok,PASS,PASS,,,0.1217829295434057,0.1196552764608835,0.0021276530825221,0.0174708646811115,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,1.0,0.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,1.0,0.5,LogNormal,0.0578294023805826,0.0474718268960714,0.1112487278878688,0.2323891542851924,0.0575861967603145,0.0463943621143698,0.1087066307663917,0.2308413282036781,0.985885137790284,1.0,1.0,LogNormal,2.743633880736556,0.8677300815771912,1196397.23,145700.75956701575,143155.24131268522,-2545.5182543305273,2545.5182543305273,100.0,14570075.956701577,14315524.131268522,-254551.82543305308,254551.82543305308,False,google,False,0.017470864681111614,-0.017470864681111614,False,0.01747086468111173,-0.01747086468111173,0.01747086468111167,-0.01747086468111167,0.01732000370460817,0.01747086468111167,percent_roi_or_contribution,0.0,0.5,0,False,True,False,0.5,True,,0.03494172936222334,0.03494172936222334,0.03494172936222334,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",google,PASS,PASS,,,0.2173753125499934,0.1662183752205843,0.0511569373294091,0.2353392238028119,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,0.5,0.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,0.5,0.5,LogNormal,0.1141985652415083,0.0764339379966259,0.1931566521525383,0.4313608959317207,0.0956275678132802,0.0479962520301342,0.1445946097373962,0.3535607010126114,0.7228803371004829,0.5,0.5,LogNormal,1.39525656321923,0.3100702053360447,1757726.9300000002,382086.4407862904,292166.51438606577,-89919.92640022462,89919.92640022462,100.0,38208644.07862904,29216651.438606575,-8991992.640022464,8991992.640022464,False,google,True,0.23533922380281197,-0.23533922380281197,False,0.23533922380281186,-0.23533922380281186,0.23533922380281191,-0.23533922380281191,0.21134560750760678,0.23533922380281191,percent_roi_or_contribution,0.5,0.5,0,False,False,False,1.0,True,,,0.23533922380281191,0.23533922380281191,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",meta,PASS,PASS,,,0.6286957863283654,0.6611595771461726,0.0324637908178071,0.0516367240305495,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,0.5,0.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,0.5,0.5,LogNormal,0.1752713553414357,0.3437986373901367,0.6255695819854736,0.914747294783592,0.1907274834032511,0.3335131555795669,0.6594997942447662,0.9716769993305204,0.8946740919033805,1.0,1.0,LogNormal,1.2325045607745917,0.4570827163239621,2011876.73,1264858.4227630906,1330171.5680770243,65313.145313933725,65313.145313933725,100.0,126485842.27630906,133017156.80770244,6531314.531393379,6531314.531393379,False,google,False,0.051636724030549544,0.051636724030549544,False,0.051636724030549426,0.051636724030549426,0.05163672403054949,0.05163672403054949,0.050347735316462056,0.05163672403054949,percent_roi_or_contribution,0.5,0.5,0,False,False,False,1.0,True,,,0.05163672403054949,0.05163672403054949,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",tiktok,PASS,PASS,,,0.1217829295434057,0.1207227234992509,0.0010602060441547,0.0087057032387853,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,0.5,0.5,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,0.5,0.5,LogNormal,0.0578294023805826,0.0474718268960714,0.1112487278878688,0.2323891542851924,0.0572796259958313,0.04691280759871,0.1092811413109302,0.2325442120432853,0.9961532529606676,1.0,1.0,LogNormal,2.748015028015848,0.866666208798044,1196397.23,145700.75956701575,144432.3319925597,-1268.4275744560582,1268.4275744560582,100.0,14570075.956701577,14443233.19925597,-126842.75744560549,126842.75744560549,False,google,False,0.008705703238785382,-0.008705703238785382,False,0.008705703238785376,-0.008705703238785376,0.008705703238785379,-0.008705703238785379,0.00866802711123147,0.008705703238785379,percent_roi_or_contribution,0.5,0.5,0,False,False,False,1.0,True,,,0.008705703238785379,0.008705703238785379,,True,False,0.0
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,"{""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""revenue"", ""prior_design_mode"": ""roi"", ""prior_grid_type"": ""roi"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 1.0}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 1.0, ""sigma"": 1.0}}, ""run_mode"": ""roi_full"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.55, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.29}, ""sweep_type"": ""fixed_full_grid"", ""target_channel"": ""google"", ""two_layer_enabled"": false}",google,PASS,PASS,,,0.2173753125499934,0.0957844311949641,0.1215908813550293,0.5593592019657938,0.55,0.5,1.29,4,geometric,prior_sweep,roi_full,roi,non_revenue,revenue,__revenue_equiv__,,google,fixed_full_grid,False,roi,roi,Revenue-equivalent ROI,0.5,1.0,LogNormal,target_channels,google,configured,,,,upload_2f9be75c95cd_meridian_runnable_demo_156_weeks,/Users/jasper/Documents/Intern/BlueAlpha/capstone-Blue_Alpha_1/backend/storage/uploads/upload_2f9be75c95cd_meridian_runnable_demo_156_weeks.csv,0.5,1.0,LogNormal,0.1141985652415083,0.0764339379966259,0.1931566521525383,0.4313608959317207,0.0802442702511057,0.0152746249921619,0.0728052780032157,0.2579275041818618,0.4361921525923162,0.5,1.0,LogNormal,2.107594602747395,0.3574593523368966,1757726.9300000002,382086.4407862904,168362.8741861205,-213723.5666001699,213723.5666001699,100.0,38208644.07862904,16836287.418612048,-21372356.66001699,21372356.66001699,False,google,True,0.5593592019657937,-0.5593592019657937,False,0.5593592019657937,-0.5593592019657937,0.5593592019657937,-0.5593592019657937,0.44427496890252766,0.5593592019657937,percent_roi_or_contribution,0.5,0.0,0,True,False,False,0.5,True,1.1187184039315874,,1.1187184039315874,1.1187184039315874,,True,False,0.0
