run_id,targets,prior_key,channel,qc_status_code,qc_summary_short,qc_primary_review_check,qc_flagged_channels,roi_baseline,roi_new,delta_abs,delta_pct,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,analysis_stage,run_mode,prior_mode_used,kpi_type,kpi_type_effective,outcome_col_used,revenue_per_kpi,target_channels,sweep_type,two_layer_enabled,prior_design_mode,prior_grid_type,prior_design_label,roi_mu,roi_sigma,roi_dist,contribution_mean,contribution_scale,converted_roi_mu_by_channel,converted_roi_sigma_by_channel,qc_scope,qc_target_channels,gate_mode,gate_matched_count,gate_missing_count,gate_warning,input_data_csv,roi_prior_mu,roi_prior_sigma,roi_prior_dist,roi_baseline_sd,roi_baseline_p05,roi_baseline_p50,roi_baseline_p95,roi_new_sd,roi_new_p05,roi_new_p50,roi_new_p95,ci_overlap_baseline_new,prior_roi_mu_channel,prior_roi_sigma_channel,prior_roi_dist_channel,prior_posterior_kl_gaussian,prior_posterior_wasserstein,channel_total_spend,incremental_outcome_baseline,incremental_outcome_new,delta_outcome,delta_outcome_abs,dollars_per_subscription,incremental_value_baseline,incremental_value_new,delta_value,delta_value_abs
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",meta,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.0229537032047907,0.0214971131676187,0.0014565900371720022,0.06345773595556448,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.0095721659709531,0.009611589834094,0.0215710252523422,0.0402782650664448,0.008364474847726,0.0083956871181726,0.0206630351021885,0.0369845388457179,0.8585550721787639,0.4,0.5,LogNormal,3.8772833452239546,0.3685392064282468,840158.1265220001,19284.740281278984,18060.974324537943,-1223.765956741041,1223.765956741041,100.0,1928474.0281278985,1806097.4324537944,-122376.59567410406,122376.59567410406
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",google,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.0014985685485104,0.0004129908848153,0.0010855776636950999,0.7244097474047355,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.0013867780488108,0.0002646152322995,0.0011169173521921,0.0040782221360132,0.0003734575993969,7.901599710748997e-05,0.0002967825566884,0.0010634715727064,0.19975372928025373,0.0004450580609981,0.0004450580609981,LogNormal,0.0300580843513784,2.238953780100733e-05,10298543.94665,15433.074053901857,4253.204776836235,-11179.869277065622,11179.869277065622,100.0,1543307.4053901858,425320.47768362355,-1117986.9277065622,1117986.9277065622
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",snapchat,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.0317974400256449,0.0333743315873046,0.0015768915616597018,0.04959177721187391,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.0134873803643997,0.0133051248267292,0.0301300212740898,0.0571731468662619,0.0149701279163441,0.0126480179373174,0.030394340865314,0.0601179944351315,0.9241214189678972,0.4,0.5,LogNormal,3.277828326118968,0.3296573750359675,4342436.908989999,138078.37717875632,144925.9292975823,6847.552118825988,6847.552118825988,100.0,13807837.717875632,14492592.92975823,684755.2118825987,684755.2118825987
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",tiktok,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.0297615105224152,0.0296043154038488,0.00015719511856639862,0.005281825949257746,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.0133607563181539,0.0103982497937977,0.0280499244108796,0.052374448813498,0.0128146447676443,0.0103616042993962,0.0273188892751932,0.0544759409502148,0.951531910180528,0.4,0.5,LogNormal,3.43873381560967,0.3415981988891081,1752685.0091300001,52162.55334170188,51887.03981388214,-275.5135278197413,275.5135278197413,100.0,5216255.334170188,5188703.981388214,-27551.35278197378,27551.35278197378
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",moloco,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.0757438380271196,0.076625846872727,0.0008820088456073932,0.011644628376127342,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.0309398220430766,0.0270828302949667,0.0746398456394672,0.1280678883194923,0.0358651338444452,0.0265731509774923,0.0715465620160102,0.1430580906569958,0.8669366040140105,0.4,0.5,LogNormal,2.346556778427812,0.3403010442482999,842234.6095886,63794.08184951323,64536.94022524707,742.8583757338347,742.8583757338347,100.0,6379408.184951323,6453694.022524707,74285.83757338393,74285.83757338393
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",liveintent,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.1215555578765149,0.1243603425566107,0.0028047846800958037,0.023074096562043733,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.0726021278990339,0.0349317887797951,0.107183713465929,0.2571558833122254,0.0727043029078256,0.0286683165468275,0.1122870109975338,0.2564252778887749,0.9693896794673325,0.4,0.5,LogNormal,1.590733801290059,0.26144004481852,797987.173079,96999.7760019209,99237.95819988583,2238.1821979649394,2238.1821979649394,100.0,9699977.600192089,9923795.819988584,223818.2197964955,223818.2197964955
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",beehiiv,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.1899745136747757,0.1819839439727366,0.007990569702039096,0.04206127204893628,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.1185154760528671,0.0451118923723697,0.1606295108795166,0.3868046209216118,0.1057482172704664,0.041503114439547,0.1612048521637916,0.3834946423768998,0.9799631442445097,0.4,0.5,LogNormal,1.1709745108835228,0.1970148893270217,328172.2732613,62344.36801436106,59722.08459059002,-2622.2834237710413,2622.2834237710413,100.0,6234436.801436106,5972208.459059002,-262228.34237710387,262228.34237710387
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.005000|dist=LogNormal|0.000445|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.005, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.00044505806099812237}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.00044505806099812237, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",amazon,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,google,0.1507032367618133,0.1529022522332767,0.0021990154714633947,0.014591693706877296,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.000445,0.000445,LogNormal,0.005,0.005,"{""google"": 0.00044505806099812237}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.000445,0.000445,LogNormal,0.0803796829222643,0.0430114578455686,0.1352179944515228,0.2960959985852242,0.0839682852565197,0.0419530469924211,0.1378183364868164,0.3095836997032166,0.9456485577275836,0.4,0.5,LogNormal,1.4203848671018855,0.24239969519307,15740.258094,2372.10784223213,2406.720913305663,34.613071073532865,34.613071073532865,100.0,237210.78422321304,240672.0913305663,3461.307107353263,3461.307107353263
multi|google|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.005000|dist=LogNormal|0.000890|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.01, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.0008901161219962447}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.0008901161219962447, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",meta,FAIL,FAIL:Convergence,Convergence,"max_r_hat,mu_t",0.0229537032047907,0.0219740664865821,0.0009796367182085992,0.042678809143273155,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.00089,0.000445,LogNormal,0.01,0.005,"{""google"": 0.0008901161219962447}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.00089,0.000445,LogNormal,0.0095721659709531,0.009611589834094,0.0215710252523422,0.0402782650664448,0.0087864264121915,0.0096480002161115,0.0212404187768697,0.038556257635355,0.9426603047189048,0.4,0.5,LogNormal,3.827361636299199,0.3680604943643984,840158.1265220001,19284.740281278984,18461.690531436685,-823.0497498422992,823.0497498422992,100.0,1928474.0281278985,1846169.0531436685,-82304.97498423001,82304.97498423001
multi|google|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.005000|dist=LogNormal|0.000890|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,"{""contribution_mean"": 0.01, ""contribution_scale"": 0.005, ""converted_roi_mu_by_channel"": {""google"": 0.0008901161219962447}, ""converted_roi_sigma_by_channel"": {""google"": 0.00044505806099812237}, ""kpi_type"": ""non_revenue"", ""kpi_type_effective"": ""non_revenue"", ""prior_design_mode"": ""contribution"", ""prior_grid_type"": ""contribution"", ""revenue_per_kpi"": null, ""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.0008901161219962447, ""sigma"": 0.00044505806099812237}}, ""run_mode"": ""fast_product"", ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}, ""sweep_type"": ""fixed_full_grid"", ""two_layer_enabled"": false}",google,FAIL,FAIL:Convergence,Convergence,"max_r_hat,mu_t",0.0014985685485104,0.0008873613781179,0.0006112071703924999,0.40786066876957294,0.3,0.5,1.2,4,geometric,prior_sweep,fast_product,contribution,non_revenue,non_revenue,subscriptions,,google,fixed_full_grid,False,contribution,contribution,Contribution prior fallback,0.00089,0.000445,LogNormal,0.01,0.005,"{""google"": 0.0008901161219962447}","{""google"": 0.00044505806099812237}",target_channels,google,auto_from_runs,,,,D:\Intern\BlueAlpha\data\raw\monthly_mocha.csv,0.00089,0.000445,LogNormal,0.0013867780488108,0.0002646152322995,0.0011169173521921,0.0040782221360132,0.0003747895136953,0.0003790804985328,0.0008334657759405,0.0015666048915591,0.31139140006010735,0.0008901161219962,0.0004450580609981,LogNormal,0.0264371178090929,3.63741929418497e-05,10298543.94665,15433.074053901857,9138.5301491071,-6294.543904794757,6294.543904794757,100.0,1543307.4053901858,913853.01491071,-629454.3904794757,629454.3904794757
