channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi
meta,"google,meta,moloco",0.020759,0.006689,Normal,0.01870136
google,"google,meta,moloco",0.020759,0.006689,Normal,0.01879316
snapchat,"google,meta,moloco",0.020759,0.006689,Normal,-0.022104809
tiktok,"google,meta,moloco",0.020759,0.006689,Normal,-0.044874117
moloco,"google,meta,moloco",0.020759,0.006689,Normal,0.02076329
liveintent,"google,meta,moloco",0.020759,0.006689,Normal,0.091445774
beehiiv,"google,meta,moloco",0.020759,0.006689,Normal,0.34787792
amazon,"google,meta,moloco",0.020759,0.006689,Normal,0.22885288
meta,"google,meta,moloco",0.020759,0.006689,LogNormal,1.0206046
google,"google,meta,moloco",0.020759,0.006689,LogNormal,1.015008
snapchat,"google,meta,moloco",0.020759,0.006689,LogNormal,0.16829929
tiktok,"google,meta,moloco",0.020759,0.006689,LogNormal,0.30095488
moloco,"google,meta,moloco",0.020759,0.006689,LogNormal,1.0204098
liveintent,"google,meta,moloco",0.020759,0.006689,LogNormal,0.4962019
beehiiv,"google,meta,moloco",0.020759,0.006689,LogNormal,0.71385574
amazon,"google,meta,moloco",0.020759,0.006689,LogNormal,1.4696755
meta,"google,meta,moloco",0.020759,0.016722,Normal,0.012273336
google,"google,meta,moloco",0.020759,0.016722,Normal,0.009784146
snapchat,"google,meta,moloco",0.020759,0.016722,Normal,-0.019008555
tiktok,"google,meta,moloco",0.020759,0.016722,Normal,-0.032957118
moloco,"google,meta,moloco",0.020759,0.016722,Normal,0.021498475
liveintent,"google,meta,moloco",0.020759,0.016722,Normal,0.18334377
beehiiv,"google,meta,moloco",0.020759,0.016722,Normal,0.3116215
amazon,"google,meta,moloco",0.020759,0.016722,Normal,0.21618624
meta,"google,meta,moloco",0.020759,0.016722,LogNormal,1.0177239
google,"google,meta,moloco",0.020759,0.016722,LogNormal,0.98498285
snapchat,"google,meta,moloco",0.020759,0.016722,LogNormal,0.16658762
tiktok,"google,meta,moloco",0.020759,0.016722,LogNormal,0.29411566
