channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
amazon,0.5,3,0.4705527722544502,0.4690976857058558,0.4397412696510582,0.496999015212059,,296264.8832852899,295348.7457723306,0.05725774556100083
amazon,1.0,3,0.9847069782515366,0.967661945062379,0.9330291528006396,0.9852497041349608,0.0,603884.0860885931,603884.0860885931,0.05222055133432124
amazon,1.5,3,1.4597467712809642,1.4568501076164344,1.4189811166313788,1.4918224349369604,,919071.6372738226,917247.8679261742,0.0728413183055816
amazon,2.0,3,1.9594672201325496,1.9649358978163864,1.95485847817113,1.98048199514548,,1233700.790864762,1237143.9267918216,0.025623516974349947
amazon,2.5,3,2.4592559675375623,2.4566332352078626,2.428250286057592,2.482393452028433,,1548372.9459300367,1546721.6465787988,0.0541431659708409
amazon,3.0,3,2.940099104344845,2.9348345866799357,2.878924420376619,2.985480235318343,,1851116.748973044,1847802.1543016003,0.10655581494172406
amazon,3.5,3,3.4379253433148067,3.4387876285115877,3.407945494353771,3.470492047866186,,2164553.2884671446,2165096.1921290634,0.06254655351241478
amazon,4.0,3,3.9165050911903374,3.9092665872640073,3.842166016995906,3.969128653605779,,2465872.038472037,2461314.6016714424,0.12696263660987261
amazon,4.5,3,4.406929994821549,4.3963921447594965,4.314955174525579,4.467291264931361,,2774648.62082725,2768013.881637947,0.15233609040578155
amazon,5.0,3,4.892102755308152,4.8930547685424495,4.81924836208423,4.967813188234965,,3080118.3996367543,3080717.7969974237,0.14856482615073485
beehiiv,0.5,3,0.5984712485824517,0.5934853221491599,0.5540735842279779,0.6279111336370503,-46.85769020113401,7856066.805153269,7790617.092676192,0.07383754940907239
beehiiv,1.0,3,1.1012913055469593,1.0941407136660484,1.0549636612211664,1.1261671742300192,-2.208896623191667,14152461.883505294,14152461.883505294,0.07120351300885286
beehiiv,1.5,3,1.5955393794799844,1.6091569919346107,1.5462166179716588,1.685714978352189,41.678732606540706,20944471.409674816,21123228.323099863,0.1394983603805302
beehiiv,2.0,3,2.1629975574463605,2.143798966353966,2.0422116619348527,2.226187679680685,92.06718211487924,28393433.01943246,28141415.208144248,0.18397601774583228
beehiiv,2.5,3,2.6416670555869737,2.641720232599311,2.539202386836211,2.7442912553747494,134.57148423750934,34676875.313258484,34677573.36209945,0.20508886853853836
beehiiv,3.0,3,3.111656004091104,3.1236515559090505,3.03528748790423,3.224011175731818,176.3049816488035,40846368.97879002,41003833.2791548,0.18872368782758775
beehiiv,3.5,3,3.613424784441789,3.623105827023586,3.539101821978887,3.716790874650081,220.86042526611135,47433033.030759394,47560115.020823695,0.17768905267119406
beehiiv,4.0,3,4.108321071763833,4.094381746881538,4.039192176262538,4.135631992618243,264.8056137467127,53929482.616321504,53746502.618947476,0.09643981635570498
beehiiv,4.5,3,4.610217204888662,4.61327469156848,4.530792276461919,4.698814593354861,309.3723658781611,60517818.41426674,60557953.70843404,0.16802231689294178
beehiiv,5.0,3,5.089406070907911,5.096172624131044,5.027281450033188,5.171830351452033,351.92278618737305,66808078.3935884,66896902.199723564,0.1445489014188448
google,0.5,3,0.1511551194026833,0.16559446671770675,0.1094686283254608,0.2361596524249762,-54.71187304625569,62267105.59718649,68215275.71257494,0.12669102409951538
