channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,0.5,80,0.9975354954740032,1.210002880585923,0.4901195541551957,4.964075300296147,,1570146.615668698,1904575.7634905893,4.473955746140952
amazon,1.0,80,0.9944643614922339,1.2064516181784346,0.4745011795713799,4.919789212743441,0.0,1569279.0627650833,1936848.3777410723,4.445288033172061
amazon,1.5,80,0.9869386412187791,1.193895829480692,0.4481526746125504,4.806137578785419,,1553466.893572525,1879222.8493376307,4.357984904172869
beehiiv,0.5,80,1.113673616759479,1.305267280705147,0.5730921730655245,5.031879655321439,,36547680.24830921,42835253.07226035,4.458787482255914
beehiiv,1.0,80,1.1287492395704612,1.339906732973621,0.6554370099816393,5.119023402531941,0.0,36872823.33333344,44640095.45104075,4.463586392550302
beehiiv,1.5,80,1.1384260751136268,1.359053129688007,0.5340436709877879,5.147814228932063,,37359987.30099784,44600355.50525977,4.613770557944275
google,0.5,80,0.33864750925141074,0.5221803978215418,0.2420638484996743,3.478216213385264,,348757625.6449216,537769777.5044328,3.2361523648855894
google,1.0,80,0.3361218813170368,0.4423628860940492,0.1497891465890764,2.314148314694564,0.0,347115355.0374329,467905196.10062087,2.1643591681054875
google,1.5,80,0.3367137882928364,0.4030128537455287,0.1131124878498182,1.7159348816176256,,346766174.617678,415044558.5363157,1.6028223937678074
liveintent,0.5,80,0.8776211915941288,1.0927273514084324,0.4649057117275272,4.948906829754511,,70033045.37144223,87198241.0096518,4.484001118026984
liveintent,1.0,80,0.8825071824466189,1.0887526899863733,0.4128199702578907,4.802325041095416,0.0,70154180.52349034,88709748.89890376,4.389505070837525
liveintent,1.5,80,0.8816653847383955,1.073467808372032,0.3570660582185762,4.603151932458083,,70355766.79690012,85661354.17941073,4.2460858742395065
meta,0.5,80,0.5031953813632329,0.7041508394242846,0.3479520989923427,3.9019556218385696,,42276368.88806571,59159805.00396007,3.554003522846227
meta,1.0,80,0.5022115963123117,0.6231016300346964,0.2446866666723508,2.7298003645737965,0.0,42314755.866145976,53485030.15193415,2.4851136979014457
meta,1.5,80,0.5032353176750863,0.5803987506672583,0.1982503382366364,2.0740389851729075,,42279724.16976041,48762672.69963132,1.8757886469362712
moloco,0.5,80,0.9393403126765042,1.1470824037287968,0.5206863114284351,4.810765807032585,,79114492.15179288,96611250.04704759,4.290079495604149
moloco,1.0,80,0.9449866198763872,1.130124077845685,0.4589509790864152,4.39508662601312,0.0,79375936.30115649,96912260.11357373,3.9361356469267044
moloco,1.5,80,0.946221053165694,1.1052479220664657,0.4038804935091563,3.959337829152743,,79694011.92975223,93087805.21402612,3.555457335643587
snapchat,0.5,80,0.6121939068799838,0.8106055340476839,0.3898254666974147,4.2522197234630585,,265841341.66944286,352000338.9680212,3.862394256765644
snapchat,1.0,80,0.6069789305779463,0.7488125806275833,0.272945024681588,3.3066931235790253,0.0,264227680.66139358,332068455.5475206,3.0337480988974375
snapchat,1.5,80,0.6115666039893404,0.7104717072513596,0.2468830718309618,2.6768320390582083,,265568939.34689826,308517856.4361441,2.4299489672272463
tiktok,0.5,80,0.5144923721548791,0.7372226201235899,0.3406675418869903,4.276728975574176,,90174306.79875898,129211903.46821567,3.936061433687186
tiktok,1.0,80,0.5103783858117337,0.6627993621356023,0.2206208481451418,3.2711032047867774,0.0,89800744.30735749,119175257.51273361,3.0504823566416355
tiktok,1.5,80,0.5134524918285509,0.6161982793460302,0.1777856239289394,2.582931400636832,,89992048.53283451,108000148.68614873,2.4051457767078928
