channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,1.0,16,0.9877351898824175,1.1066168359694226,0.8750312419235706,3.025061825911204,0.0,1514235.6974835335,1928952.6624237988,2.1500305839876335
amazon,1.5,16,1.0700455777719615,1.1411983710705922,0.885926856485506,2.9345813101530074,1.9705593785017816,1684279.3566474025,1796275.6897103507,2.0486544536675013
beehiiv,1.0,16,1.1125856982606153,1.2133711070716768,0.9471784497921666,3.0399019217491148,0.0,37292654.976781696,44285522.743493654,2.092723471956948
beehiiv,1.5,16,1.1444279511272908,1.2288915622474936,0.9248231566076476,3.2173243176937105,-4.563034116701173,37556952.23052149,40328813.75743903,2.292501161086063
google,1.0,16,0.21633805202164996,0.2880943310006599,0.1912234205255905,1.2460961226622265,0.0,219835119.30022436,354979409.6342443,1.054872702136636
google,1.5,16,0.2276174802860866,0.26195199229036614,0.1948110387660563,0.8824179251988729,4.128463088583785,234412862.3752003,269772410.45148575,0.6876068864328165
liveintent,1.0,16,0.8522473883861676,0.9770701283620049,0.730796401227514,2.878925103743871,0.0,66183868.9046151,86233755.7430661,2.148128702516357
liveintent,1.5,16,0.879478878279527,0.9712573593955798,0.7672273393099507,2.75959414045016,2.2494924998694303,70181286.38609697,77505091.4556253,1.9923668011402091
meta,1.0,16,0.36737094180037577,0.4502875869511626,0.3410168655837575,1.565876015027364,0.0,31174780.39210525,43663704.67089903,1.2248591494436065
meta,1.5,16,0.403413475882262,0.4342463727365248,0.3375774583841364,1.165785102446874,4.7311446466312725,33893111.011096925,36483561.896729276,0.8282076440627375
moloco,1.0,16,0.8027975166775285,0.9281755446064441,0.7577930120751262,2.608626819849014,0.0,67535753.11554189,86216963.3439242,1.850833807773888
moloco,1.5,16,0.8854365334597727,0.942301421452236,0.735721241372327,2.415389656821887,6.849871096519948,74574529.3073975,79363886.98116069,1.67966841544956
snapchat,1.0,16,0.4338582176963488,0.5326889962978506,0.4033451784029603,1.935648611386617,0.0,182042853.9391494,263577034.002228,1.5323034329836567
snapchat,1.5,16,0.4455880323549112,0.5066277935464556,0.4136973251402378,1.5510327392816543,1.8469556005375343,193493791.79021963,219999922.9816294,1.1373354141414165
tiktok,1.0,16,0.37478406273449455,0.47037123405141756,0.3349640564061701,1.8016319712003073,0.0,64264445.807060584,96642160.03364351,1.466667914794137
tiktok,1.5,16,0.3734210195889075,0.4377430914637322,0.342281540967524,1.4067627195517225,0.9323755897560683,65448942.31275183,76722575.4258706,1.0644811785841986
