target_channel,channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
amazon,amazon,LogNormal,1.0,1.0,1.0203788062154004,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.2532869600760735,False,baseline_qc=REVIEW
amazon,beehiiv,LogNormal,1.0,1.0,1.0495950011505435,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.02612228211317076,False,baseline_qc=REVIEW
amazon,google,LogNormal,1.0,1.0,0.546069165278847,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.02554641863747375,False,baseline_qc=REVIEW
amazon,liveintent,LogNormal,1.0,1.0,1.012425137506798,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.02744846328469018,False,baseline_qc=REVIEW
amazon,meta,LogNormal,1.0,1.0,0.7496708377761145,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.009288120529515586,False,baseline_qc=REVIEW
amazon,moloco,LogNormal,1.0,1.0,1.0825823533721268,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.0235888326135547,False,baseline_qc=REVIEW
amazon,snapchat,LogNormal,1.0,1.0,0.8496972901808719,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.030727432342863275,False,baseline_qc=REVIEW
amazon,tiktok,LogNormal,1.0,1.0,0.7488881580531597,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.013628802785837394,False,baseline_qc=REVIEW
beehiiv,amazon,LogNormal,1.0,1.0,1.0203788062154004,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.01271591391219663,False,baseline_qc=REVIEW
beehiiv,beehiiv,LogNormal,1.0,1.0,1.0495950011505435,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.24620245186181844,False,baseline_qc=REVIEW
