run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,0.5,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,47184012.46834894,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,24213116.19923861,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,0.5,0.5,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,,8,34206295.34103726,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,34508897.83230231,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,1.0,1.0,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,35709980.038478255,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,51611445.031841256,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.500000|dist=LogNormal|1.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,1.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,36776744.29994084,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.500000|sigma=1.500000|dist=LogNormal|1.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,1.5,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,40304791.39274594,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.000000|sigma=1.500000|dist=LogNormal|2.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,2.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,41176847.98727081,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,2.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,74866724.95974067,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.000000|sigma=0.500000|dist=LogNormal|2.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,2.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,54133503.73380225,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.500000|sigma=0.500000|dist=LogNormal|2.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,2.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,60515641.34991308,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.500000|sigma=1.000000|dist=LogNormal|2.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,2.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,35999062.30162817,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.500000|sigma=1.500000|dist=LogNormal|2.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,2.5,1.5,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,,8,17243974.78059173,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=3.000000|sigma=0.500000|dist=LogNormal|3.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,3.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,46581201.90663256,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=3.000000|sigma=1.000000|dist=LogNormal|3.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,3.0,1.0,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,,8,14827798.967046011,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=3.000000|sigma=1.500000|dist=LogNormal|3.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,3.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,45722606.655579865,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=3.500000|sigma=0.500000|dist=LogNormal|3.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,3.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,32226352.940870054,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=3.500000|sigma=1.000000|dist=LogNormal|3.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,3.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,34098249.660695225,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=3.500000|sigma=1.500000|dist=LogNormal|3.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,3.5,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,46170903.60916053,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=4.000000|sigma=0.500000|dist=LogNormal|4.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,4.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,25769535.129607446,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=4.000000|sigma=1.500000|dist=LogNormal|4.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,4.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,50537331.44329715,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=4.000000|sigma=1.000000|dist=LogNormal|4.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,4.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,16643543.897703571,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=4.500000|sigma=0.500000|dist=LogNormal|4.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,4.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,72398169.45814827,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=4.500000|sigma=1.000000|dist=LogNormal|4.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,4.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,53144809.09262019,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=5.000000|sigma=0.500000|dist=LogNormal|5.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,5.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,,8,52351472.36836364,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
