channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
amazon,0.5,24,1.0166485989031693,0.9562291062908237,0.4974813417593638,1.0565684310595194,,1600231.133763937,1505129.2930012525,0.5590870893001556
amazon,1.0,24,1.0203788062154004,1.0235291616211826,0.9877578856702894,1.0703445720858873,0.0,1613410.3551481427,1613540.6874240274,0.08258668641559785
amazon,1.5,24,1.0217774407441418,1.0838667934297377,0.9956152226806928,1.5418544679911186,,1608304.0631939583,1706034.3068100254,0.5462392453104258
amazon,2.0,24,1.0240301637025548,1.1466348516995397,0.986767055671662,2.058255788969497,,1611849.9072719286,1804832.8505326172,1.071488733297835
amazon,2.5,24,1.020873497754025,1.2080055118008102,0.991560965521882,2.5470084743201733,,1606881.2335972884,1901431.8534719318,1.5554475087982913
amazon,3.0,24,1.0271964199934156,1.2774387268696188,0.9762665859175224,3.0451257940133414,,1616833.6763929185,2010721.5260198573,2.068859208095819
amazon,3.5,24,1.021079320893623,1.329376489246885,0.9734823436196892,3.5401407719651856,,1607205.2045311874,2092472.9044841586,2.5666584283454963
amazon,4.0,24,1.0163667108289276,1.3931995406868454,0.9730789261031896,4.056770237386226,,1599787.4346597185,2192932.03468532,3.0836913112830366
amazon,4.5,24,1.030714701342707,1.4576300912076192,0.9639932262742272,4.516040467818578,,1622371.5420414335,2294347.384118869,3.5520472415443507
amazon,5.0,24,1.0246316684922205,1.5209519924053974,0.982114582216988,5.062578792770704,,1612796.6913353398,2394017.6909044483,4.080464210553717
beehiiv,0.5,24,1.0554357187496497,1.0021732107520034,0.4925107394495474,1.1825130717114856,,34636473.91032466,32888546.077406082,0.6900023322619382
beehiiv,1.0,24,1.0495950011505435,1.050460421475129,0.964345979684343,1.129570117387921,0.0,34280265.965038046,34487398.796413936,0.1652241377035779
beehiiv,1.5,24,1.0624252580013125,1.1236371990279037,1.0138148825460425,1.6269275901342433,,34865851.20885139,36874657.39259469,0.6131127075882008
beehiiv,2.0,24,1.0628410847686853,1.1778495629733274,1.017491395572821,2.0529623926182587,,34879497.490404546,38653756.86407856,1.0354709970454377
beehiiv,2.5,24,1.050670397792322,1.2360488926866997,1.003577480384459,2.59353349737823,,34480089.28918606,40563697.497510694,1.589956016993771
beehiiv,3.0,24,1.06424002503821,1.3136216780230947,1.0205111055262386,3.1372352552910647,,34925406.83124522,43109421.228216246,2.116724149764826
beehiiv,3.5,24,1.0530583173735066,1.3724076703201151,1.0201084008750816,3.5816821284095446,,34558454.18891832,45038614.501019694,2.561573727534463
