channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,0.5,80,1.022438717042096,1.2376026968325604,0.4974813417593638,5.004460461139679,,1609344.9291540827,1948018.586597494,4.506979119380316
amazon,1.0,80,1.0203788062154004,1.2437129709209498,0.5244398851471488,5.028709004720052,0.0,1621048.7294791173,1996695.6200892744,4.504269119572903
amazon,1.5,80,1.0181324179998288,1.2377430118240276,0.5115086183012075,5.062578792770704,,1602566.7033185596,1948239.4460155088,4.551070174469497
beehiiv,0.5,80,1.0516005001977706,1.2704040169066284,0.5061782019849246,5.015502457420031,,34510612.67126226,41691137.41885352,4.509324255435107
beehiiv,1.0,80,1.0495950011505435,1.2714656097957655,0.5569538750641125,5.030139935612678,0.0,34542937.98758357,42534995.75412382,4.473186060548565
beehiiv,1.5,80,1.062355247149244,1.2803160661843855,0.4925107394495474,5.139064782857895,,34863553.64680376,42016423.39326948,4.646554043408348
google,0.5,80,0.5373774889934186,0.7630243185771785,0.3311576901050284,4.406818142930667,,553420568.633915,785803947.7229742,4.075660452825638
google,1.0,80,0.5429556988629823,0.7005889859356684,0.2310189890675246,3.522290515998999,0.0,553768259.5803423,739186081.1715524,3.2912715269314745
google,1.5,80,0.535630165223653,0.6565733686853303,0.1763083005984178,2.857990426222483,,551621079.5707192,676174969.1605908,2.6816821256240653
liveintent,0.5,80,0.9732693711823475,1.19229014112617,0.493640594916263,4.989812428752582,,77665647.41541773,95143223.92072344,4.496171833836319
liveintent,1.0,80,0.9733062433963642,1.1914445674094944,0.4933506164261295,4.965276616811752,0.0,77466417.83599363,96663028.32045752,4.471926000385623
liveintent,1.5,80,0.9798062853313362,1.1932962815267074,0.3822645795925928,4.903906099796295,,78187284.7796589,95223512.63411798,4.521641520203702
meta,0.5,80,0.7549098502844572,0.9736303273244411,0.4575858362220849,4.597012843688329,,63424364.55079932,81800343.17299041,4.139427007466244
meta,1.0,80,0.7533608869835735,0.9288956554311202,0.3584280463117951,3.9436611568927766,0.0,63498219.6086098,79715003.21600215,3.5852331105809814
meta,1.5,80,0.7552541033551097,0.8879944199044573,0.2999538127932464,3.349111882249514,,63453287.25228819,74605572.81889191,3.0491580694562677
moloco,0.5,80,1.051755131459795,1.2639416463958915,0.528636399009265,5.002747057080269,,88582457.2527847,106453539.9095016,4.4741106580710035
moloco,1.0,80,1.0629459978764255,1.2690220240151417,0.5014094128601331,4.937121150493621,0.0,89068204.47330126,108626159.59797108,4.435711737633488
moloco,1.5,80,1.055784628240702,1.2689276106319278,0.5356143582327059,4.879686233997345,,88921835.41759527,106873475.07367769,4.344071875764639
snapchat,0.5,80,0.8413488897029311,1.066927083401708,0.4679106405408432,4.829619862437248,,365350447.1983764,463306354.6164628,4.361709221896405
snapchat,1.0,80,0.8469270355751117,1.0489213644708604,0.4103935384447686,4.443078072269757,0.0,364055065.7554034,465099906.6968217,4.032684533824988
snapchat,1.5,80,0.8382034200010822,1.0039826280121416,0.2998353259674817,3.897379203836123,,363984546.82543457,435973121.98647004,3.5975438778686413
tiktok,0.5,80,0.7377711994488103,0.9672330602452275,0.4229527643788606,4.768991279403369,,129308052.14417893,169525488.50267446,4.346038515024508
tiktok,1.0,80,0.7458704731411611,0.9322814549611612,0.3333402442401469,4.3036039306720095,0.0,129979838.80177969,166971025.0652064,3.9702636864318626
tiktok,1.5,80,0.7420094645302743,0.8944092120116632,0.285314457443989,3.7894727502266567,,130050886.51147902,156761761.79206184,3.5041582927826678
