run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,11557934.501500312,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,0.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,21139224.546395823,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,15469089.42447794,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,1.0,1.0,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,0.0,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,191679261.28346232,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,0.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,122901105.01334299,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,17823512.949120086,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,12084154.028403737,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,152005379.9130311,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,1.0,1.0,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.55,0.5,1.29,4,geometric,,8,0.0,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
