channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
amazon,0.5,11,1.016273265549292,0.9232050356968962,0.5083137752364079,1.0320429818890988,,959784.2096266834,871889.1321329777,0.523729206652691
amazon,1.0,11,0.9909744480842104,0.9983962766210915,0.988615298025931,1.02162953830945,0.0,950326.0230915372,950598.6608212618,0.03301424028351907
amazon,1.5,8,1.0114258000797902,1.1314810238669937,0.9743295755671958,1.5424431433404486,,955206.1881711807,1068588.2006477914,0.5681135677732528
amazon,2.0,2,1.007515758171988,1.007515758171988,1.0070753770973533,1.0079561392466228,,951513.4840439509,951513.4840439509,0.0008807621492694651
beehiiv,0.5,11,0.4037563006884496,0.4038142095177053,0.3977276757995908,0.4122593787591904,,7950097.38243009,7951237.626758414,0.014531702959599602
beehiiv,1.0,11,0.4082074978646899,0.40621884759085136,0.4001421436116409,0.4086380854784511,0.0,7958859.674498142,7958889.419471842,0.008495941866810186
beehiiv,1.5,8,0.40310136769238547,0.40531364537154635,0.3956264415049615,0.4214629344223067,,7937201.531420958,7980762.023124285,0.02583649291734519
beehiiv,2.0,2,0.4026609681659223,0.4026609681659223,0.3952529240942871,0.4100690122375575,,7928529.9165964,7928529.9165964,0.0148160881432704
google,0.5,11,0.5059743202570826,0.46390165766983316,0.209032232753622,0.5172772342835863,,312647926.38263553,286650696.5061937,0.30824500152996426
google,1.0,11,0.5056181128850827,0.5249021922039206,0.4881398189874987,0.7233328575020035,0.0,313153681.5928409,334273594.563087,0.2351930385145048
google,1.5,8,0.501669871530806,0.6156202503837025,0.4812354437199732,1.143978129029274,,309988153.12021595,380399532.1814542,0.6627426853093009
google,2.0,2,0.48052120810064175,0.48052120810064175,0.4785114599174509,0.4825309562838326,,296920126.7353085,296920126.7353085,0.0040194963663816585
liveintent,0.5,11,0.3975174107092122,0.39793306555408475,0.3877193791108826,0.4063943659195987,,19032827.68929168,19052728.92336987,0.0186749868087161
liveintent,1.0,11,0.3936814136360771,0.39293958292427383,0.384997044505241,0.410089536125306,0.0,19082380.83051133,19130547.00711872,0.025092491620064994
liveintent,1.5,8,0.3880845526768826,0.3897714779851958,0.3796311763802077,0.407353415103474,,18581189.706375226,18661958.391853806,0.02772223872326629
liveintent,2.0,2,0.3861232710480301,0.3861232710480301,0.3845458215246132,0.3877007205714471,,18487285.051418044,18487285.051418044,0.0031548990468339144
meta,0.5,11,0.7717951091968764,0.7103877972844621,0.387496958245368,0.7845498473600795,,38905795.980101414,35810284.85223624,0.3970528891147115
meta,1.0,11,0.7832890489697456,0.7890419426021363,0.757841871616741,0.9263315222163996,0.0,38756123.04344259,40016867.03144691,0.1684896505996586
meta,1.5,8,0.7800131338726108,0.8937873435253277,0.7634083786451569,1.3681425460179646,,39320062.39301801,45055362.00271888,0.6047341673728077
meta,2.0,2,0.7861255606620883,0.7861255606620883,0.782363069113344,0.7898880522108326,,39628186.69541502,39628186.69541502,0.007524983097488613
moloco,0.5,11,0.4474149478894348,0.45076853702996617,0.4275035049029005,0.4691770326594511,,22609701.23758572,22779171.768015478,0.04167352775655059
moloco,1.0,11,0.4589896298238697,0.45610840357342647,0.4286591474968009,0.4641266767203342,0.0,22861323.803603455,22711353.63515164,0.0354675292235333
moloco,1.5,8,0.45720996740312936,0.45220898865416526,0.4168171403006029,0.4781780251748084,,23104683.503747474,22851963.66069579,0.06136088487420549
moloco,2.0,2,0.4624744129685375,0.4624744129685375,0.4339794769603759,0.490969348976699,,23370717.399076387,23370717.399076387,0.056989872016323107
snapchat,0.5,11,0.8186569703742862,0.7005367751407197,0.2911305140874659,0.8572713763763508,,213297974.63731396,182522204.90855333,0.5661408622888848
snapchat,1.0,11,0.807823580832531,0.8041253633163588,0.6925752943676586,0.9525675547743836,0.0,207512085.28379822,208708855.61521193,0.25999226040672496
snapchat,1.5,8,0.7904832788836211,0.7931399380761044,0.7569807874131947,0.8284790278909107,,205957425.96982026,206649608.46574306,0.07149824047771591
snapchat,2.0,2,0.7948479952771837,0.7948479952771837,0.7914104516121249,0.7982855389422426,,207094636.3037011,207094636.3037011,0.006875087330117768
tiktok,0.5,11,0.6931681910312424,0.6370715127858179,0.3272180715789242,0.7143358852745344,,72894329.83357312,66995141.412208445,0.3871178136956102
tiktok,1.0,11,0.6715719375604142,0.7002840839760999,0.6577140451191614,0.8858094814171393,0.0,73740737.32593144,76158812.39717056,0.2280954362979779
tiktok,1.5,8,0.6970033645350486,0.8194709274380391,0.6612175900302827,1.3503215812146665,,73297640.90002514,86176464.59631056,0.6891039911843838
tiktok,2.0,2,1.6621870143711566,1.6621870143711566,1.4973595610757668,1.8270144676665463,,174797415.7475327,174797415.7475327,0.32965490659077945
