run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.5129115446752015,0.988615298025931,,0.4757037533507294,0.4811818654845982,484401.60555479303,-449261.9912414999,0.0007159122882276825,676621443.0457411,484401.60555479303,0.0007159122882276825,15740.258094,0.0008190390385875117,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",beehiiv,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.4037563006884496,0.4086380854784511,,0.0048817847900015,0.0119464752882387,7950097.38243009,-96123.98472643364,0.011749697654634699,676621443.0457411,7950097.38243009,0.011749697654634699,328172.2732613,0.01707633391891276,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.4946127417994042,0.5056181128850827,,0.0110053710856785,0.021766172542517,305627463.4796528,-6800357.8665031195,0.451696390383229,676621443.0457411,305627463.4796528,0.451696390383229,10298543.94665,0.535881272247419,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",liveintent,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.4001550749254723,0.384997044505241,,0.0151580304202312,0.0393718098270361,19159117.021979585,725754.8306691498,0.02831585847432918,676621443.0457411,19159117.021979585,0.02831585847432918,797987.173079,0.041522994295305,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",meta,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.7717951091968764,0.7832890489697456,,0.0114939397728691,0.0146739441691251,38905795.980101414,-579403.6143558249,0.057500093117018314,676621443.0457411,38905795.980101414,0.057500093117018314,840158.1265220001,0.043717345681286386,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",moloco,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.4472313839670581,0.4641266767203342,,0.0168952927532761,0.0364023306582237,22600425.004275866,-853788.0177564397,0.03340187520889436,676621443.0457411,22600425.004275866,0.03340187520889436,842234.6095886,0.043825394779614675,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",snapchat,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.8054099559038878,0.807823580832531,,0.0024136249286432,0.0029878119256631,209846515.16310295,-628860.8384759426,0.3101387301864107,676621443.0457411,209846515.16310295,0.3101387301864107,4342436.908989999,0.22595724478125545,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.6851167117245496,0.6715719375604142,,0.0135447741641353,0.0201687613888972,72047627.40864348,1424383.3577719033,0.10648144268725593,676621443.0457411,72047627.40864348,0.10648144268725593,1752685.00913,0.09120037525761929,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",amazon,amazon,amazon,0.5,0.5,LogNormal,lognormal,False,0.5083137752364079,0.988615298025931,,0.4803015227895231,0.4858325819442508,480059.40089739393,-453604.195898899,0.0006853617483038146,700446737.9241421,480059.40089739393,0.0006853617483038146,15740.258094,0.0008190390385875117,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",beehiiv,amazon,amazon,0.5,0.5,LogNormal,lognormal,False,0.3977276757995908,0.4086380854784511,,0.0109104096788603,0.0266994439984367,7831391.730365103,-214829.63679142017,0.011180567067203955,700446737.9241421,7831391.730365103,0.011180567067203955,328172.2732613,0.01707633391891276,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,amazon,amazon,0.5,0.5,LogNormal,lognormal,False,0.5172772342835863,0.5056181128850827,,0.0116591213985035,0.023059145037301,319632139.7922649,7204318.446108937,0.45632611658601346,700446737.9241421,319632139.7922649,0.45632611658601346,10298543.94665,0.535881272247419,0.55,0.5,1.29,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
