channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,0.5,15,1.0070753770973533,1.0056558124019452,0.5083137752364079,1.5088217266400654,,951097.581337483,949756.922456272,1.0005079514036574
amazon,1.0,15,1.0079561392466228,1.007342932112528,0.5129115446752015,1.5424431433404486,0.0,958438.6928334159,960193.5982574655,1.0295315986652471
amazon,1.5,2,1.0047564875303459,1.0047564875303459,0.9909744480842104,1.018538526976481,,948907.586120912,948907.586120912,0.027564078892270638
beehiiv,0.5,15,0.4040025328074504,0.4062922303057922,0.3977276757995908,0.4214629344223067,,7954945.775684636,8000030.689671328,0.023735258622715916
beehiiv,1.0,15,0.4040043541944275,0.4036769946735585,0.3952529240942871,0.4090857859196452,0.0,7907094.570842883,7899693.046899763,0.01383286182535809
beehiiv,1.5,2,0.40432817640403906,0.40432817640403906,0.4042562748561613,0.4044000779519168,,7961357.807646565,7961357.807646565,0.00014380309575551253
google,0.5,15,0.5082800720880429,0.548286450067949,0.3249361987194667,1.143978129029274,,314072679.57630837,338793126.0826496,0.8190419303098073
google,1.0,15,0.5056181128850827,0.5022163348443185,0.209032232753622,0.8024538441871604,0.0,309387235.91352147,309274818.8876956,0.5934216114335383
google,1.5,2,0.5026524970990915,0.5026524970990915,0.4999994461083163,0.5053055480898668,,310595329.8761014,310595329.8761014,0.005306101981550515
liveintent,0.5,15,0.3967139078703864,0.3952364827908524,0.3804722481655578,0.410089536125306,,18994356.59175675,18923618.615997545,0.029617287959748217
liveintent,1.0,15,0.3882409667184887,0.39140749624780274,0.3796311763802077,0.407353415103474,0.0,18904878.275993325,18893753.43508899,0.02772223872326629
liveintent,1.5,2,0.39517890682987244,0.39517890682987244,0.3936814136360771,0.3966764000236678,,18920861.923297163,18920861.923297163,0.002994986387590659
meta,0.5,15,0.7756754300712297,0.8032971686763275,0.4720362616997833,1.3681425460179646,,39101400.967067465,40493798.656531826,0.8961062843181813
meta,1.0,15,0.7832890489697456,0.7748880543220892,0.387496958245368,1.133982053610186,0.0,38972463.39711633,38849964.84128857,0.7464850953648179
meta,1.5,2,0.7717493316515659,0.7717493316515659,0.7635680710958938,0.779930592207238,,38903488.357499115,38903488.357499115,0.016362521111344286
moloco,0.5,15,0.4549914376802432,0.4523897639508488,0.4168171403006029,0.490969348976699,,22992572.152846526,22861098.973381326,0.07415220867609612
moloco,1.0,15,0.4641266767203342,0.45447534659649763,0.4193596713788186,0.4781780251748084,0.0,22583237.150915653,22722631.43873488,0.05881835379598982
moloco,1.5,2,0.4576452117987598,0.4576452117987598,0.4478941106811787,0.4673963129163409,,23126678.177365236,23126678.177365236,0.01950220223516219
snapchat,0.5,15,0.8085905347267787,0.7941856248456364,0.4712099950186287,0.9525675547743836,,210675202.93545145,206922058.19513857,0.4813575597557549
snapchat,1.0,15,0.8054099559038878,0.7726405891367597,0.3433407711443336,0.8381990173272789,0.0,206189899.9148797,196725183.04782236,0.49485824618294527
snapchat,1.5,2,0.4918529042275622,0.4918529042275622,0.2911305140874659,0.6925752943676586,,128150412.30670139,128150412.30670139,0.40144478028019276
tiktok,0.5,15,0.7040753083396702,0.8067144022053108,0.4068175446816409,1.8270144676665463,,74041334.29353136,84834974.36367106,1.4201969229849054
tiktok,1.0,15,0.6749236883719762,0.7397175085824759,0.3272180715789242,1.4973595610757668,0.0,72813174.38757458,81372638.92007901,1.1701414894968427
tiktok,1.5,2,0.6972871754054601,0.6972871754054601,0.6912208470981568,0.7033535037127634,,73327486.76350504,73327486.76350504,0.012132656614606607
