channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
amazon,0.5,14,0.5116497104483035,0.5113569879851448,0.4920776340411976,0.5466597333509707,0.0,801947.585672156,803967.993955275,0.05458209930977315
amazon,1.0,16,0.5113427991086307,0.6341068802873876,0.5017117804040512,1.030253652781248,0.0,804866.763247824,998100.5954904641,0.5285418723771969
amazon,1.5,9,0.5089032665360719,0.7313639368163423,0.4971215351577848,1.523098830021918,,801026.8760157445,1151185.7126133135,1.0259772948641332
amazon,2.0,1,0.4960590357345063,0.4960590357345063,0.4960590357345063,0.4960590357345063,,780809.7252321899,780809.7252321899,0.0
beehiiv,0.5,14,0.5170952036961293,0.5148646266738623,0.4900519228105743,0.527461645998992,0.0,16837775.83843196,16841528.480833065,0.03740972318841773
beehiiv,1.0,16,0.5176759235646264,0.5793778805473508,0.4998647166478137,1.035718843365709,0.0,16988688.464884646,19013575.61365381,0.5358541267178953
beehiiv,1.5,9,0.5130677031710124,0.5145961463485663,0.4887136701508037,0.5587033185657735,,16837459.448658504,16887618.715871364,0.0699896484149698
beehiiv,2.0,1,0.4768255601495427,0.4768255601495427,0.4768255601495427,0.4768255601495427,,15648092.802336816,15648092.802336816,0.0
google,0.5,14,0.3639935120598723,0.3492130064230739,0.2245023033137355,0.3838752854522317,0.0,374960632.3977672,348222222.8249088,0.1593729821384962
google,1.0,16,0.3706768175649146,0.45948336009400614,0.2402920621755765,0.8241665197287996,0.0,381743149.56966376,473200957.6682529,0.5838744575532231
google,1.5,9,0.3622005560497442,0.5295397445366554,0.2496982129323684,1.2857576224952936,,373013834.39793575,545348833.060856,1.0360594095629252
google,2.0,1,0.2344847210710092,0.2344847210710092,0.2344847210710092,0.2344847210710092,,241485120.47677556,241485120.47677556,0.0
liveintent,0.5,14,0.5074958745824794,0.5038307395554286,0.4763738820051852,0.5187763537761445,0.0,40286260.60495282,39985691.95137466,0.042402471770959294
liveintent,1.0,16,0.5117127901959855,0.6306186667903724,0.4742010579351335,1.0119642628729344,0.0,40834024.287686184,50322560.720289715,0.5377632049378009
liveintent,1.5,9,0.5074943625864883,0.725833980861827,0.4639152360296187,1.5172179578617215,,40497399.17539208,57920620.65126064,1.053302721832103
liveintent,2.0,1,0.4693722212784147,0.4693722212784147,0.4693722212784147,0.4693722212784147,,37455301.1979773,37455301.1979773,0.0
meta,0.5,14,0.4922159127285704,0.48297230450733053,0.434991448240277,0.4950614847925802,0.0,40659384.47861292,39994853.70927966,0.060070036552303196
meta,1.0,16,0.49413441790811097,0.6005550535778699,0.3914868206340664,0.9848189971471826,0.0,41515104.679971755,50456120.868730254,0.5933321765131161
meta,1.5,9,0.4874427351572861,0.48749592023388544,0.4419225950496426,0.531972009850045,,40952897.515650496,40957365.90308197,0.0900494148004024
meta,2.0,1,0.4351716141068997,0.4351716141068997,0.4351716141068997,0.4351716141068997,,36561296.802360766,36561296.802360766,0.0
moloco,0.5,14,0.5219849718486269,0.5313267326058676,0.518103787562189,0.5824671582803906,0.0,44925095.41263077,45505633.79741823,0.06436337071820164
moloco,1.0,16,0.5364359498388755,0.661223624269575,0.5050634871873384,1.0860587173793466,0.0,45180492.27818352,55690542.10374447,0.5809952301920082
moloco,1.5,9,0.5254204720584675,0.7571034367231186,0.5194349416531623,1.582576823818187,,44252730.61540213,63765871.74466831,1.0631418821650247
moloco,2.0,1,0.5737432567389139,0.5737432567389139,0.5737432567389139,0.5737432567389139,,48322642.784359105,48322642.784359105,0.0
snapchat,0.5,14,0.5166618288556735,0.4844795515053279,0.2949401041979824,0.5386276413872838,0.0,216289699.7593125,199900975.4371537,0.24368753718930142
snapchat,1.0,16,0.4982925002835691,0.6301493199063952,0.4263540054765569,1.003176442446808,0.0,216380374.470428,273638366.49364775,0.576822436970251
snapchat,1.5,9,0.5022543298515181,0.5036128405842679,0.4250553649110952,0.6107601342474421,,218100773.96472695,218690698.67944223,0.18570476933634694
snapchat,2.0,1,0.4169378377357498,0.4169378377357498,0.4169378377357498,0.4169378377357498,,181052625.53382033,181052625.53382033,0.0
tiktok,0.5,14,0.4454225514084101,0.4396368494174177,0.3612344704001831,0.4506904097995721,0.0,78110932.77833365,76293953.05748717,0.089455939399389
tiktok,1.0,16,0.4489838218021517,0.5262997686651942,0.4341337112275262,0.9168049193297824,0.0,78692721.38145268,92243771.4848073,0.48267120810225617
tiktok,1.5,9,0.4450458512563879,0.5288900920583142,0.4214603027204672,1.2224148830523094,,78002519.1872571,92697773.5827993,0.8009545803318422
tiktok,2.0,1,1.723833612029751,1.723833612029751,1.723833612029751,1.723833612029751,,302133733.00389653,302133733.00389653,0.0
