run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,1.004117452489833,0.5121372402909522,,0.4919802121988809,0.960641354491972,1580506.7858879757,774389.5517151273,0.0019535243289689323,809054058.0685602,1580506.7858879757,0.0019535243289689323,15740.258094,0.0008190390385875117,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.5116422052728012,0.5170952036961293,,0.005452998423328,0.0105454438261092,16790678.560079988,-178952.2888673842,0.020753469304837385,809054058.0685602,16790678.560079988,0.020753469304837385,328172.2732613,0.01707633391891276,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",google,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.358563044165882,0.3639935120598723,,0.0054304678939903,0.014919133759442,369267726.7986941,-5592591.225713134,0.4564191021799459,809054058.0685602,369267726.7986941,0.4564191021799459,10298543.94665,0.535881272247419,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.517456457025061,0.5074958745824794,,0.0099605824425816,0.0196269229789824,41292361.53329035,794841.7025576085,0.05103782759815437,809054058.0685602,41292361.53329035,0.05103782759815437,797987.173079,0.041522994295305,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",meta,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.4850501916417852,0.4922159127285704,,0.0071657210867852,0.0145580849815732,40751886.02788994,-602033.8803452626,0.05036979373810467,809054058.0685602,40751886.02788994,0.05036979373810467,840158.1265220001,0.043717345681286386,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",moloco,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.521062682896542,0.5193671595243117,,0.0016955233722303,0.0032645948846348,43885702.530055754,142802.84654587507,0.054243226509268466,809054058.0685602,43885702.530055754,0.054243226509268466,842234.6095886,0.043825394779614675,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",snapchat,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.499085187021022,0.5166618288556735,,0.0175766418346514,0.0340196253196816,216724593.6850263,-7632545.823888808,0.2678740580109182,809054058.0685602,216724593.6850263,0.2678740580109182,4342436.908989999,0.22595724478125545,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",tiktok,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.449371117670089,0.4454225514084101,,0.0039485662616789,0.0088647650398339,78760602.14763585,692059.2894401252,0.09734899832980205,809054058.0685602,78760602.14763585,0.09734899832980205,1752685.00913,0.09120037525761929,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,amazon,amazon,1.0,1.0,LogNormal,lognormal,False,1.030253652781248,0.5121372402909522,,0.5181164124902958,1.0116749412636872,1621645.8397063103,815528.6055334621,0.0019940921556781495,813225123.5674824,1621645.8397063103,0.0019940921556781495,15740.258094,0.0008190390385875117,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,amazon,amazon,1.0,1.0,LogNormal,lognormal,False,0.5204401427491878,0.5170952036961293,,0.0033449390530585,0.0064687102667928,17079402.474243645,109771.62529627234,0.021002059551873124,813225123.5674824,17079402.474243645,0.021002059551873124,328172.2732613,0.01707633391891276,0.51,0.5,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
