channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,0.5,17,0.5121372402909522,0.6257163115866555,0.4971215351577848,1.5082939865688485,0.0,799377.4328415416,1082408.0181420334,1.0111724514110638
amazon,1.0,21,0.5107472113349164,0.6063808502666357,0.4920776340411976,1.523098830021918,0.0,803929.2927202347,954459.1086456014,1.0310211959807203
amazon,1.5,2,0.5059336154496608,0.5059336154496608,0.5017117804040512,0.5101554504952704,,796352.5685608208,796352.5685608208,0.008443670091219269
beehiiv,0.5,17,0.5158610218499476,0.5423237077124855,0.4984123159603526,1.0057352527976036,0.0,16835858.903695136,18249158.3374792,0.5073229368372509
beehiiv,1.0,21,0.5145737389987335,0.5392537550565266,0.4768255601495427,1.035718843365709,0.0,16886883.368778124,17696813.066159256,0.5588932832161663
beehiiv,1.5,2,0.5212549260895079,0.5212549260895079,0.5193418266065418,0.5231680255724738,,17106141.40434447,17106141.40434447,0.0038261989659319484
google,0.5,17,0.3639935120598723,0.4716714199994891,0.3529510469998543,1.2857576224952936,0.0,374185162.24542344,546239739.2879627,0.9328065754954393
google,1.0,21,0.3679706628620625,0.40386106579114556,0.2245023033137355,1.0579935055226088,0.0,378956204.2562882,415918093.439102,0.8334912022088734
google,1.5,2,0.3707808758613343,0.3707808758613343,0.3602111739882578,0.3813505777344108,,381850314.463533,381850314.463533,0.021139403746152974
liveintent,0.5,17,0.5074958745824794,0.6269075643135161,0.5017918875378867,1.5098974751432737,0.0,40938393.35129848,55224001.14216878,1.008105587605387
liveintent,1.0,21,0.5039851197693497,0.5937597644820695,0.4639152360296187,1.5172179578617215,0.0,40217366.09986246,47381267.59470994,1.053302721832103
liveintent,1.5,2,0.5095117120017918,0.5095117120017918,0.5093485217603544,0.5096749022432292,,40658381.07109514,40658381.07109514,0.0003263804828748107
meta,0.5,17,0.4922159127285704,0.5464877523094708,0.4800094431483497,0.9770916010066868,0.0,40952897.515650496,48400717.727401204,0.4970821578583371
meta,1.0,21,0.4879831733958175,0.5196617459184453,0.3914868206340664,0.9848189971471826,0.0,40998302.873449035,43659803.88759927,0.5933321765131161
meta,1.5,2,0.4949697815060305,0.4949697815060305,0.4843961260157327,0.5055434369963283,,41585288.43151103,41585288.43151103,0.021147310980595635
moloco,0.5,17,0.5193671595243117,0.639625477398764,0.5050634871873384,1.528440972889463,0.0,44214513.26703199,59396146.91879268,1.0233774857021247
moloco,1.0,21,0.536741322609596,0.6403245148143365,0.518103787562189,1.582576823818187,0.0,45206211.829816185,53930346.77446624,1.064473036255998
moloco,1.5,2,0.5426892525811369,0.5426892525811369,0.5254533304677655,0.5599251746945083,,45707167.0775603,45707167.0775603,0.034471844226742765
snapchat,0.5,17,0.5166618288556735,0.5689739817669432,0.4828304601507261,1.0022563921784362,0.0,216724593.6850263,259464028.60928467,0.5194259320277101
snapchat,1.0,21,0.499555884647804,0.5283440459035438,0.386316566664027,1.003176442446808,0.0,216928991.1597775,229430068.5576655,0.616859875782781
snapchat,1.5,2,0.5233867942793101,0.5233867942793101,0.2949401041979824,0.7518334843606378,,227277413.3156432,227277413.3156432,0.4568933801626554
tiktok,0.5,17,0.4454225514084101,0.4712292687902592,0.4214603027204672,0.914478992757698,0.0,78238312.73740591,85058795.52847178,0.49301869003723076
tiktok,1.0,21,0.449212438405181,0.5791043670967384,0.3612344704001831,1.723833612029751,0.0,78732790.67074943,101498754.29321699,1.362599141629568
tiktok,1.5,2,0.44373367628781124,0.44373367628781124,0.4403508084158724,0.4471165441597501,,77772536.2475791,77772536.2475791,0.006765735743877732
