channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,0.5,17,0.5121372402909522,0.6257163115866555,0.4971215351577848,1.5082939865688485,0.0,798688.4726824602,1032677.5515299654,1.0111724514110638
amazon,1.0,21,0.5107472113349164,0.6063808502666357,0.4920776340411976,1.523098830021918,0.0,803583.1007411319,959159.237615174,1.0310211959807203
amazon,1.5,2,0.5059336154496608,0.5059336154496608,0.5017117804040512,0.5101554504952704,,796352.5685608208,796352.5685608208,0.008443670091219269
beehiiv,0.5,17,0.5158610218499476,0.5423237077124855,0.4984123159603526,1.0057352527976036,0.0,16813268.731887564,16773529.929130942,0.5073229368372509
beehiiv,1.0,21,0.5145737389987335,0.5392537550565266,0.4768255601495427,1.035718843365709,0.0,16896353.228471115,17737601.61998877,0.5588932832161663
beehiiv,1.5,2,0.5212549260895079,0.5212549260895079,0.5193418266065418,0.5231680255724738,,17106141.40434447,17106141.40434447,0.0038261989659319484
google,0.5,17,0.3639935120598723,0.4716714199994891,0.3529510469998543,1.2857576224952936,0.0,373599498.3216796,517032643.41889685,0.9328065754954393
google,1.0,21,0.3679706628620625,0.40386106579114556,0.2245023033137355,1.0579935055226088,0.0,380197946.3545444,423659252.0391511,0.8334912022088734
google,1.5,2,0.3707808758613343,0.3707808758613343,0.3602111739882578,0.3813505777344108,,381850314.463533,381850314.463533,0.021139403746152974
liveintent,0.5,17,0.5074958745824794,0.6269075643135161,0.5017918875378867,1.5098974751432737,0.0,40834024.287686184,52709586.64899652,1.008105587605387
liveintent,1.0,21,0.5039851197693497,0.5937597644820695,0.4639152360296187,1.5172179578617215,0.0,40286260.60495282,47843661.68856235,1.053302721832103
liveintent,1.5,2,0.5095117120017918,0.5095117120017918,0.5093485217603544,0.5096749022432292,,40658381.07109514,40658381.07109514,0.0003263804828748107
meta,0.5,17,0.4922159127285704,0.5464877523094708,0.4800094431483497,0.9770916010066868,0.0,40934601.7255487,45031675.01071973,0.4970821578583371
meta,1.0,21,0.4879831733958175,0.5196617459184453,0.3914868206340664,0.9848189971471826,0.0,41014259.9747356,44015486.08094601,0.5933321765131161
meta,1.5,2,0.4949697815060305,0.4949697815060305,0.4843961260157327,0.5055434369963283,,41585288.43151103,41585288.43151103,0.021147310980595635
moloco,0.5,17,0.5193671595243117,0.639625477398764,0.5050634871873384,1.528440972889463,0.0,44050107.89854387,56694005.506815456,1.0233774857021247
moloco,1.0,21,0.536741322609596,0.6403245148143365,0.518103787562189,1.582576823818187,0.0,45133843.31931985,54173994.11492723,1.064473036255998
moloco,1.5,2,0.5426892525811369,0.5426892525811369,0.5254533304677655,0.5599251746945083,,45707167.0775603,45707167.0775603,0.034471844226742765
snapchat,0.5,17,0.5166618288556735,0.5689739817669432,0.4828304601507261,1.0022563921784362,0.0,216357722.33051717,242325869.88456494,0.5194259320277101
snapchat,1.0,21,0.499555884647804,0.5283440459035438,0.386316566664027,1.003176442446808,0.0,217514882.56225222,231383511.51204723,0.616859875782781
snapchat,1.5,2,0.5233867942793101,0.5233867942793101,0.2949401041979824,0.7518334843606378,,227277413.3156432,227277413.3156432,0.4568933801626554
tiktok,0.5,17,0.4454225514084101,0.4712292687902592,0.4214603027204672,0.914478992757698,0.0,78120415.9623315,77536738.86361177,0.49301869003723076
tiktok,1.0,21,0.449212438405181,0.5791043670967384,0.3612344704001831,1.723833612029751,0.0,78805076.87927449,103408040.80262075,1.362599141629568
tiktok,1.5,2,0.44373367628781124,0.44373367628781124,0.4403508084158724,0.4471165441597501,,77772536.2475791,77772536.2475791,0.006765735743877732
