target_channel,channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
amazon,amazon,LogNormal,0.5,0.5,0.5121372402909522,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.9861581478778295,False,baseline_qc=REVIEW
amazon,beehiiv,LogNormal,0.5,0.5,0.5170952036961293,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.011090672075698315,False,baseline_qc=REVIEW
amazon,google,LogNormal,0.5,0.5,0.3639935120598723,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.017044860809994757,False,baseline_qc=REVIEW
amazon,liveintent,LogNormal,0.5,0.5,0.5074958745824794,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.00947706675838534,False,baseline_qc=REVIEW
amazon,meta,LogNormal,0.5,0.5,0.4922159127285704,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.009148339855687982,False,baseline_qc=REVIEW
amazon,moloco,LogNormal,0.5,0.5,0.5193671595243117,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.008236778863472249,False,baseline_qc=REVIEW
amazon,snapchat,LogNormal,0.5,0.5,0.5166618288556735,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.05274441631697469,False,baseline_qc=REVIEW
amazon,tiktok,LogNormal,0.5,0.5,0.4454225514084101,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.007413342099099517,False,baseline_qc=REVIEW
beehiiv,amazon,LogNormal,1.0,0.5,1.00361294892927,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.0010994221362650776,False,baseline_qc=REVIEW
beehiiv,beehiiv,LogNormal,1.0,0.5,1.0057352527976036,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.029812607726239625,False,baseline_qc=REVIEW
