target_channel,channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
amazon,amazon,LogNormal,0.5,0.5,0.6377680289559067,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.4011314874659764,False,baseline_qc=FAIL
amazon,beehiiv,LogNormal,0.5,0.5,0.762659886876742,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.325446459540331,False,baseline_qc=FAIL
amazon,google,LogNormal,0.5,0.5,0.5177610162024696,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.49546246337587374,False,baseline_qc=FAIL
amazon,liveintent,LogNormal,0.5,0.5,0.5128150204243138,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.014745857741709681,False,baseline_qc=FAIL
amazon,meta,LogNormal,0.5,0.5,0.6200743053123976,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.3338786036252405,False,baseline_qc=FAIL
amazon,moloco,LogNormal,0.5,0.5,0.6339402654984345,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.1170129384678836,False,baseline_qc=FAIL
amazon,snapchat,LogNormal,0.5,0.5,0.8269837570687135,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.500760269256864,False,baseline_qc=FAIL
amazon,tiktok,LogNormal,0.5,0.5,0.464742603781633,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.034785216716195964,False,baseline_qc=FAIL
beehiiv,amazon,LogNormal,1.0,0.5,1.0193568355962634,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.017082009453504753,False,baseline_qc=REVIEW
beehiiv,beehiiv,LogNormal,1.0,0.5,1.0098402686913808,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.02665776401126413,False,baseline_qc=REVIEW
beehiiv,google,LogNormal,1.0,0.5,0.2701785205653869,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.05525559062959713,False,baseline_qc=REVIEW
beehiiv,liveintent,LogNormal,1.0,0.5,1.0044347065438828,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.004935506913677842,False,baseline_qc=REVIEW
beehiiv,meta,LogNormal,1.0,0.5,0.8827600327382485,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,1.8075635982841588e-05,False,baseline_qc=REVIEW
beehiiv,moloco,LogNormal,1.0,0.5,1.040946418195963,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.008239717717973943,False,baseline_qc=REVIEW
beehiiv,snapchat,LogNormal,1.0,0.5,0.3910992918396369,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.02487663246565007,False,baseline_qc=REVIEW
beehiiv,tiktok,LogNormal,1.0,0.5,0.9834458762655656,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,1,0.006804324514268024,False,baseline_qc=REVIEW
liveintent,amazon,LogNormal,0.5,0.5,0.6377680289559067,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.2089659627803657,False,baseline_qc=FAIL
liveintent,beehiiv,LogNormal,0.5,0.5,0.762659886876742,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.3346493992649896,False,baseline_qc=FAIL
liveintent,google,LogNormal,0.5,0.5,0.5177610162024696,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.48534861846934413,False,baseline_qc=FAIL
liveintent,liveintent,LogNormal,0.5,0.5,0.5128150204243138,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.9545507606228851,False,baseline_qc=FAIL
liveintent,meta,LogNormal,0.5,0.5,0.6200743053123976,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.3328423693874264,False,baseline_qc=FAIL
liveintent,moloco,LogNormal,0.5,0.5,0.6339402654984345,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.14840182970198218,False,baseline_qc=FAIL
liveintent,snapchat,LogNormal,0.5,0.5,0.8269837570687135,"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",FAIL,False,False,4,0.5015335124129617,False,baseline_qc=FAIL
