run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,478822596.21276826,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,502640564.25891113,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,0.5,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,475303787.33222675,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,0.5,0.5,LogNormal,True,FAIL,FAIL:Convergence,0.64,1.53,1.2,4,geometric,,8,0.0,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,464791634.76532793,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.500000|dist=LogNormal|1.000000|1.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,1.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,463487276.4553033,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,1.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,457308182.6920111,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,431609073.8875103,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,2.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,475662414.0259609,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=2.000000|sigma=0.500000|dist=LogNormal|2.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,2.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.64,1.53,1.2,4,geometric,,8,450763559.8968178,alpha=0.6400|ec=1.5300|slope=1.2000|lag=4.0000|decay=geometric
