run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.527808492363159,0.6377680289559067,,0.1099595365927477,0.1724130586676836,830784.189400115,-173079.14858664863,0.0012313990751532092,674666894.0747336,830784.189400115,0.0012313990751532092,15740.258094,0.0008190390385875117,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",beehiiv,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.5178781445433075,0.762659886876742,,0.2447817423334345,0.3209579349136466,16995324.796712134,-8033058.083442498,0.02519069031839814,674666894.0747336,16995324.796712134,0.02519069031839814,328172.2732613,0.01707633391891276,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",google,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.2533045919829358,0.5177610162024696,,0.2644564242195338,0.510769285333986,260866847.2424512,-272351610.6798785,0.3866602163727255,674666894.0747336,260866847.2424512,0.3866602163727255,10298543.94665,0.535881272247419,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",liveintent,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.5118252422163884,0.5128150204243138,,0.0009897782079254,0.0019300881770321,40842997.814673014,-78983.031411767,0.06053801983375338,674666894.0747336,40842997.814673014,0.06053801983375338,797987.173079,0.041522994295305,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",meta,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.4458777097829928,0.6200743053123976,,0.1741965955294048,0.2809285823279572,37460778.130919926,-14635268.534649536,0.055524850055515475,674666894.0747336,37460778.130919926,0.055524850055515475,840158.1265220001,0.043717345681286386,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",moloco,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.5584455056426426,0.6339402654984345,,0.0754947598557919,0.1190881285895829,47034213.24214394,-6358429.959312804,0.06971471944929004,674666894.0747336,47034213.24214394,0.06971471944929004,842234.6095886,0.043825394779614675,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",snapchat,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.4272963881438287,0.8269837570687135,,0.3996873689248848,0.4833073993394952,185550760.69538784,-173561718.28765225,0.27502573836805777,674666894.0747336,185550760.69538784,0.27502573836805777,4342436.908989999,0.22595724478125545,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",tiktok,amazon,amazon,0.5,1.0,LogNormal,lognormal,False,0.4854562429633612,0.464742603781633,,0.0207136391817281,0.044570131968062,85085187.96304543,3630448.487834275,0.12611436652710642,674666894.0747336,85085187.96304543,0.12611436652710642,1752685.00913,0.09120037525761929,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",amazon,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,1.0025543929015597,0.6377680289559067,,0.364786363945653,0.5719734251070043,1578046.4897544032,574183.1517676396,0.0024322197263732907,648809181.4416149,1578046.4897544032,0.0024322197263732907,15740.258094,0.0008190390385875117,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
"multi|amazon,beehiiv,liveintent,meta,moloco,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p64|ec=1p53|slope=1p2|lag=4|decay=geometric",beehiiv,amazon,amazon,1.0,0.5,LogNormal,lognormal,False,0.4966774838479856,0.762659886876742,,0.2659824030287564,0.3487562511226494,16299577.895209605,-8728804.984945029,0.025122298452979544,648809181.4416149,16299577.895209605,0.025122298452979544,328172.2732613,0.01707633391891276,0.64,1.53,1.2,4,geometric,REVIEW,REVIEW:PriorPosteriorShift
