channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,0.5,15,0.6377680289559067,1.076457164605769,0.4948906976900374,3.0164171367883683,0.0,1198124.998071199,1979562.3076881482,2.5215264390983307
amazon,1.0,19,0.5093018732522614,0.9291583550616123,0.4879683460755041,2.989580678741137,0.0,800898.1342320605,1499233.9506983934,2.501612332665633
amazon,1.5,6,1.7644640145078303,1.75929469753752,0.4908967166749062,3.0262628301481405,,2777311.8985928614,2769175.2602646234,2.535366113473234
beehiiv,0.5,15,0.5182985733294239,0.6107410282844471,0.493044177403984,1.0098402686913808,0.0,16889036.458689056,16738871.825773258,0.5167960912873968
beehiiv,1.0,19,0.5122909874546652,0.5316681115464573,0.4649444481163906,0.9829201851195344,0.0,16799907.553167365,17482786.967135128,0.5179757370031438
beehiiv,1.5,6,0.5159977962449194,0.5126048411312513,0.4922373350926985,0.5217595319465423,,16933616.97915163,16822269.599879026,0.02952219685384383
google,0.5,15,0.2773788913805037,0.3397748118657101,0.2461622731562238,0.5177610162024696,0.0,283452651.7272949,283766037.9507957,0.2715987430462458
google,1.0,19,0.2694608088644842,0.27064849004222963,0.2533045919829358,0.2912578552883739,0.0,277696694.4796752,279004280.6312152,0.03795326330543808
google,1.5,6,0.27380927748454265,0.2761040248629352,0.2691551433666609,0.2859507654289094,,281983687.7175047,284346943.38978827,0.016795622062248494
liveintent,0.5,15,0.5128150204243138,0.6445208769835946,0.4977206226112321,1.505444401204586,0.0,41086284.30486335,52763856.43357269,1.007723778593354
liveintent,1.0,19,0.5102039122503872,0.6103343007175493,0.4698954042303376,1.5116418862342835,0.0,40778307.78886314,49197795.67801642,1.041746482003946
liveintent,1.5,6,0.5124601813956785,0.5112532781812156,0.5003112472531697,0.519489785664094,,40893665.1467489,40797355.81831998,0.019178538410924317
meta,0.5,15,0.4226230383198708,0.5323723456652628,0.4057071764192854,0.8932675903911392,0.0,34932955.12170771,38836544.062971026,0.48756041397185385
meta,1.0,19,0.412139523915636,0.4277279524945474,0.30201671858745,0.8827440762892366,0.0,34696872.23621786,36497578.2535385,0.5807273577017866
meta,1.5,6,0.41323989554153134,0.4154335133726191,0.4059610950310404,0.4265736805849398,,34718685.64423199,34902984.228959195,0.020612585553899387
moloco,0.5,15,0.5786287090942884,0.7088613936431293,0.5310906823445112,1.5452685108284157,0.0,47513714.69888603,59429871.587215796,1.0141778284839045
moloco,1.0,19,0.5594453220954165,0.6786322079050526,0.5341463716483364,1.6378352940206726,0.0,47076317.243132055,57570743.63350473,1.1036889223723363
moloco,1.5,6,0.5532719587814063,0.5553846970451478,0.5489711799348395,0.5643764773228516,,46598479.22005777,46776421.348730296,0.015405297388012107
snapchat,0.5,15,0.4228217417405297,0.5254270349365866,0.3910992918396369,0.8269837570687135,0.0,180471461.77082384,181616830.83061278,0.43588446522907665
snapchat,1.0,19,0.4185714027883174,0.4140614337083197,0.3766040016586582,0.4693143231328577,0.0,181834637.673554,179694763.80914685,0.0927103214741995
snapchat,1.5,6,0.40507076792302543,0.4127136082607063,0.4029045546753332,0.4371383346236931,,175899425.3381868,179218280.5353731,0.03423377994835991
tiktok,0.5,15,0.4781877566687763,0.5083308907669141,0.4637005532284577,0.9834458762655656,0.0,83967735.44358265,83822985.55243228,0.5197453230371079
tiktok,1.0,19,0.4854562429633612,0.6521108855066102,0.4100656028968903,1.9128037268916769,0.0,85093449.12970325,116651325.87824084,1.5027381239947866
tiktok,1.5,6,0.4748319214698858,0.4745096166682843,0.4656429862650111,0.484188616949444,,83223079.06166622,83166589.18225248,0.01854563068443288
