run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel0,channel0,channel0,0.5,0.5,LogNormal,lognormal,False,0.2914092876327535,0.4308758754407366,-32.3681588497673,0.1394665878079831,0.323681588497673,1180257535.654262,-564863572.3642516,0.15350073232411046,7688937490.944324,1180257535.654262,0.15350073232411046,40501713.0799782,0.1845244420592972,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel1,channel0,channel0,0.5,0.5,LogNormal,lognormal,False,0.4761735728383064,0.4654245746042579,2.3095037994476746,0.0107489982340485,0.0230950379944767,1491389829.738114,33666183.0067091,0.19396565929877885,7688937490.944324,1491389829.738114,0.19396565929877885,31320298.2023646,0.14269422479759586,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel2,channel0,channel0,0.5,0.5,LogNormal,lognormal,False,0.5611157961810629,0.5478384270270665,2.4235921576454826,0.0132773691539963,0.0242359215764549,677791372.3126853,16038198.034769537,0.08815149988030943,7688937490.944324,677791372.3126853,0.08815149988030943,12079349.341539,0.05503310917455205,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel3,channel0,channel0,0.5,0.5,LogNormal,lognormal,False,0.2672249445443352,0.2585340054263361,3.3616232045248,0.0086909391179991,0.0336162320452479,2347847936.0703983,76358902.44266605,0.30535401527656914,7688937490.944324,2347847936.0703983,0.30535401527656914,87860358.24888599,0.40028883600531356,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel4,channel0,channel0,0.5,0.5,LogNormal,lognormal,False,0.4172684470564127,0.4063499003617714,2.686981511480768,0.0109185466946413,0.0268698151148076,1991650817.168864,52114969.63186097,0.2590280932202321,7688937490.944324,1991650817.168864,0.2590280932202321,47730683.477718174,0.21745938796324124,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel0,channel0,channel0,1.0,0.5,LogNormal,lognormal,False,0.6734905727083484,0.4308758754407366,56.30732911640618,0.2426146972676118,0.5630732911640617,2727752193.7903724,982631085.7718588,0.3042241701389436,8966257324.474148,2727752193.7903724,0.3042241701389436,40501713.0799782,0.1845244420592972,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel1,channel0,channel0,1.0,0.5,LogNormal,lognormal,False,0.4582219578232616,0.4654245746042579,-1.547536845711375,0.0072026167809963,0.0154753684571137,1435164836.1895888,-22558810.541815996,0.1600628650565478,8966257324.474148,1435164836.1895888,0.1600628650565478,31320298.2023646,0.14269422479759586,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel2,channel0,channel0,1.0,0.5,LogNormal,lognormal,False,0.5500463946753492,0.5478384270270665,0.40303263505347275,0.0022079676482826,0.0040303263505347,664420255.533758,2667081.255842328,0.07410229614090681,8966257324.474148,664420255.533758,0.07410229614090681,12079349.341539,0.05503310917455205,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel3,channel0,channel0,1.0,0.5,LogNormal,lognormal,False,0.2537203199276701,0.2585340054263361,-1.8619158012610335,0.004813685498666,0.0186191580126103,2229195820.386706,-42293213.2410264,0.24862054921198054,8966257324.474148,2229195820.386706,0.24862054921198054,87860358.24888599,0.40028883600531356,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel4,channel0,channel0,1.0,0.5,LogNormal,lognormal,False,0.4001041006390005,0.4063499003617714,-1.5370496503654336,0.0062457997227708,0.0153704965036542,1909724218.573723,-29811628.963279724,0.2129901194516213,8966257324.474148,1909724218.573723,0.2129901194516213,47730683.477718174,0.21745938796324124,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel0,channel0,channel0,0.5,1.0,LogNormal,lognormal,False,0.1980244533494503,0.4308758754407366,-54.04141548957829,0.2328514220912863,0.5404141548957829,802032959.2378963,-943088148.7806174,0.10642399264567252,7536204377.411216,802032959.2378963,0.10642399264567252,40501713.0799782,0.1845244420592972,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel1,channel0,channel0,0.5,1.0,LogNormal,lognormal,False,0.4879358652001246,0.4654245746042579,4.8367215278668185,0.0225112905958667,0.0483672152786682,1528229680.169668,70506033.43826318,0.2027850630949362,7536204377.411216,1528229680.169668,0.2027850630949362,31320298.2023646,0.14269422479759586,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel2,channel0,channel0,0.5,1.0,LogNormal,lognormal,False,0.5618796634084234,0.5478384270270665,2.563025098030077,0.0140412363813569,0.0256302509803008,678714074.2216694,16960899.94375372,0.09006046548525487,7536204377.411216,678714074.2216694,0.09006046548525487,12079349.341539,0.05503310917455205,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel3,channel0,channel0,0.5,1.0,LogNormal,lognormal,False,0.2743793931448211,0.2585340054263361,6.128937542415422,0.015845387718485,0.0612893754241541,2410707177.7815914,139218144.15385914,0.31988346613944946,7536204377.411216,2410707177.7815914,0.31988346613944946,87860358.24888599,0.40028883600531356,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel4,channel0,channel0,0.5,1.0,LogNormal,lognormal,False,0.443429746190086,0.4063499003617714,9.125102724352246,0.0370798458283146,0.0912510272435225,2116520486.0003903,176984638.4633875,0.28084701263468687,7536204377.411216,2116520486.0003903,0.28084701263468687,47730683.477718174,0.21745938796324124,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel0,channel0,channel0,0.5,1.5,LogNormal,lognormal,False,0.1597255621523072,0.4308758754407366,-62.93002898133336,0.2711503132884293,0.6293002898133336,646915888.9830971,-1098205219.0354166,0.0869095798197725,7443550990.864639,646915888.9830971,0.0869095798197725,40501713.0799782,0.1845244420592972,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel1,channel0,channel0,0.5,1.5,LogNormal,lognormal,False,0.5026273042584459,0.4654245746042579,7.993288640983523,0.037202729654188,0.0799328864098352,1574243705.4025168,116520058.67111206,0.21149095469817605,7443550990.864639,1574243705.4025168,0.21149095469817605,31320298.2023646,0.14269422479759586,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel2,channel0,channel0,0.5,1.5,LogNormal,lognormal,False,0.5585820937684427,0.5478384270270665,1.961101341444485,0.0107436667413761,0.0196110134144449,674730824.6557314,12977650.377815723,0.09064636293669764,7443550990.864639,674730824.6557314,0.09064636293669764,12079349.341539,0.05503310917455205,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel3,channel0,channel0,0.5,1.5,LogNormal,lognormal,False,0.2762539539486169,0.2585340054263361,6.854010749208675,0.0177199485222808,0.0685401074920868,2427177136.159673,155688102.53194094,0.3260778543921459,7443550990.864639,2427177136.159673,0.3260778543921459,87860358.24888599,0.40028883600531356,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel4,channel0,channel0,0.5,1.5,LogNormal,lognormal,False,0.444260019166395,0.4063499003617714,9.329427365645332,0.0379101188046236,0.0932942736564532,2120483435.6636212,180947588.1266184,0.28487524815320797,7443550990.864639,2120483435.6636212,0.28487524815320797,47730683.477718174,0.21745938796324124,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|channel0,channel1,channel2,channel3,channel4|pmode=roi|rpk=revenue_per_conversion|target=channel0|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",channel0,channel0,channel0,1.0,1.0,LogNormal,lognormal,True,0.4308758754407366,0.4308758754407366,0.0,0.0,0.0,,,,,,,,,0.3,0.5,1.2,4,geometric,PASS,PASS
