channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
channel0,0.5,15,0.4443518196201573,0.4838590001439054,0.2914092876327535,1.060105364744862,3.1275698983231246,1799700990.482184,1959711839.499359,0.7686960771121085
channel0,1.0,15,0.4319289696527024,0.4411119293929207,0.1980244533494503,0.7102793716825545,0.24440779166125648,1782598910.9165244,1807307766.0548942,0.5122549183331042
channel0,1.5,15,0.4449270390005161,0.43128092869566814,0.1597255621523072,0.5571733837295324,3.2610699184322645,1802030727.5123172,1746761643.0898485,0.3974478215772252
channel1,0.5,15,0.4744675375862668,0.518068099329869,0.3136523795158912,1.128792067244649,1.942949185632919,1486046476.4543512,1622604736.014374,0.8151396877287578
channel1,1.0,15,0.4654245746042579,0.47344568268339043,0.2031628987123258,0.7872553848226865,0.0,1487182298.5245624,1495407171.2741787,0.5840924861103607
channel1,1.5,15,0.4753016638321181,0.45816383385978404,0.1777363884075506,0.5677818635416527,2.1221675362239933,1488658984.730199,1434982790.2027068,0.39004547513410215
channel2,0.5,15,0.5490697538169722,0.592248901254601,0.3467601165579011,1.2333473701278368,0.22476093847371506,663240536.9228024,715398137.539696,0.8865872535699357
channel2,1.0,15,0.5478384270270665,0.5548195034653312,0.2453730001156994,0.9113376198957364,0.0,671243620.8547013,674402203.4395833,0.665964619780037
channel2,1.5,15,0.5583208019534747,0.5339491476458368,0.1912033234790821,0.6953678235132247,1.9134062908460856,674415201.144423,644975828.5031049,0.5041645000341426
channel3,0.5,15,0.2611383399530314,0.30128044996224346,0.1988032786206652,0.760961354970932,1.0073469918978746,2294370810.0792713,2647060826.7068276,0.5621580763502667
channel3,1.0,15,0.2585340054263361,0.2634150042305636,0.1193336391929187,0.4303050382621586,0.0,2329792432.8143425,2335815979.160504,0.3109713990692399
channel3,1.5,15,0.2619711775829395,0.25076572678708664,0.0847946437148978,0.3025852046146368,1.3294855162032975,2301688151.3319592,2203236659.2055697,0.21779056089973897
channel4,0.5,15,0.4172684470564127,0.45666769121856327,0.2867437843186781,1.0234158904105426,2.686981511480768,1991650817.168864,2179706102.4053583,0.7366721060918645
channel4,1.0,15,0.4063499003617714,0.41899983718322537,0.1844867037475342,0.692156404213359,0.0,2017997951.6104107,2030104367.1026955,0.5076697004658248
channel4,1.5,15,0.4283497745078057,0.4142287630937386,0.1805485884283552,0.4993136496221025,5.414022281400326,2044542750.4784029,1977142197.8593943,0.3187650611937473
