run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=tiktok|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,1.5,0.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.55,0.5,1.29,4,geometric,279.40536617084445,3,53822837.11229554,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,1.5,0.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.55,0.5,1.29,4,geometric,228.79163738197136,3,117058603.26014297,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=tiktok|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,1.0,0.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.55,0.5,1.29,4,geometric,116.1602551853521,3,27315134.802196566,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,1.0,0.5,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,97.89214204529392,3,50167530.61332874,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=tiktok|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,1.5,1.0,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.55,0.5,1.29,4,geometric,83.07277105520053,3,20298153.420469165,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,0.5,1.5,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,79.71648318601201,3,40149646.043207616,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,1.5,1.0,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,76.69046649259595,3,38555673.22165289,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=tiktok|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,0.5,1.5,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,69.40273018106868,3,10194645.803828003,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,0.5,1.0,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,65.53050059874649,3,32284836.05394391,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=tiktok|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,0.5,1.0,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,58.975093731807476,3,9614261.986057725,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=meta|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",meta,1.5,0.5,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,54.772028512042425,3,48772711.92950682,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=1.500000|dist=LogNormal|1.000000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,1.0,1.5,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,35.034414292130535,3,17176827.242661975,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=tiktok|mu=1.000000|sigma=1.500000|dist=LogNormal|1.000000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,1.0,1.5,LogNormal,False,PASS,PASS,0.55,0.5,1.29,4,geometric,34.45281741323529,3,5996133.747907162,alpha=0.5500|ec=0.5000|slope=1.2900|lag=4.0000|decay=geometric
