run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,google,google,0.5,1.5,LogNormal,lognormal,False,0.0710761134921146,0.2173753125499934,-67.30258249737166,0.1462991990578788,0.6730258249737167,12493239.87648262,-25715404.20214642,0.07437187174542234,167983399.95055443,12493239.87648262,0.07437187174542234,1757726.9300000002,0.35395219794251787,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",meta,google,google,0.5,1.5,LogNormal,lognormal,False,0.699620696529746,0.6286957863283654,11.281276532102726,0.0709249102013805,0.1128127653210273,140755059.91745877,14269217.641149716,0.8379105313911359,167983399.95055443,140755059.91745877,0.8379105313911359,2011876.73,0.4051301589678128,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,google,google,0.5,1.5,LogNormal,lognormal,False,0.1231622724219535,0.1217829295434057,1.1326241565376256,0.0013793428785478,0.0113262415653763,14735100.156613056,165024.19991148077,0.08771759686344188,167983399.95055443,14735100.156613056,0.08771759686344188,1196397.23,0.24091764308966926,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,google,google,1.0,0.5,LogNormal,lognormal,False,0.393923020871977,0.2173753125499934,81.21792040270442,0.1765477083219836,0.8121792040270444,69240910.2133626,31032266.134733565,0.3622114654022906,191161563.96777806,69240910.2133626,0.3622114654022906,1757726.9300000002,0.35395219794251787,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",meta,google,google,1.0,0.5,LogNormal,lognormal,False,0.5348495164668808,0.6286957863283654,-14.927135174478334,0.0938462698614845,0.1492713517447833,107605129.62314694,-18880712.65316212,0.5629014922753233,191161563.96777806,107605129.62314694,0.5629014922753233,2011876.73,0.4051301589678128,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,google,google,1.0,0.5,LogNormal,lognormal,False,0.1196552764608835,0.1217829295434057,-1.7470864681111613,0.0021276530825221,0.0174708646811115,14315524.131268522,-254551.82543305308,0.07488704232238615,191161563.96777806,14315524.131268522,0.07488704232238615,1196397.23,0.24091764308966926,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,google,google,0.5,0.5,LogNormal,lognormal,False,0.1662183752205843,0.2173753125499934,-23.533922380281197,0.0511569373294091,0.2353392238028119,29216651.438606575,-8991992.640022464,0.16536756105692635,176677041.445565,29216651.438606575,0.16536756105692635,1757726.9300000002,0.35395219794251787,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",meta,google,google,0.5,0.5,LogNormal,lognormal,False,0.6611595771461726,0.6286957863283654,5.163672403054954,0.0324637908178071,0.0516367240305495,133017156.80770244,6531314.531393379,0.7528830895025239,176677041.445565,133017156.80770244,0.7528830895025239,2011876.73,0.4051301589678128,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",tiktok,google,google,0.5,0.5,LogNormal,lognormal,False,0.1207227234992509,0.1217829295434057,-0.8705703238785382,0.0010602060441547,0.0087057032387853,14443233.19925597,-126842.75744560549,0.08174934944054968,176677041.445565,14443233.19925597,0.08174934944054968,1196397.23,0.24091764308966926,0.55,0.5,1.29,4,geometric,PASS,PASS
"multi|google,meta,tiktok|pmode=roi|rpk=revenue_per_subscription|target=google|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p55|ec=0p5|slope=1p29|lag=4|decay=geometric",google,google,google,0.5,1.0,LogNormal,lognormal,False,0.0957844311949641,0.2173753125499934,-55.935920196579374,0.1215908813550293,0.5593592019657938,16836287.418612048,-21372356.66001699,0.09973827097316054,168804685.0455496,16836287.418612048,0.09973827097316054,1757726.9300000002,0.35395219794251787,0.55,0.5,1.29,4,geometric,PASS,PASS
