target_channel,channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
amazon,amazon,LogNormal,1.0,1.0,0.9912684287379184,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.4967594136598288,False,baseline_qc=REVIEW
amazon,beehiiv,LogNormal,1.0,1.0,1.01192814538721,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.02281635088925243,False,baseline_qc=REVIEW
amazon,google,LogNormal,1.0,1.0,0.4624041815940291,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.0054427156569375095,False,baseline_qc=REVIEW
amazon,liveintent,LogNormal,1.0,1.0,0.3950009025796316,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.052222485401237924,False,baseline_qc=REVIEW
amazon,meta,LogNormal,1.0,1.0,0.6936717932329823,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.008881243003834974,False,baseline_qc=REVIEW
amazon,moloco,LogNormal,1.0,1.0,0.4577720820593337,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.018984927476624447,False,baseline_qc=REVIEW
amazon,snapchat,LogNormal,1.0,1.0,0.7707467671638976,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.031999123474384314,False,baseline_qc=REVIEW
amazon,tiktok,LogNormal,1.0,1.0,0.7310378235795846,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.029182174001462967,False,baseline_qc=REVIEW
beehiiv,amazon,LogNormal,1.0,1.0,0.9912684287379184,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.02818721033430778,False,baseline_qc=REVIEW
beehiiv,beehiiv,LogNormal,1.0,1.0,1.01192814538721,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.5081451370452921,False,baseline_qc=REVIEW
beehiiv,google,LogNormal,1.0,1.0,0.4624041815940291,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.011494297471020955,False,baseline_qc=REVIEW
beehiiv,liveintent,LogNormal,1.0,1.0,0.3950009025796316,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.019428083085284622,False,baseline_qc=REVIEW
beehiiv,meta,LogNormal,1.0,1.0,0.6936717932329823,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.0038942581553279027,False,baseline_qc=REVIEW
beehiiv,moloco,LogNormal,1.0,1.0,0.4577720820593337,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.014914241008711323,False,baseline_qc=REVIEW
beehiiv,snapchat,LogNormal,1.0,1.0,0.7707467671638976,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.01620436931768407,False,baseline_qc=REVIEW
beehiiv,tiktok,LogNormal,1.0,1.0,0.7310378235795846,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.024212329747571218,False,baseline_qc=REVIEW
google,amazon,LogNormal,1.0,1.0,0.9912684287379184,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.026019269756308035,False,baseline_qc=REVIEW
google,beehiiv,LogNormal,1.0,1.0,1.01192814538721,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.030991040127193517,False,baseline_qc=REVIEW
google,google,LogNormal,1.0,1.0,0.4624041815940291,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.519019309860621,False,baseline_qc=REVIEW
google,liveintent,LogNormal,1.0,1.0,0.3950009025796316,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.023901551375072033,False,baseline_qc=REVIEW
google,meta,LogNormal,1.0,1.0,0.6936717932329823,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.0076754810236822,False,baseline_qc=REVIEW
google,moloco,LogNormal,1.0,1.0,0.4577720820593337,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.03651215859253625,False,baseline_qc=REVIEW
google,snapchat,LogNormal,1.0,1.0,0.7707467671638976,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.01328832916685584,False,baseline_qc=REVIEW
google,tiktok,LogNormal,1.0,1.0,0.7310378235795846,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.04270469081493751,False,baseline_qc=REVIEW
meta,amazon,LogNormal,1.0,1.0,0.9912684287379184,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=meta|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.023194729781827492,False,baseline_qc=REVIEW
meta,beehiiv,LogNormal,1.0,1.0,1.01192814538721,"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=meta|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",REVIEW,False,False,4,0.014809345279158451,False,baseline_qc=REVIEW
