run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",amazon,1.0,1.0,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,0.0,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",amazon,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,10650886.969568841,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",amazon,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,18741175.89180071,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",amazon,0.5,0.5,LogNormal,False,PASS,PASS,0.5,0.65,1.3,5,geometric,,8,7260992.805796265,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",amazon,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,13809932.225550778,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,0.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,21564563.22240825,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=amazon|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",amazon,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,14149189.958519682,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,19145464.571738664,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,21418427.717902444,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,6597105.64221061,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,1.0,1.0,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,0.0,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,20865299.531087637,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=0.500000|sigma=1.000000|dist=LogNormal|0.500000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,0.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,158592770.45579216,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,2.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,35112742.3918771,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=0.500000|sigma=0.500000|dist=LogNormal|0.500000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,0.5,0.5,LogNormal,False,FAIL,FAIL:Convergence,0.5,0.65,1.3,5,geometric,,8,207430074.13032246,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=beehiiv|mu=2.000000|sigma=0.500000|dist=LogNormal|2.000000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",beehiiv,2.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,31188276.682646606,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=0.500000|sigma=1.500000|dist=LogNormal|0.500000|1.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,0.5,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,201792551.40083027,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,1.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,152717891.0561762,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,1.0,1.0,LogNormal,True,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,0.0,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.000000|sigma=1.500000|dist=LogNormal|1.000000|1.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,1.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,95244460.13281986,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,1.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,417584536.6750236,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,1.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,190969593.60655203,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=1.500000|sigma=1.500000|dist=LogNormal|1.500000|1.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,1.5,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,70592551.78538425,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=2.000000|sigma=0.500000|dist=LogNormal|2.000000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,2.0,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,654362309.8527166,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=2.000000|sigma=1.500000|dist=LogNormal|2.000000|1.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,2.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,215552138.96445832,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,2.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,367659104.81700003,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=2.500000|sigma=0.500000|dist=LogNormal|2.500000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,2.5,0.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,928297267.575179,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=2.500000|sigma=1.000000|dist=LogNormal|2.500000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,2.5,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,562808837.685679,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=2.500000|sigma=1.500000|dist=LogNormal|2.500000|1.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,2.5,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,361551723.4956316,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=3.000000|sigma=0.500000|dist=LogNormal|3.000000|0.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,3.0,0.5,LogNormal,False,PASS,PASS,0.5,0.65,1.3,5,geometric,,8,1166436003.966313,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=3.000000|sigma=1.000000|dist=LogNormal|3.000000|1.000000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,3.0,1.0,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,748506318.6275208,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
"multi|amazon,beehiiv,google,meta,snapchat,tiktok|pmode=roi|rpk=60.0|target=google|mu=3.000000|sigma=1.500000|dist=LogNormal|3.000000|1.500000|LogNormal|alpha=0p5|ec=0p65|slope=1p3|lag=5|decay=geometric",google,3.0,1.5,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.5,0.65,1.3,5,geometric,,8,511736073.79660684,alpha=0.5000|ec=0.6500|slope=1.3000|lag=5.0000|decay=geometric
