channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
amazon,0.5,17,1.0223636225114263,0.9756290451019396,0.4904728657804662,1.2905953647568822,,965536.0370547984,921399.1784344377,0.800122498976416
amazon,1.0,17,0.992350813439116,0.9975000367165707,0.96509304321371,1.0248411916196347,0.0,949346.8202014096,945264.6054609492,0.059748148405924684
amazon,1.5,10,1.0141421251557767,1.109065625316153,0.9880688384609918,1.509497815221548,,957771.5276369746,1047418.7511395849,0.5214289767605561
amazon,2.0,8,1.0016433077584952,0.992701848432965,0.9670608666477104,1.02480398257263,,945967.4509347954,937522.9982835444,0.05774311592491965
amazon,2.5,6,0.9973034074343742,0.9927189052839661,0.9708361437233786,1.01236134010988,,941868.7818625614,937539.107037766,0.04152519638650154
amazon,3.0,3,1.004667124679933,0.9892815312650054,0.9531472988892348,1.0100301702258487,,948823.1904611414,934292.797784323,0.05688287133661396
beehiiv,0.5,17,1.044938706268246,0.98360568002768,0.4822755798693591,1.119715419143128,,20575194.639286328,19367526.720444635,0.6374398392737689
beehiiv,1.0,17,1.0240804830472916,1.0282094708528806,1.01192814538721,1.054487352198921,0.0,20505068.53350195,20420654.78925343,0.0425592068117111
beehiiv,1.5,10,1.031886218241416,1.1265338985701092,0.9993848235035936,1.5734914132704338,,20318186.759237483,22181831.42398005,0.5741065897668403
beehiiv,2.0,8,1.0547566925105638,1.2918847866459207,1.019156132284552,2.052723240902026,,20768514.091125704,25437646.033516876,1.0335671086174743
beehiiv,2.5,6,1.0078114032497008,1.0075895533141577,0.9756999955202142,1.032287027449347,,19844145.5533869,19839777.2535267,0.056587031929132725
beehiiv,3.0,3,1.0009554674103855,1.010875774870316,0.96279422278516,1.068877634415403,,19709149.8704036,19904484.061438188,0.10608341163024293
google,0.5,17,0.4621469610463828,0.42056360150794964,0.1444267188791127,0.4737018101289868,,285566447.2888152,259871563.9494611,0.3292750912498741
google,1.0,17,0.4624041815940291,0.46947894827426206,0.3328177413716912,0.6951078078523278,0.0,285982866.0891165,292481477.2502,0.36229006648063666
google,1.5,10,0.46438673054954654,0.5636857561593255,0.4493597867712378,1.1013027570148308,,286950429.1683371,348308551.91444695,0.651942970243593
google,2.0,8,0.4635543205185483,0.6967019341649332,0.4330459619561831,1.4946412294606368,,286436072.49118495,430500929.2028172,1.0615952675044538
google,2.5,6,0.7319410462134208,0.9314930930971687,0.4290842340358843,1.9130682723720869,,452275621.84715354,575581353.3157278,1.4839840383362026
google,3.0,3,1.640229547023773,1.7341193724175294,1.2680049132804077,2.2941236569484076,,1013518564.3570888,1071534273.9347426,1.026118743668
liveintent,0.5,17,0.3950010651047341,0.3909274908518601,0.364694094232982,0.4045570327877067,,18912346.998367246,18717307.39822455,0.039862938554724725
liveintent,1.0,17,0.3950009025796316,0.3936570254183949,0.3745355441824843,0.4109515619083929,0.0,18732992.7386766,18812898.792099703,0.03641601772590858
liveintent,1.5,10,0.3866942425025627,0.38412164133271043,0.3677258644637186,0.4035289761284366,,18514622.72523272,18391448.56113331,0.035803111664718
liveintent,2.0,8,0.3865302620917403,0.3875550195740167,0.3637933996141267,0.4289046398453259,,18506771.469364367,18555836.068946764,0.06511124023119919
liveintent,2.5,6,0.3736854707071324,0.3733162607973079,0.3481712244971034,0.3916196907800622,,17891772.7434168,17874095.257083986,0.043448466282958786
liveintent,3.0,3,0.3890132200391963,0.3846363164505197,0.3728980717691593,0.3919976575432035,,18625653.584966235,18416090.80967219,0.019099585774044192
meta,0.5,17,0.6913175629110386,0.6313960810340415,0.2947567248590834,0.7129976295027882,,34848964.109225586,31828352.9120936,0.41824090464370484
meta,1.0,17,0.6936717932329823,0.6980338374522569,0.5787587183170642,0.8769527517880003,0.0,35014597.68643819,35307467.20224974,0.2981940334709361
meta,1.5,10,0.6942153351847082,0.6979624148023624,0.6684354426587621,0.734550276423494,,34995039.324697606,35183927.688187435,0.06611483376473193
meta,2.0,8,0.7021925996011124,0.7048841927875765,0.6894487825967371,0.7263678534825643,,35397169.13630901,35532850.96964295,0.03691907088582713
meta,2.5,6,0.7115524300700053,0.712758968848373,0.6976567894065132,0.7294415338896215,,35868993.39418753,35929814.3957641,0.03178474448310831
meta,3.0,3,0.7136640990835925,0.7177348714073499,0.7056183671827118,0.7339221479557455,,35975441.54712492,36180647.09406646,0.02830378077303375
moloco,0.5,17,0.4593962623109109,0.4611193936800027,0.4438753323272491,0.4965413593551299,,23215165.89803353,23302242.75058854,0.05266602702788081
moloco,1.0,17,0.4577720820593337,0.454582175836104,0.4112867201375775,0.4807619110207694,0.0,22982311.4262995,22883963.775101207,0.06947519088319187
moloco,1.5,10,0.44981280522692635,0.444879707557382,0.4233229973128375,0.4629542847769335,,22730874.7438952,22481585.20850893,0.039631287464096
moloco,2.0,8,0.4534350449335761,0.4529711580238654,0.4298935599182732,0.4810250845070307,,22913921.282605182,22890479.185987577,0.05113152458875747
moloco,2.5,6,0.4638511439591335,0.4637059336644597,0.4541489780810661,0.4743602387118153,,23440289.22837878,23432951.160228208,0.02021126063074924
moloco,3.0,3,0.445941463659207,0.4506654178620213,0.4323910046221378,0.473663785304719,,22535240.072662864,22773960.736086164,0.04127278068258117
snapchat,0.5,17,0.7808548764139414,0.7006373476869411,0.2441183175019493,1.1535418905007342,,203448782.15428343,182548408.70475793,0.909423572998785
snapchat,1.0,17,0.7707467671638976,0.7620719103282774,0.5030043591822808,0.9371104905630152,0.0,204231324.29566228,197322114.47364607,0.4341061313807344
snapchat,1.5,10,0.7740085334361841,0.7693149119531736,0.72716756362468,0.7985160709607104,,201664993.4079904,200442088.09811115,0.07134850733603038
snapchat,2.0,8,0.7595921033170695,0.7650506463231674,0.7382573709761103,0.7927107892930507,,197908847.11328328,199331049.83042258,0.054453418316940394
snapchat,2.5,6,0.7602570431213826,0.7607130872194344,0.7122581431052337,0.8043782189923028,,198082094.6621936,198200915.22560406,0.09212007588706905
snapchat,3.0,3,0.7360366038155431,0.7297158547816798,0.7023057673933605,0.7508051931361357,,191771550.88657585,190124703.65274915,0.048499425742775215
tiktok,0.5,17,0.7102575223706663,0.6483890928609432,0.2734122526856178,0.7402094316886118,,74691462.72485296,68185310.58844648,0.46679717900299394
tiktok,1.0,17,0.7310378235795846,0.7253820002033357,0.5903647156758234,0.8968653798475862,0.0,76042706.85535738,75957548.03490165,0.3065006641717628
tiktok,1.5,10,0.7144710180132339,0.8327946014458624,0.6660414487371842,1.3595333655923605,,75134558.56377873,87577596.81831338,0.6934919168551763
tiktok,2.0,8,0.726473563274679,1.0142788893597512,0.6363543959582846,1.8373416936397553,,76396759.43284708,106662684.2674717,1.2009872976814706
tiktok,2.5,6,1.1534553467870379,1.3092524070892897,0.6081174617260694,2.32034639587005,,121298633.70086923,137682424.024366,1.7122289341439805
tiktok,3.0,3,0.6565095961311211,0.6454616883904155,0.6065244232056042,0.6733510458345214,,69039271.6493404,67877461.51257725,0.06682662262891725
