channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_mu
amazon,0.5,22,1.0044424078722174,1.0088482825622442,0.5072201448166743,1.509497815221548,,948610.9644280514,952771.9407131019,1.0022776704048737
amazon,1.0,22,1.006882162204323,1.0086040636896647,0.4904728657804662,1.505495405048132,0.0,962850.8664457069,958680.8124161388,1.0150225392676657
amazon,1.5,15,1.004667124679933,1.0066220014865201,0.9680876764313628,1.0482860708826531,,948823.1904611414,950669.4063898007,0.08019839445129029
amazon,2.0,2,1.008170908599471,1.008170908599471,1.001469250768423,1.014872566430519,,952132.2182530893,952132.2182530893,0.01340331566209585
beehiiv,0.5,22,1.0307105966222783,1.0740952465115257,0.5131679786695167,2.0227857298155625,,20295038.374082632,21149296.724810626,1.5096177511460458
beehiiv,1.0,22,1.018983505126865,1.071727700400727,0.4822755798693591,2.052723240902026,0.0,20370080.74662525,21544231.453404725,1.570447661032667
beehiiv,1.5,15,1.0418445798894391,1.0398722138428647,1.0037843820483734,1.10619202671883,,20514270.25003688,20475433.699084412,0.10240764467045671
beehiiv,2.0,2,1.0366257243106762,1.0366257243106762,1.0246710450636844,1.0485804035576682,,20411509.228090577,20411509.228090577,0.02390935849398379
google,0.5,22,0.46325779419237123,0.6872490140248909,0.310740968893903,2.2941236569484076,,286252845.1270966,424659850.39363325,1.9833826880545047
google,1.0,22,0.4624041815940291,0.5823190418535324,0.2151144094371314,1.640229547023773,0.0,285205558.3687305,387608634.92035854,1.4251151375866418
google,1.5,15,0.4636462301077942,0.5518498309002315,0.1444267188791127,1.2680049132804077,,286492864.58782303,340994984.12864435,1.123578194401295
google,2.0,2,0.4621341821085661,0.4621341821085661,0.4612140960680941,0.4630542681490381,,285558551.0216533,285558551.0216533,0.0018401720809440025
liveintent,0.5,22,0.3893218797876034,0.3886387881367806,0.3481712244971034,0.4109515619083929,,18640431.976170715,18607726.073647078,0.06278033741128947
liveintent,1.0,22,0.39096659275509105,0.3886720182857243,0.3637933996141267,0.4289046398453259,0.0,18571615.2162276,18495683.81665919,0.06511124023119919
liveintent,1.5,15,0.3915784975948433,0.38681420185856724,0.3688537705953543,0.4083949069531324,,18748477.10005386,18520366.286875665,0.03954113635777812
liveintent,2.0,2,0.3851745457376819,0.3851745457376819,0.3745355441824843,0.3958135472928795,,18441860.813712046,18441860.813712046,0.021278003110395183
meta,0.5,22,0.695952473958023,0.6953999870878672,0.4324679846720149,0.8769527517880003,,35082607.600135416,35054757.02010994,0.44448476711598534
meta,1.0,22,0.6936717932329823,0.6814919077185737,0.3401691644355499,0.7339221479557455,0.0,35250534.04803057,34123414.69533609,0.3937529835201956
meta,1.5,15,0.6953413173152755,0.6640218332984045,0.2947567248590834,0.7209694568409274,,35051799.50693648,33473000.36602148,0.426212731981844
meta,2.0,2,0.6984077733429148,0.6984077733429148,0.6912475875206292,0.7055679591652005,,35206377.9840111,35206377.9840111,0.01432037164457134
moloco,0.5,22,0.4548402312902423,0.45369645189439206,0.4112867201375775,0.4965413593551299,,22984931.077555545,22927131.24198038,0.08525463921755239
moloco,1.0,22,0.4577720820593337,0.4567848941319001,0.4323910046221378,0.477916384357959,0.0,23123377.114529673,23064495.33213937,0.045525379735821214
moloco,1.5,15,0.4561981432543446,0.4545014449988181,0.4237525018195932,0.4810250845070307,,23053551.904732022,22967810.82516205,0.05727258268743751
moloco,2.0,2,0.46280679477533937,0.46280679477533937,0.4534238664192768,0.472189723131402,,23387514.006753556,23387514.006753556,0.018765856712125217
snapchat,0.5,22,0.7814693551231175,0.7801872908617511,0.4452369219188888,1.1535418905007342,,203608882.25587437,203274845.26577902,0.7083049685818454
snapchat,1.0,22,0.7707467671638976,0.7528302924780556,0.3676672533845218,0.8105361603945493,0.0,203363245.25284672,194396556.77426404,0.44286890701002757
snapchat,1.5,15,0.7688127433136106,0.7306352169251639,0.2824711742938962,0.803249108257393,,200311249.96001264,190364239.9790248,0.5207779339634968
snapchat,2.0,2,0.373561338342115,0.373561338342115,0.2441183175019493,0.5030043591822808,,97329992.60331008,97329992.60331008,0.2588860416803315
tiktok,0.5,22,0.7148863174968089,0.8469041222920218,0.4280759884836152,2.32034639587005,,75178231.9145284,89061369.55869761,1.8922704073864347
tiktok,1.0,22,0.7259847060753963,0.807426806909048,0.3298377483161554,1.9608703843255837,0.0,74765017.28425464,87922322.71009673,1.6310326360094283
tiktok,1.5,15,0.7051010584707061,0.7836047038754202,0.2734122526856178,1.6326326356828214,,74149203.30619815,82404733.05397211,1.3592203829972036
tiktok,2.0,2,0.7194171092907589,0.7194171092907589,0.7111257462048283,0.7277084723766893,,75654694.96593311,75654694.96593311,0.016582726171861073
