run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p0|lag=4|decay=geometric,google,0.00178,0.00178,LogNormal,False,FAIL,FAIL:Convergence,0.3,0.5,1.0,4,geometric,8582.677026545807,8,0.0,alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.150000|cscale=0.005000|dist=LogNormal|0.013352|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.013352,0.000445,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,51.898926976297616,8,17100374.967973568,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p3|ec=0p3|slope=1p2|lag=4|decay=geometric,google,0.00178,0.00178,LogNormal,False,PASS,PASS,0.3,0.3,1.2,4,geometric,40.79578811716865,8,0.0,alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.150000|cscale=0.050000|dist=LogNormal|0.013352|0.004451|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.013352,0.004451,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,40.23094463680658,8,13550601.55763536,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.150000|cscale=0.020000|dist=LogNormal|0.013352|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.013352,0.00178,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,39.71681243594601,8,16126231.228835536,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p3|ec=0p7|slope=1p2|lag=4|decay=geometric,google,0.00178,0.00178,LogNormal,False,PASS,PASS,0.3,0.7,1.2,4,geometric,38.19668754282022,8,0.0,alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.050000|cscale=0.050000|dist=LogNormal|0.004451|0.004451|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.004451,0.004451,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,33.145185362569066,8,4719786.585859958,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.050000|cscale=0.020000|dist=LogNormal|0.004451|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.004451,0.00178,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,31.128421858040674,8,5235378.266997771,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p4|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.00178,0.00178,LogNormal,False,PASS,PASS,0.4,0.5,1.2,4,geometric,30.95989659090327,8,0.0,alpha=0.4000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=2|decay=geometric,google,0.00178,0.00178,LogNormal,False,PASS,PASS,0.3,0.5,1.2,2,geometric,30.368940891453057,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=2.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.050000|dist=LogNormal|0.001780|0.004451|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.00178,0.004451,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,28.230452297566007,8,3142663.8056569234,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p4|lag=4|decay=geometric,google,0.00178,0.00178,LogNormal,False,FAIL,FAIL:Convergence,0.3,0.5,1.4,4,geometric,25.14833591613701,8,0.0,alpha=0.3000|ec=0.5000|slope=1.4000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.050000|cscale=0.005000|dist=LogNormal|0.004451|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.004451,0.000445,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,24.08747228966627,8,5686165.1691903,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p2|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.00178,0.00178,LogNormal,False,FAIL,FAIL:Convergence,0.2,0.5,1.2,4,geometric,22.328322271101502,8,0.0,alpha=0.2000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.005000|dist=LogNormal|0.000890|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.00089,0.000445,LogNormal,False,FAIL,FAIL:Convergence,0.3,0.5,1.2,4,geometric,21.967904463821693,8,3183698.9594576536,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=6|decay=geometric,google,0.00178,0.00178,LogNormal,False,PASS,PASS,0.3,0.5,1.2,6,geometric,18.57170085609257,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.001780|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=binomial,google,0.00178,0.00178,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,binomial,17.140538340308783,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=binomial
multi|google|pmode=contribution|rpk=none|cmean=0.005000|cscale=0.050000|dist=LogNormal|0.000445|0.004451|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.000445,0.004451,LogNormal,False,FAIL,FAIL:Convergence,0.3,0.5,1.2,4,geometric,16.739140910715907,8,2582586.846119588,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.005000|dist=LogNormal|0.001780|0.000445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.00178,0.000445,LogNormal,False,REVIEW,REVIEW:PriorPosteriorShift,0.3,0.5,1.2,4,geometric,16.257129002268552,8,1650928.1992117306,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.050000|dist=LogNormal|0.000890|0.004451|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.00089,0.004451,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,16.029242235854152,8,2452320.9822563706,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|google|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.020000|dist=LogNormal|0.000890|0.001780|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,0.00089,0.00178,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,12.766653301009413,8,2818406.6463106642,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
