channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
amazon,0.5,3,0.1434419421979691,0.14245380583956524,0.1392835131396229,0.1446359621811037,,226721.02830526297,226721.02830526297,0.0053524490414808
amazon,1.0,3,0.1376781814809267,0.13616650152537554,0.1291500635774961,0.1416712595177038,,216709.01104223577,214329.58777664555,0.012521195940207702
amazon,1.5,3,0.1361602997221052,0.13471582730339526,0.1267829918884672,0.1412041902996134,,214319.8259782332,212046.18911021735,0.014421198411146197
amazon,2.0,3,0.1292347862008803,0.12931135706306016,0.1252963795714701,0.1334029054168301,,203418.88895247653,203539.41346579566,0.00810652584535998
amazon,2.5,3,0.1292759829697509,0.13016586134029132,0.1272607509590064,0.1339608500921167,,203483.7337299428,204884.42525240025,0.006700099133110288
amazon,3.0,3,0.1277314067538827,0.12932990993489504,0.1253876351149908,0.1348706879358117,,201052.53090158085,203568.6161649023,0.009483052820820903
beehiiv,0.5,3,0.1911933857210291,0.18823748278483332,0.177819048637369,0.1957000139961019,,6348384.324748184,6348384.324748184,0.017880965358732903
beehiiv,1.0,3,0.1782808213533523,0.17146676515591222,0.1561533820015999,0.1799660921127845,,5850682.242242134,5627063.810997718,0.023812710111184604
beehiiv,1.5,3,0.1713217629826006,0.1608261802947769,0.137180455791143,0.1739763221105871,,5622305.241713367,5277869.318726863,0.03679586631944412
beehiiv,2.0,3,0.1556327520272073,0.14671180236243844,0.1189361796268106,0.1655664754332974,,5107435.402668082,4814674.569554399,0.04663029580648678
beehiiv,2.5,3,0.1420358220344254,0.1340506981861674,0.1018095854006242,0.1583066871234526,,4661221.860157483,4399172.235601898,0.056497101722828416
beehiiv,3.0,3,0.1286771913648893,0.1221826565291525,0.0861917866347357,0.1516789915878325,,4222828.6407095045,4009696.014627659,0.06548720495309679
google,0.5,3,0.0101520268025342,0.012026492870556633,0.0074346376137934,0.0184928141953423,,9055851.818326779,9055851.818326779,0.011058176581548902
google,1.0,3,0.020948479969132,0.0259381388156584,0.014526318985833,0.0423396174920102,,21573884.15776231,26712506.24873662,0.027813298506177198
google,1.5,3,0.0340916580497287,0.04236190274280183,0.0224208114761859,0.0705732387024909,,35109443.863929525,43626591.706045784,0.048152427226305
google,2.0,3,0.048228341708891,0.06080666972272506,0.0314213335172583,0.1027703339420259,,49668169.65630672,62622016.03889161,0.07134900042476759
google,2.5,3,0.0636553060170263,0.08100728260922346,0.0409677550212169,0.1383987867894272,,65555696.64537996,83425705.99497841,0.09743103176821029
google,3.0,3,0.0797710010036826,0.10220606936504027,0.0509019263880327,0.1759452807034055,,82152515.95046866,105257369.69702256,0.1250433543153728
liveintent,0.5,3,0.1058010196406394,0.1042680892515151,0.1011712382749343,0.1058320098389716,,8444022.146228973,8444022.146228973,0.004660771564037311
liveintent,1.0,3,0.0980653521379766,0.09608056302648034,0.086051092770261,0.1041252441712034,,7825489.312958061,7667105.687733973,0.0180741514009424
liveintent,1.5,3,0.0924023820184326,0.08880400082963098,0.0756625668883013,0.0983470535821591,,7373591.561265484,7086445.358014241,0.022684486693857808
liveintent,2.0,3,0.085957508602878,0.082584125745343,0.0678947526565753,0.0939001159765757,,6859298.929492444,6590107.304472692,0.026005363320000405
liveintent,2.5,3,0.0804125663389762,0.07583183154476696,0.0599852662238602,0.0870976620714645,,6416819.649286716,6051282.888381152,0.027112395847604297
liveintent,3.0,3,0.0732151400262955,0.07015510412178827,0.0544591501537555,0.0827910221853138,,5842474.261616669,5598287.3215208715,0.0283318720315583
meta,0.5,3,0.0229427925584604,0.023361366041418502,0.0229218586239342,0.0242194469418609,,1926677.9705492842,1926677.9705492842,0.0012975883179267012
meta,1.0,3,0.0242650064748401,0.0244563328030441,0.023248524122755,0.0258554678115372,,2038644.237994586,2054718.6749404066,0.0026069436887821984
meta,1.5,3,0.0253376100418002,0.026063436219701464,0.0242709085244374,0.0285817900928668,,2128759.898326387,2189740.7745070024,0.0043108815684294
meta,2.0,3,0.0259844881664806,0.02769207458115283,0.0250242891461433,0.0320674464308346,,2183107.889658342,2326572.149960886,0.007043157284691296
meta,2.5,3,0.0283206238391964,0.03007914900294657,0.0262924195354571,0.0356244036341862,,2379380.2266673543,2527124.147369168,0.009331984098729103
meta,3.0,3,0.0296472695644479,0.0318472029964646,0.0269088618119712,0.0389854776129747,,2490839.445375926,2675668.640447553,0.012076615801003502
moloco,0.5,3,0.0728962697771688,0.0728172417554176,0.0718435023748315,0.0737119531142525,,6173925.968471734,6173925.968471734,0.0018684507394209904
moloco,1.0,3,0.0707760090815524,0.07068463078674134,0.0686438568134326,0.072634026465239,,5961000.43770405,5953304.241458543,0.003990169651806402
moloco,1.5,3,0.0709197817575962,0.06936525419186276,0.0662170263278918,0.0709589544901003,,5973109.470071775,5842181.778329753,0.004741928162208503
moloco,2.0,3,0.0691502402540451,0.0676060857626402,0.0633270662677629,0.0703409507661126,,5824072.560332358,5694018.524811068,0.007013884498349707
moloco,2.5,3,0.0688593774048301,0.06601972473552448,0.0596805129165295,0.0695192838852138,,5799575.084507114,5560409.70877713,0.009838770968684303
moloco,3.0,3,0.0655605581360093,0.06291505928759254,0.0545271464375158,0.0686574732892525,,5521737.108609252,5298924.039632912,0.014130326851736694
snapchat,0.5,3,0.0309938179278591,0.030987842859855497,0.030919988877528,0.0310497217741794,,13442839.992389455,13442839.992389455,0.00012973289665139942
snapchat,1.0,3,0.0308530777615184,0.0303167191519686,0.0291482838650699,0.0309487958293175,,13397754.362755606,13164844.020499244,0.0018005119642475996
snapchat,1.5,3,0.0303958940022857,0.029342076587361297,0.0271834823518292,0.030446853407969,,13199225.19972732,12741611.635936903,0.0032633710561397987
snapchat,2.0,3,0.0289786270615877,0.027956040959300734,0.0245110826180704,0.0303784131982441,,12583785.972409485,12139734.40909037,0.005867330580173701
snapchat,2.5,3,0.0284397650071575,0.026647095353562435,0.0220639470353489,0.0294375740181809,,12349788.525008297,11571333.038068542,0.0073736269828319975
snapchat,3.0,3,0.0264708349407495,0.024841417985994135,0.0194287462066859,0.028624672810547,,11494793.065849274,10787229.033402896,0.0091959266038611
tiktok,0.5,3,0.0282477207016199,0.028416992257504367,0.0279840504440168,0.0290192056268764,,4995437.619352659,4995437.619352659,0.0010351551828596019
tiktok,1.0,3,0.0276565567097471,0.027045294829618333,0.025591523964346,0.0278878038147619,,4847323.234932746,4740188.281537316,0.002296279850415899
tiktok,1.5,3,0.0266074529167963,0.02595316570905393,0.0243532222476399,0.0268988219627256,,4663448.385840117,4548772.44777256,0.0025455997150857015
tiktok,2.0,3,0.0249105430580675,0.025035131299648267,0.0232296645926544,0.0269651862482229,,4366033.53871623,4387869.933049478,0.003735521655568501
tiktok,2.5,3,0.0246835128749565,0.0245451076346863,0.0225910276195888,0.0263607824095136,,4326242.298860361,4301984.219879699,0.0037697547899247993
tiktok,3.0,3,0.0236651652110352,0.0236127610988397,0.0219059022306464,0.0252672158548375,,4147758.0303966193,4138573.2402104377,0.0033613136241910993
