channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_mu
amazon,0.000445,5,0.1508150312956422,0.14807807532325382,0.1399118306658541,0.1529022522332767,0.07418190626229719,237386.75170480955,233078.71236507874,0.012990421567422583
amazon,0.00178,5,0.1490714783097307,0.14919191428739573,0.1449962560615192,0.1545877767276639,-1.08276271110328,232697.9171466222,234237.20849688863,0.009591520666144715
amazon,0.004451,5,0.1473001885383079,0.14895043809618796,0.1420584700411806,0.1561825116941084,-2.2581122321107965,231854.29848878272,234451.83388483687,0.014124041652927799
beehiiv,0.000445,5,0.1766177804147203,0.17427734906040127,0.1559658335708081,0.1819839439727366,-7.030802712263436,5796105.849706386,5719299.381910497,0.0260181104019285
beehiiv,0.00178,5,0.188213578996559,0.1803554216083139,0.1648620880177865,0.1908105129251877,-0.926932062703582,5843599.475921334,5839846.887666043,0.02594842490740118
beehiiv,0.004451,5,0.1682268948604663,0.1759642224051058,0.165106787768503,0.1960860241328676,-11.447650736740371,5520740.251004893,5774657.887934054,0.030979236364364615
google,0.000445,5,0.0017529066240725,0.0041772450999936,0.0004129908848153,0.0133722339166949,,1805238.590238453,4301954.223821247,0.0129592430318796
google,0.00178,5,0.0014985685485104,0.00390349141470762,0.000317523151711,0.0128748226320991,,2485318.126540701,4639207.88361963,0.0125572994803881
google,0.004451,5,0.0010002509019795,0.0031218520245789,0.0001911990550862,0.0109052452864125,,1030112.7871712182,3215053.0270064077,0.0107140462313263
liveintent,0.000445,5,0.1083293601466963,0.1100180796406542,0.0949089074941973,0.1243603425566107,-10.880784030669128,8644543.986491906,8779301.636002593,0.029451435062413406
liveintent,0.00178,5,0.1142766501506169,0.11164499716615923,0.1000564381573349,0.1215555578765149,-5.988132384117267,8838405.383639384,8711415.059581522,0.02149911971917999
liveintent,0.004451,5,0.1078742317762225,0.10725064796830212,0.0994140204352637,0.1130959723548342,-11.255204072355863,8608225.326317662,8558464.13831164,0.0136819519195705
meta,0.000445,5,0.0220261143535996,0.02234355898605034,0.0214971131676187,0.023302239778762,,1850541.8969879567,1877212.2657553852,0.0018051266111433033
meta,0.00178,5,0.0226863403012976,0.022484969061799302,0.0216884957145278,0.0229537032047907,,1892067.2442793914,1879247.6782013297,0.0012652074902629006
meta,0.004451,5,0.0223045997445782,0.02235128023770322,0.0221125464319872,0.0227616845133403,,1873939.0734227905,1877860.9729876942,0.0006491380813531018
moloco,0.000445,5,0.0732741458186258,0.07342938351848469,0.0717562108859419,0.076625846872727,-3.2605849833085343,6171402.159648845,6184476.8160022525,0.004869635986785095
moloco,0.00178,5,0.0731601259919504,0.07324202743420995,0.0707203795046856,0.0757438380271196,-3.4111184519645295,6144685.868352668,6116019.251453337,0.005023458522434007
moloco,0.004451,5,0.0735564532938102,0.07314672291154656,0.0719503277478118,0.0741208585972587,-2.887871528937074,6195179.072263433,6160670.161409192,0.0021705308494469056
snapchat,0.000445,5,0.0303137322111676,0.03101029392766454,0.0296041515469551,0.0333743315873046,,13163546.96030132,13466024.491011893,0.0037701800403494995
snapchat,0.00178,5,0.031349415211007,0.03070641144892816,0.0292239283956587,0.0317974400256449,,13225965.363199517,13215622.372838434,0.002573511629986199
snapchat,0.004451,5,0.0309216181995968,0.030937061184551518,0.030051661596323,0.0317964595012987,,13427517.615562605,13434223.634347837,0.0017447979049757048
tiktok,0.000445,5,0.0296043154038488,0.02940733227677018,0.0277996811162059,0.0303755018363396,,5188703.981388214,5154179.0439999895,0.002575820720133702
tiktok,0.00178,5,0.029288418587918,0.028998334274937636,0.0274595763658483,0.0297615105224152,,5117244.969767865,5049054.388135437,0.0023019341565669003
tiktok,0.004451,5,0.0292820084638272,0.02923136120134338,0.0281271330018838,0.0304264171250785,,5132213.727176772,5123336.857405886,0.0022992841231946996
