channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi,baseline_mu,baseline_sigma,baseline_roi,pct_change,abs_pct_change
meta,"google,meta,moloco",0.020759,0.006689,Normal,0.01870136,0.051898,0.016722,0.12061889,-84.4954965179998,84.4954965179998
google,"google,meta,moloco",0.020759,0.006689,Normal,0.01879316,0.051898,0.016722,0.12061889,-84.41938903599593,84.41938903599593
snapchat,"google,meta,moloco",0.020759,0.006689,Normal,-0.022104809,0.051898,0.016722,0.12061889,-118.32615853122176,118.32615853122176
tiktok,"google,meta,moloco",0.020759,0.006689,Normal,-0.044874117,0.051898,0.016722,0.12061889,-137.20322496749887,137.20322496749887
moloco,"google,meta,moloco",0.020759,0.006689,Normal,0.02076329,0.051898,0.016722,0.12061889,-82.7860379083243,82.7860379083243
liveintent,"google,meta,moloco",0.020759,0.006689,Normal,0.091445774,0.051898,0.016722,0.12061889,-24.186191731659953,24.186191731659953
beehiiv,"google,meta,moloco",0.020759,0.006689,Normal,0.34787792,0.051898,0.016722,0.12061889,188.41081193832903,188.41081193832903
amazon,"google,meta,moloco",0.020759,0.006689,Normal,0.22885288,0.051898,0.016722,0.12061889,89.73220529553869,89.73220529553869
meta,"google,meta,moloco",0.020759,0.006689,LogNormal,1.0206046,0.051898,0.016722,1.4225322,-28.254376245402394,28.254376245402394
google,"google,meta,moloco",0.020759,0.006689,LogNormal,1.015008,0.051898,0.016722,1.4225322,-28.647801434652948,28.647801434652948
snapchat,"google,meta,moloco",0.020759,0.006689,LogNormal,0.16829929,0.051898,0.016722,1.4225322,-88.16903476771914,88.16903476771914
tiktok,"google,meta,moloco",0.020759,0.006689,LogNormal,0.30095488,0.051898,0.016722,1.4225322,-78.84372107710462,78.84372107710462
moloco,"google,meta,moloco",0.020759,0.006689,LogNormal,1.0204098,0.051898,0.016722,1.4225322,-28.268070135776195,28.268070135776195
liveintent,"google,meta,moloco",0.020759,0.006689,LogNormal,0.4962019,0.051898,0.016722,1.4225322,-65.11840645856734,65.11840645856734
beehiiv,"google,meta,moloco",0.020759,0.006689,LogNormal,0.71385574,0.051898,0.016722,1.4225322,-49.817955614642685,49.817955614642685
amazon,"google,meta,moloco",0.020759,0.006689,LogNormal,1.4696755,0.051898,0.016722,1.4225322,3.314040975662968,3.314040975662968
meta,"google,meta,moloco",0.020759,0.016722,Normal,0.012273336,0.051898,0.016722,0.12061889,-89.82469827072691,89.82469827072691
google,"google,meta,moloco",0.020759,0.016722,Normal,0.009784146,0.051898,0.016722,0.12061889,-91.88838000416023,91.88838000416023
snapchat,"google,meta,moloco",0.020759,0.016722,Normal,-0.019008555,0.051898,0.016722,0.12061889,-115.75918581243783,115.75918581243783
tiktok,"google,meta,moloco",0.020759,0.016722,Normal,-0.032957118,0.051898,0.016722,0.12061889,-127.3233471142041,127.3233471142041
moloco,"google,meta,moloco",0.020759,0.016722,Normal,0.021498475,0.051898,0.016722,0.12061889,-82.17652724212601,82.17652724212601
liveintent,"google,meta,moloco",0.020759,0.016722,Normal,0.18334377,0.051898,0.016722,0.12061889,52.00253459470567,52.00253459470567
beehiiv,"google,meta,moloco",0.020759,0.016722,Normal,0.3116215,0.051898,0.016722,0.12061889,158.35215363033103,158.35215363033103
amazon,"google,meta,moloco",0.020759,0.016722,Normal,0.21618624,0.051898,0.016722,0.12061889,79.23083192027384,79.23083192027384
meta,"google,meta,moloco",0.020759,0.016722,LogNormal,1.0177239,0.051898,0.016722,1.4225322,-28.456881327536905,28.456881327536905
google,"google,meta,moloco",0.020759,0.016722,LogNormal,0.98498285,0.051898,0.016722,1.4225322,-30.75848476400042,30.75848476400042
snapchat,"google,meta,moloco",0.020759,0.016722,LogNormal,0.16658762,0.051898,0.016722,1.4225322,-88.2893603392598,88.2893603392598
tiktok,"google,meta,moloco",0.020759,0.016722,LogNormal,0.29411566,0.051898,0.016722,1.4225322,-79.32449894631559,79.32449894631559
moloco,"google,meta,moloco",0.020759,0.016722,LogNormal,1.0177237,0.051898,0.016722,1.4225322,-28.45689538697262,28.45689538697262
liveintent,"google,meta,moloco",0.020759,0.016722,LogNormal,0.4887003,0.051898,0.016722,1.4225322,-65.64574777287994,65.64574777287994
