channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
amazon,LogNormal,0.051898,0.016722,0.13222179,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.09477144425287226,True,
amazon,Normal,0.051898,0.016722,0.036620628,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,True,4,1.9795134,False,abs(baseline_roi)=0.0366 < min_abs_baseline_roi=0.0500; baseline_qc=REVIEW; sign_flip_zone; local_volatility_ratio=1.980 > max_local_sensitivity_ratio=1.000
beehiiv,LogNormal,0.051898,0.016722,0.163973,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.14317140626810507,True,
beehiiv,Normal,0.051898,0.016722,0.25105745,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.2653957689763837,False,baseline_qc=REVIEW
google,LogNormal,0.051898,0.016722,0.025752464,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.26922821999999996,False,abs(baseline_roi)=0.0258 < min_abs_baseline_roi=0.0500
google,Normal,0.051898,0.016722,0.0122020915,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,True,4,0.38922286199999995,False,abs(baseline_roi)=0.0122 < min_abs_baseline_roi=0.0500; baseline_qc=REVIEW; sign_flip_zone
liveintent,LogNormal,0.051898,0.016722,0.09218383,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.12830726386612495,True,
liveintent,Normal,0.051898,0.016722,-0.03544803,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,True,4,2.3883197999999997,False,abs(baseline_roi)=0.0354 < min_abs_baseline_roi=0.0500; baseline_roi <= 0; baseline_qc=REVIEW; sign_flip_zone; local_volatility_ratio=2.388 > max_local_sensitivity_ratio=1.000
meta,LogNormal,0.051898,0.016722,0.033615954,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.28879612,False,abs(baseline_roi)=0.0336 < min_abs_baseline_roi=0.0500
meta,Normal,0.051898,0.016722,0.02840901,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.36749079000000007,False,abs(baseline_roi)=0.0284 < min_abs_baseline_roi=0.0500; baseline_qc=REVIEW
moloco,LogNormal,0.051898,0.016722,0.07033154,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.01918875941007404,True,
moloco,Normal,0.051898,0.016722,0.046888947,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.02189257,False,abs(baseline_roi)=0.0469 < min_abs_baseline_roi=0.0500; baseline_qc=REVIEW
snapchat,LogNormal,0.051898,0.016722,0.029342115,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.05060764000000002,False,abs(baseline_roi)=0.0293 < min_abs_baseline_roi=0.0500
snapchat,Normal,0.051898,0.016722,-0.008475163,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.11633949500000001,False,abs(baseline_roi)=0.0085 < min_abs_baseline_roi=0.0500; baseline_roi <= 0; baseline_qc=REVIEW
tiktok,LogNormal,0.051898,0.016722,0.03648551,"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",PASS,True,False,4,0.3045401999999999,False,abs(baseline_roi)=0.0365 < min_abs_baseline_roi=0.0500
tiktok,Normal,0.051898,0.016722,0.03192186,"multi|google,meta,tiktok|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,True,4,0.40771426,False,abs(baseline_roi)=0.0319 < min_abs_baseline_roi=0.0500; baseline_qc=REVIEW; sign_flip_zone
