channel,roi_prior_dist,max_abs_pct_change,max_abs_delta_roi,baseline_roi,baseline_mu,baseline_sigma,pct_metric_reliable,primary_metric,primary_value,ranking_metric_label
beehiiv,Normal,91.71946500691375,0.23026855000000002,0.25105745,0.051898,0.016722,True,pct_change,91.71946500691375,Max |% Change|
liveintent,LogNormal,25.2399688752355,0.023267170000000004,0.09218383,0.051898,0.016722,True,pct_change,25.2399688752355,Max |% Change|
beehiiv,LogNormal,23.61646124666865,0.03872461999999999,0.163973,0.051898,0.016722,True,pct_change,23.61646124666865,Max |% Change|
amazon,LogNormal,17.76898497592567,0.02349446999999999,0.13222179,0.051898,0.016722,True,pct_change,17.76898497592567,Max |% Change|
moloco,LogNormal,3.3874986954643767,0.0023824800000000063,0.07033154,0.051898,0.016722,True,pct_change,3.3874986954643767,Max |% Change|
liveintent,Normal,1363.3237164378386,0.48327139999999996,-0.03544803,0.051898,0.016722,False,delta_roi,0.48327139999999996,Max |Delta ROI|
amazon,Normal,738.8479738796397,0.270570768,0.036620628,0.051898,0.016722,False,delta_roi,0.270570768,Max |Delta ROI|
google,Normal,665.8310052829877,0.0812453085,0.0122020915,0.051898,0.016722,False,delta_roi,0.0812453085,Max |Delta ROI|
meta,Normal,247.74180796866912,0.070380995,0.02840901,0.051898,0.016722,False,delta_roi,0.070380995,Max |Delta ROI|
tiktok,Normal,214.32848837755694,0.06841764,0.03192186,0.051898,0.016722,False,delta_roi,0.06841764,Max |Delta ROI|
snapchat,Normal,608.707702730909,0.05158897,-0.008475163,0.051898,0.016722,False,delta_roi,0.05158897,Max |Delta ROI|
tiktok,LogNormal,78.62638181568518,0.0286872364,0.03648551,0.051898,0.016722,False,delta_roi,0.0286872364,Max |Delta ROI|
meta,LogNormal,77.69361238416737,0.026117449000000004,0.033615954,0.051898,0.016722,False,delta_roi,0.026117449000000004,Max |Delta ROI|
moloco,Normal,53.585931456298226,0.025125879,0.046888947,0.051898,0.016722,False,delta_roi,0.025125879,Max |Delta ROI|
google,LogNormal,80.68957750994234,0.020779554399999997,0.025752464,0.051898,0.016722,False,delta_roi,0.020779554399999997,Max |Delta ROI|
snapchat,LogNormal,10.447276891935022,0.0030654519999999998,0.029342115,0.051898,0.016722,False,delta_roi,0.0030654519999999998,Max |Delta ROI|
