run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
"multi|google,meta,tiktok|0.103795|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.103795,0.006689,LogNormal,False,FAIL,FAIL:Baseline,0.3,0.5,1.2,4,geometric,74.63503057726388,8,88708453.73061574,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.020759,0.033445,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,68.92326227940518,8,33001551.527900197,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.020759,0.016722,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,64.03453568774654,8,28139855.931752287,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.103795|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.103795,0.016722,LogNormal,False,FAIL,FAIL:Baseline,0.3,0.5,1.2,4,geometric,52.30847000708689,8,51020767.77570089,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.020759,0.006689,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,39.14958043996564,8,18712682.178817622,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.051898|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.051898,0.033445,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,37.34477634511558,8,16864195.52530829,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.051898,0.006689,LogNormal,False,REVIEW,REVIEW:Baseline,0.3,0.5,1.2,4,geometric,22.607710232438443,8,21372583.420187242,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.103795|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.103795,0.033445,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,18.672362654251653,8,16320393.512327222,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.051898,0.016722,LogNormal,True,PASS,PASS,0.3,0.5,1.2,4,geometric,0.0,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
"multi|google,meta,tiktok|0.020759|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","google,meta,tiktok",0.020759,0.006689,Normal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,,8,46306466.70616921,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
