channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
amazon,0.5,3,0.1465877196441094,0.1446187470700695,0.1375114988799517,0.1497570226861474,,233227.1364539085,233227.1364539085,0.012245523806195702
amazon,1.0,3,0.1361534952387834,0.13332898427124337,0.1250508610217366,0.1387825965532101,,214309.1155458651,209863.26238402372,0.013731735531473499
amazon,1.5,3,0.1335396809138668,0.13222150983612257,0.1260030008972777,0.1371218476972232,,210194.90433746696,208120.0690398929,0.011118846799945487
amazon,2.0,3,0.1277187596412841,0.13774086378980424,0.1249240312240241,0.1605798005041045,,201032.62401993628,216807.67461420177,0.03565576928008041
amazon,2.5,3,0.1325176623300649,0.14596773239357083,0.1239676862252721,0.1814178486253755,,208586.22070887632,229756.97812707294,0.057450162400103394
amazon,3.0,3,0.1426838379097171,0.19955390382182991,0.1248418346097848,0.3311360389459878,,224588.0434541409,314102.9949820856,0.206294204336203
beehiiv,0.5,3,0.1904478731619504,0.188399825595164,0.1809223640096994,0.1938292396138422,,6305454.68309604,6305454.68309604,0.012906875604142803
beehiiv,1.0,3,0.1740239030107234,0.16390918543303587,0.1364532897093643,0.1812503635790199,,5710981.985283309,5379044.999196733,0.04479707386965562
beehiiv,1.5,3,0.1455252442252822,0.13927597780414439,0.1052070800847529,0.1670956091023981,,4775735.021431673,4570651.424667642,0.0618885290176452
beehiiv,2.0,3,0.1280045075330417,0.12192853955202732,0.0846051995836508,0.1531759115393894,,4200753.02248115,4001356.600021913,0.06857071195573859
beehiiv,2.5,3,0.1129316029596763,0.10851741452067566,0.0747908869343033,0.1378297536680474,,3706102.086631953,3561240.661168894,0.06303886673374409
beehiiv,3.0,3,0.1248367850265155,0.12301285715320974,0.0942826269307018,0.1499191595024119,,4096797.152878381,4036940.8972336403,0.055636532571710084
google,0.5,3,0.0103821762761799,0.0121922959293038,0.0077349201130467,0.0184597913986848,,9328985.667507209,9328985.667507209,0.0107248712856381
