run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",meta,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.017771453,0.033615954,,0.015844501,0.4713387280337188,1493083.0658053777,-1331188.6275835962,0.027440511616569067,54411633.670263916,1493083.0658053777,0.027440511616569067,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",google,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.014800612,0.025752464,,0.010951852,0.4252739466017698,15242475.311931534,-11278812.911920672,0.28013265332743686,54411633.670263916,15242475.311931534,0.28013265332743686,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",snapchat,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.031709094,0.029342115,,0.002366979,0.0806683158320387,13769474.013623333,1027845.6972404234,0.253061212921243,54411633.670263916,13769474.013623333,0.253061212921243,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",tiktok,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.018225675,0.03648551,,0.018259835,0.5004681310470924,3194386.7353775413,-3200373.9073687294,0.0587077894910419,54411633.670263916,3194386.7353775413,0.0587077894910419,1752685.00913,0.09120037525761927,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",moloco,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.07014618,0.07033154,-0.26355174364160877,0.0001853599999999,0.0026355174364161,5907954.052643167,-15611.660723333249,0.10857887650360841,54411633.670263916,5907954.052643167,0.10857887650360841,842234.6095886,0.04382539477961466,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",liveintent,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.10378774,0.09218383,12.587793325575657,0.01160391,0.1258779332557564,8282128.524285826,925977.1337563144,0.15221245835910324,54411633.670263916,8282128.524285826,0.15221245835910324,797987.173079,0.041522994295304996,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",beehiiv,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.19180806,0.163973,16.975392290194115,0.0278350599999999,0.1697539229019411,6294608.708003983,913469.4916564682,0.11568497917466501,54411633.670263916,6294608.708003983,0.11568497917466501,328172.2732613,0.017076333918912757,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",amazon,"google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,lognormal,False,0.14454862,0.13222179,9.322843080554259,0.0123268299999999,0.0932284308055426,227523.258593153,19402.748568086183,0.004181518606332436,54411633.670263916,227523.258593153,0.004181518606332436,15740.258094,0.0008190390385875116,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",meta,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.01191627,0.033615954,,0.021699684,0.6455174230664404,1001155.1078330312,-1823116.5855559427,0.020731779207983584,48290843.62655653,1001155.1078330312,0.020731779207983584,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,PASS,PASS
"multi|google,meta,tiktok|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",google,"google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,lognormal,False,0.008650371,0.025752464,,0.017102093,0.6640954046183697,8908622.589832671,-17612665.634019535,0.18447850401465263,48290843.62655653,8908622.589832671,0.18447850401465263,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,PASS,PASS
