channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_mu
amazon,0.006689,3,0.13214289,0.13462750999999998,0.12719102,0.14454862,-0.0596724639713264,207996.3193887052,211907.1753952566,0.0173576
amazon,0.016722,3,0.13222179,0.13593832333333333,0.12511815,0.15047503,0.0,216895.38910730998,216895.38910730998,0.02535688
amazon,0.033445,3,0.14495666,0.1425715333333333,0.12704168,0.15571626,9.631445770020191,228165.52408442053,224411.27315239902,0.028674580000000005
beehiiv,0.006689,3,0.14968894,0.14797264333333335,0.10242093,0.19180806,-8.7112268483226,4912375.972187434,4856051.874318355,0.08938713000000001
beehiiv,0.016722,3,0.163973,0.16356460133333334,0.124023184,0.20269762,0.0,5361035.448521982,5361035.448521982,0.078674436
beehiiv,0.033445,3,0.18309043,0.17830929666666664,0.14924629,0.20259117,11.6588889634269,6008520.262548892,5851616.723072354,0.05334487999999998
google,0.006689,3,0.041723434,0.048509602000000006,0.014800612,0.08900476,,42969061.865415074,49957826.80315008,0.074204148
google,0.016722,3,0.025752464,0.031484324,0.008650371,0.060050137,,35375760.039758995,35375760.039758995,0.051399766
google,0.033445,3,0.015285251,0.018666287866666666,0.0049729096,0.035740703,,15741582.915907586,19223558.591568634,0.0307677934
liveintent,0.006689,3,0.083670914,0.08461113133333333,0.06637474,0.10378774,-9.234717194978767,6676831.613179612,6751859.750370267,0.037413
liveintent,0.016722,3,0.09218383,0.09340011333333333,0.07442247,0.11359404,0.0,7501738.165353976,7501738.165353976,0.03917156999999999
liveintent,0.033445,3,0.10423563,0.10244006499999998,0.087633565,0.115451,13.073659447649336,8317869.57178086,8174585.787937901,0.027817435
meta,0.006689,3,0.046651065,0.054054506,0.017771453,0.097741,,3919427.137065605,4541433.249103221,0.079969547
meta,0.016722,3,0.033615954,0.04037691466666667,0.01191627,0.07559852,,3676313.1004683133,3676313.1004683133,0.06368225
meta,0.033445,3,0.021811489,0.026243955666666666,0.007498505,0.049421873,,1832509.973489521,2204907.2625433095,0.041923367999999996
moloco,0.006689,3,0.06972882,0.06794952,0.06397356,0.07014618,-0.8569697179956547,5872802.548977376,5722943.744893276,0.006172620000000004
moloco,0.016722,3,0.07033154,0.070350888,0.068007104,0.07271402,0.0,5926010.046650449,5926010.046650449,0.004706916000000005
moloco,0.033445,3,0.07199331,0.07178058333333333,0.07092047,0.07242797,2.362766406081833,6063525.734084105,6045609.157979197,0.001507499999999995
snapchat,0.006689,3,0.027883822,0.027604633333333333,0.023220984,0.031709094,,12108373.781650737,11987137.86458023,0.00848811
snapchat,0.016722,3,0.029342115,0.029255215,0.026015963,0.032407567,,12685024.651274225,12685024.651274225,0.006391603999999999
snapchat,0.033445,3,0.03182555,0.030806818333333333,0.028559005,0.0320359,,13820044.296890669,13377666.497921646,0.0034768950000000007
tiktok,0.006689,3,0.047837436,0.05492648033333333,0.018225675,0.09871633,,8384395.695241579,9626881.86845071,0.08049065500000001
tiktok,0.016722,3,0.03648551,0.043385556666666665,0.01272661,0.08094455,,8208801.895990886,8208801.895990886,0.06821794
tiktok,0.033445,3,0.024291325,0.029442179533333335,0.0077982736,0.05623694,,4257504.11794048,5160286.670418744,0.0484386664
