run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,0.5,0.5,LogNormal,True,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,0.5,1.0,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,2932450.915008284,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,0.5,1.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,2856172.9741509254,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,1.0,0.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,6010843.496237026,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,1.0,1.0,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,1733855.016496472,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|1.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,1.0,1.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,1613535.0379573952,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|1.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,1.5,0.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,13141526.66499302,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|1.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,1.5,1.0,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,4026349.990011379,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|1.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,1.5,1.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,1411204.2176569132,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|2.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,2.0,0.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,22121749.782445148,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|2.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,2.0,1.0,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,7819698.5235526925,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|2.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,2.0,1.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,3715742.8169142557,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|2.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,2.5,0.5,LogNormal,False,REVIEW,REVIEW:Baseline,0.3,0.5,1.2,4,geometric,,8,34566916.08367551,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|2.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,2.5,1.0,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,11106021.087947419,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|meta|2.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,2.5,1.5,LogNormal,False,REVIEW,REVIEW:ROIConsistency,0.3,0.5,1.2,4,geometric,,8,5677103.189929176,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
