channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
amazon,0.5,3,0.1422959603865941,0.14217434714600022,0.1415070054602498,0.1427200755911568,,223356.5965135995,223356.5965135995,0.0012130701309069902
amazon,1.0,3,0.1425963186674441,0.1429676212739044,0.1401148761156946,0.1461916690385745,,224450.285907984,225034.72579365002,0.006076792922879909
amazon,1.5,3,0.1465167666824224,0.14843619048233245,0.1403814728984919,0.158410331866083,,230621.1722679709,233642.3948682059,0.0180288589675911
amazon,2.0,3,0.1531048530507056,0.15945729818311516,0.1448393989711379,0.180427642527502,,240990.9902462049,250989.902837415,0.03558824355636411
amazon,2.5,3,0.1536749273643363,0.17703447911875422,0.1498725447089721,0.2275559652829542,,241888.3019291357,278656.8392866045,0.07768342057398209
amazon,3.0,3,0.1641006525493382,0.1919357259535334,0.1500495405809488,0.2616569847303132,,258298.66245204024,302111.786396787,0.11160744414936438
beehiiv,0.5,3,0.1893086385765733,0.19081757999878993,0.1861898032474952,0.1969542981723013,,6286863.537479635,6286863.537479635,0.010764494924806106
beehiiv,1.0,3,0.1817469445833315,0.18110674764391863,0.1766428249197391,0.1849304734286852,,5964430.79622074,5943421.307726535,0.008287648508946116
beehiiv,1.5,3,0.1775703480498244,0.1755755285486682,0.1640353532081159,0.1851208843880643,,5827366.478331112,5761902.033287072,0.02108553117994838
beehiiv,2.0,3,0.1754682001370626,0.16980620113304914,0.1582592560296567,0.1756911472324281,,5758379.812404858,5572568.703969826,0.017431891202771388
beehiiv,2.5,3,0.1721509290090762,0.1652748555865966,0.1416938332359616,0.181979804514752,,5649516.171695321,5423862.507078648,0.04028597127879041
beehiiv,3.0,3,0.1656716892255159,0.1533764100749976,0.1232578592553424,0.1711996817441346,,5436885.486817718,5033388.515896933,0.04794182248879221
google,0.5,3,0.0139941585313257,0.014105005573849935,0.0139916747432046,0.0143291834470195,,14583180.133943275,14583180.133943275,0.0003375087038149007
google,1.0,3,0.0149116113275522,0.014901151890646535,0.0143924185319338,0.0153994258124536,,15356788.457216028,15346016.760153005,0.0010070072805198008
google,1.5,3,0.0151750972773879,0.015360188352513168,0.0143410958256572,0.0165643719544944,,15628140.620586803,15818757.477717832,0.002223276128837201
google,2.0,3,0.0162062050993942,0.01653420067670387,0.0151652735520231,0.0182311233786943,,16690031.54245345,17027819.229176495,0.003065849826671199
