run_id,channel,target_channel,targets,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_summary_short
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.029280560844733,0.0487444552453234,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.0139941585313257,0.0151750972773879,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,snapchat,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.03020469453244,0.0295174331237406,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.0287884467632587,0.0307713768429433,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,moloco,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.0709003097071157,0.0703099257564948,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,liveintent,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.1021999410221663,0.1033024348823043,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,beehiiv,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.1893086385765733,0.1775703480498244,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,amazon,meta,meta,0.5,0.5,LogNormal,lognormal,True,0.1427200755911568,0.1465167666824224,,,,,,,,,,,,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,meta,meta,0.5,1.0,LogNormal,lognormal,False,0.018110017456056,0.0487444552453234,,0.0111705433886769,0.3815003219341122,1521527.8337160728,-938502.2805663578,0.027090444400105523,56164742.49164204,1521527.8337160728,0.027090444400105523,840158.1265220001,0.04371734568128637,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,meta,meta,0.5,1.0,LogNormal,lognormal,False,0.0143291834470195,0.0151750972773879,,0.0003350249156938,0.0239403401743558,14756972.544874009,345026.8817495331,0.26274441740866195,56164742.49164204,14756972.544874009,0.26274441740866195,10298543.94665,0.5358812722474189,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,snapchat,meta,meta,0.5,1.0,LogNormal,lognormal,False,0.0317409450186338,0.0295174331237406,,0.0015362504861938,0.0508613151026526,13783305.117513768,667107.0812701788,0.24540849839318468,56164742.49164204,13783305.117513768,0.24540849839318468,4342436.908989999,0.2259572447812554,0.3,0.5,1.2,4,geometric,REVIEW,REVIEW:ROIConsistency
