channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_mu
amazon,0.5,6,0.1694189871967925,0.18616044483943062,0.1427200755911568,0.2616569847303132,,283997.7660674852,306696.5973399787,0.11893690913915639
amazon,1.0,6,0.14981080986656398,0.15038157978347344,0.1422959603865941,0.1641006525493382,,235806.08125708788,236704.48783753245,0.02180469216274411
amazon,1.5,6,0.14317320221569385,0.14446080645591586,0.1401148761156946,0.1500495405809488,,225358.31550194736,227385.03780834968,0.009934664465254206
beehiiv,0.5,6,0.16114730461888632,0.1588662942042315,0.1232578592553424,0.1893086385765733,,5193629.981589454,5013744.62423862,0.06605077932123089
beehiiv,1.0,6,0.1765192740934435,0.17879098967041093,0.1656716892255159,0.1969542981723013,,5792873.145367986,5867424.551877636,0.03128260894678542
beehiiv,1.5,6,0.18186337454904175,0.1803213776183676,0.1711996817441346,0.1861898032474952,,5968251.704873027,5917647.6410629,0.014990121503360598
google,0.5,6,0.017266885519202302,0.016797342053371984,0.0139941585313257,0.0186255735593537,,18505864.616054144,17876190.706202727,0.004631415028028002
google,1.0,6,0.01569065118839105,0.015727878625685716,0.0143291834470195,0.0172577599009188,,16159086.081520125,16197424.921420157,0.002928576453899299
google,1.5,6,0.01477884604197845,0.014825027751632816,0.0139916747432046,0.0155519924673717,,15220059.544408947,15267619.981049642,0.0015603177241670999
liveintent,0.5,6,0.0979899018707995,0.09767215715294388,0.0916672795681127,0.1024235305578137,,7795057.05051405,7721850.588498282,0.010756250989700997
liveintent,1.0,6,0.1020916126222194,0.10202211990273401,0.0995573992227825,0.1043899109730652,,8146779.735148121,8141234.3052709475,0.004832511750282695
liveintent,1.5,6,0.1026102037914097,0.10231886659425471,0.100317965397456,0.1035180148932461,,8188162.645256711,8164914.310619664,0.0032000494957901
meta,0.5,6,0.13484646815496182,0.18689221576438278,0.029280560844733,0.4747863409419854,,14143505.811193692,18350275.640121426,0.4455057800972524
meta,1.0,6,0.058205617722899894,0.06287362942215009,0.018110017456056,0.1200437089179952,,4890192.27391273,5282379.070295213,0.1019336914619392
meta,1.5,6,0.040002678174835896,0.041418576077606566,0.0142268546335981,0.0724355955608189,,3360857.515123263,3479815.328057086,0.058208740927220795
moloco,0.5,6,0.06850866013167731,0.0691398527459629,0.0656586901455496,0.0748550977344469,,5643479.469891673,5793543.332823454,0.009196407588897296
moloco,1.0,6,0.06883294329609875,0.06937383992636262,0.0656398584041744,0.0747210042749065,,5797348.712382397,5842904.898604204,0.009081145870732096
moloco,1.5,6,0.06979884547666484,0.07010432113841585,0.0657166344167975,0.0747853642671058,,5878700.336977384,5904428.554448751,0.009068729850308307
snapchat,0.5,6,0.02876294120117865,0.0287253001613943,0.0277258011442609,0.03020469453244,,12449498.434190556,12345296.829869881,0.0024788933881790993
snapchat,1.0,6,0.02918243847952295,0.029382554823435634,0.0275478411624984,0.0317409450186338,,12672289.794781046,12759189.054570904,0.004193103856135402
snapchat,1.5,6,0.0295701481312668,0.029739696718493618,0.02812396387589,0.0319770092594747,,12840650.264951462,12914275.669255545,0.003853045383584698
tiktok,0.5,6,0.0430357338263032,0.04433126198545017,0.0287884467632587,0.0606035769901548,,8332637.73456669,8314707.016563567,0.031815130226896096
tiktok,1.0,6,0.03191163021566655,0.033135486446004066,0.0273980833403766,0.0416374191094655,,5593103.5895898715,5807607.036414164,0.014239335769088902
tiktok,1.5,6,0.02983408755525785,0.030099682870107485,0.0270794821282227,0.0345536495500709,,5228975.801917233,5275526.294600444,0.007474167421848199
