channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi
amazon,LogNormal,0.020759,0.006689,0.08926594
amazon,Normal,0.020759,0.006689,-0.006359525
google,LogNormal,0.051898,0.016722,0.44604105
google,Normal,0.051898,0.016722,-0.016182942
meta,LogNormal,0.051898,0.016722,1.0271761
meta,Normal,0.051898,0.016722,0.034541406
snapchat,LogNormal,0.051898,0.016722,0.34344682
snapchat,Normal,0.051898,0.016722,-0.064270265
tiktok,LogNormal,0.051898,0.016722,0.10978498
tiktok,Normal,0.051898,0.016722,-0.020284835
