channel,roi_prior_dist,roi_prior_mu,roi_prior_sigma,prior_neg_prob,estimated_roi,baseline_roi
meta,Normal,0.020759,0.033445,0.26740157934200925,-0.010397501,0.034541406
meta,Normal,0.020759,0.033445,0.26740157934200925,-0.027706495,0.034541406
meta,Normal,0.020759,0.033445,0.26740157934200925,-0.011142319,0.034541406
meta,Normal,0.020759,0.033445,0.26740157934200925,-0.0028332977,0.034541406
meta,Normal,0.020759,0.033445,0.26740157934200925,0.082421266,0.034541406
meta,Normal,0.020759,0.033445,0.26740157934200925,0.42431706,0.034541406
meta,Normal,0.020759,0.033445,0.26740157934200925,0.29573905,0.034541406
meta,Normal,0.020759,0.033445,0.26740157934200925,0.25035512,0.034541406
google,Normal,0.020759,0.033445,0.26740157934200925,-0.034027178,-0.016182942
google,Normal,0.020759,0.033445,0.26740157934200925,-0.014059263,-0.016182942
google,Normal,0.020759,0.033445,0.26740157934200925,-0.008881371,-0.016182942
google,Normal,0.020759,0.033445,0.26740157934200925,-0.027169269,-0.016182942
