roi_prior_mu,roi_prior_sigma,roi_prior_dist
0.020759,0.006689,LogNormal
0.020759,0.006689,LogNormal
0.020759,0.006689,LogNormal
0.020759,0.006689,LogNormal
0.020759,0.006689,LogNormal
0.020759,0.033445,LogNormal
0.020759,0.033445,LogNormal
0.020759,0.033445,LogNormal
0.020759,0.033445,LogNormal
0.051898,0.006689,LogNormal
0.051898,0.006689,LogNormal
0.051898,0.006689,LogNormal
0.051898,0.006689,LogNormal
0.051898,0.033445,LogNormal
0.051898,0.033445,LogNormal
0.051898,0.033445,LogNormal
0.051898,0.033445,LogNormal
