channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
amazon,0.020759,8,0.1920338,0.28358653625,0.04254442,1.0214866,115.12550027479686,,,0.97894218
google,0.020759,40,0.498026215,0.6299703347500001,0.13622262,1.6713196,11.654793880518397,,,1.5350969799999998
google,0.036328,40,0.49659381,0.61303286925,0.13050508,1.489114,11.333656397768772,,,1.35860892
google,0.051898,40,0.482452425,0.620785617,0.14665136,1.485368,8.163234079015826,,,1.33871664
google,0.072657,40,0.48759711,0.6180035722499999,0.13753729,1.4478257,9.316644734828781,,,1.31028841
google,0.103795,40,0.49012275,0.627356461,0.13731417,1.4898458,9.882879613883073,,,1.35253163
meta,0.020759,40,0.230900825,0.38013063745,0.03614501,1.0892661,-77.52081410383283,,,1.0531210899999999
meta,0.036328,40,0.23308517,0.384334111875,0.035704415,1.1426027,-77.30815874707365,,,1.106898285
meta,0.051898,40,0.23873387499999998,0.388703383725,0.032202017,1.1405089,-76.75823308194185,,,1.108306883
meta,0.072657,40,0.23295405,0.3861237289,0.03389693,1.0801767,-77.32092384158861,,,1.04627977
meta,0.103795,40,0.23061512,0.390583375325,0.03492412,1.1053698,-77.5486287112794,,,1.0704456800000002
snapchat,0.020759,40,0.38796475500000005,0.54319685195,0.060124118,1.3956164,12.962104293177045,,,1.335492282
snapchat,0.036328,40,0.39263417,0.560003569875,0.0671718,1.5143213,14.321678680850791,,,1.4471495
snapchat,0.051898,40,0.40181493999999995,0.5507569585,0.06626675,1.3988556,16.994805775170665,,,1.33258885
snapchat,0.072657,40,0.392399295,0.56113125045,0.056653798,1.5662472,14.253291091762037,,,1.5095934020000001
snapchat,0.103795,40,0.40687935,0.5817094162750001,0.06342169,1.7125833,18.469389234700156,,,1.64916161
tiktok,0.020759,40,0.23606734499999998,0.33156000524999996,0.027479252,1.013093,,,,0.985613748
tiktok,0.036328,40,0.21826903,0.34031731145,0.027045691,1.0291535,,,,1.002107809
tiktok,0.051898,40,0.231396605,0.3401180009,0.027539864,1.0419501,,,,1.014410236
tiktok,0.072657,40,0.21494112999999998,0.33908426202499997,0.027040109,1.0657177,,,,1.038677591
tiktok,0.103795,40,0.218785615,0.3410275349,0.028062623,1.0985875,,,,1.070524877
