channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_mu
amazon,0.006689,8,0.1920338,0.28358653625,0.04254442,1.0214866,115.12550027479686,,,0.97894218
google,0.006689,40,0.514511975,0.638043675,0.13731417,1.6191078,15.35081244203869,,,1.48179363
google,0.011706,40,0.489940985,0.62166804775,0.13622262,1.4422982,9.842128880290279,,,1.30607558
google,0.016722,40,0.4821592,0.6187719435,0.13050508,1.4638056,8.0974946140047,,,1.3333005199999999
google,0.023411,40,0.48158024,0.6164296775,0.13663784,1.4898458,7.967694901623971,,,1.3532079600000002
google,0.033445,40,0.48640551,0.6142355105,0.13753729,1.6713196,9.04949443554579,,,1.5337823099999999
meta,0.006689,40,0.23125732,0.39316570755,0.035017963,1.1426027,-77.48610778619167,,,1.107584737
meta,0.011706,40,0.23624096,0.3881534223,0.036757443,1.1405089,-77.0009290519902,,,1.103751457
meta,0.016722,40,0.226942945,0.3785422401,0.037344202,1.0797288,-77.90613070144448,,,1.042384598
meta,0.023411,40,0.231418625,0.39108123570000003,0.033888772,1.0892661,-77.47040405243074,,,1.0553773279999998
meta,0.033445,40,0.23432667499999998,0.378932631625,0.032202017,1.1044275,-77.18729290917108,,,1.072225483
snapchat,0.006689,40,0.400858195,0.5754474919,0.06342169,1.7125833,16.716234262993034,,,1.64916161
snapchat,0.011706,40,0.39978804,0.5652291122,0.065539815,1.46091,16.404641626904567,,,1.395370185
snapchat,0.016722,40,0.39595943499999997,0.552743302775,0.06626675,1.4035203,15.28988243361811,,,1.33725355
snapchat,0.023411,40,0.39113982,0.557825580125,0.0671718,1.5143213,13.886574928834694,,,1.4471495
snapchat,0.033445,40,0.38671184999999997,0.54555256005,0.056653798,1.6656258,12.59730109016587,,,1.608972002
tiktok,0.006689,40,0.21922491,0.338500727225,0.027040109,1.0985875,,,,1.071547391
tiktok,0.011706,40,0.22541478999999998,0.341671069575,0.027539864,1.0792532,,,,1.051713336
tiktok,0.016722,40,0.224449195,0.34330276655,0.027045691,1.052327,,,,1.025281309
tiktok,0.023411,40,0.220936465,0.334209795275,0.027473137,1.0100437,,,,0.982570563
tiktok,0.033445,40,0.233072795,0.33442275590000003,0.027479252,0.9288473,,,,0.901368048
