struct_profile_id,lag,weight,adstock_alpha_m,max_lag,adstock_decay_spec
alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric,0,0.7017051434987018,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric,1,0.21051154304961053,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric,2,0.06315346291488316,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric,3,0.018946038874464947,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric,4,0.005683811662339485,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,0,0.7017051434987018,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,1,0.21051154304961053,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,2,0.06315346291488316,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,3,0.018946038874464947,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,4,0.005683811662339485,0.3,4,geometric
alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric,0,0.7017051434987018,0.3,4,geometric
alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric,1,0.21051154304961053,0.3,4,geometric
alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric,2,0.06315346291488316,0.3,4,geometric
alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric,3,0.018946038874464947,0.3,4,geometric
alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric,4,0.005683811662339485,0.3,4,geometric
alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric,0,0.7017051434987018,0.3,4,geometric
alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric,1,0.21051154304961053,0.3,4,geometric
alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric,2,0.06315346291488316,0.3,4,geometric
alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric,3,0.018946038874464947,0.3,4,geometric
alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric,4,0.005683811662339485,0.3,4,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,0,0.7001531234881069,0.3,6,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,1,0.21004593704643207,0.3,6,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,2,0.06301378111392962,0.3,6,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,3,0.018904134334178882,0.3,6,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,4,0.005671240300253666,0.3,6,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,5,0.0017013720900760994,0.3,6,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,6,0.0005104116270228298,0.3,6,geometric
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=binomial,0,0.4904268001827169,0.3,4,binomial
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=binomial,1,0.29137402360736564,0.3,4,binomial
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=binomial,2,0.1489111139568662,0.3,4,binomial
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=binomial,3,0.05781592894881741,0.3,4,binomial
