struct_profile_id,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,immediate_share,carryover_share,avg_lag,half_life_lag,n_runs,n_baseline_runs,mean_total_abs_pct_change,max_total_abs_pct_change
alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric,0.3,0.5,1.0,4,geometric,0.7017051434987018,0.29829485650129817,0.4163918321521296,0.7142857142857142,1,0,9933.982285541908,9933.982285541908
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,0.3,0.5,1.2,4,geometric,0.7017051434987018,0.29829485650129817,0.4163918321521296,0.7142857142857142,15,0,24.284430168928143,68.96529301262142
alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric,0.3,0.3,1.2,4,geometric,0.7017051434987018,0.29829485650129817,0.4163918321521296,0.7142857142857142,1,0,42.17358825021336,42.17358825021336
alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric,0.3,0.7,1.2,4,geometric,0.7017051434987018,0.29829485650129817,0.4163918321521296,0.7142857142857142,1,0,36.67474952866336,36.67474952866336
alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric,0.3,0.5,1.2,6,geometric,0.7001531234881069,0.2998468765118931,0.4270401936903601,0.7142857142857143,1,0,29.715848771777573,29.715848771777573
alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=binomial,0.3,0.5,1.2,4,binomial,0.4904268001827169,0.5095731998172831,0.8085325715844859,1.3240185366791388,1,0,22.346897008373638,22.346897008373638
alpha=0.4000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,0.4,0.5,1.2,4,geometric,0.606207565470417,0.393792434529583,0.6149369544131911,0.8333333333333334,1,0,18.564337238176098,18.564337238176098
alpha=0.3000|ec=0.5000|slope=1.2000|lag=2.0000|decay=geometric,0.3,0.5,1.2,2,geometric,0.7194244604316546,0.28057553956834536,0.3453237410071942,0.7142857142857143,1,0,14.502799691737057,14.502799691737057
alpha=0.3000|ec=0.5000|slope=1.4000|lag=4.0000|decay=geometric,0.3,0.5,1.4,4,geometric,0.7017051434987018,0.29829485650129817,0.4163918321521296,0.7142857142857142,1,0,12.054814304725433,12.054814304725433
alpha=0.2000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric,0.2,0.5,1.2,4,geometric,0.8002560819462228,0.19974391805377723,0.24839948783610757,0.625,1,0,5.21269666923202,5.21269666923202
