run_id,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,qc_status_code,qc_summary_short,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,total_abs_pct_change,n_channels,total_abs_value_change,struct_profile_id
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p0|lag=4|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,FAIL,FAIL:Convergence,0.3,0.5,1.0,4,geometric,9933.982285541908,8,0.0,alpha=0.3000|ec=0.5000|slope=1.0000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.150000|cscale=0.005000|dist=LogNormal|0.078453|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.078453,0.002615,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,68.96529301262142,8,18591668.217156015,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.150000|cscale=0.020000|dist=LogNormal|0.078453|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.078453,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,47.975218243931735,8,15784122.568024369,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p3|slope=1p2|lag=4|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.3,0.3,1.2,4,geometric,42.17358825021336,8,0.0,alpha=0.3000|ec=0.3000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.050000|cscale=0.005000|dist=LogNormal|0.026151|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.026151,0.002615,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,38.60961449686732,8,7423979.952317046,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p7|slope=1p2|lag=4|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.3,0.7,1.2,4,geometric,36.67474952866336,8,0.0,alpha=0.3000|ec=0.7000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.020000|dist=LogNormal|0.005230|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.00523,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,30.61887318785013,8,3720554.597688496,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.020000|dist=LogNormal|0.010460|0.010460|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=6|decay=geometric,tiktok,0.01046,0.01046,LogNormal,False,PASS,PASS,0.3,0.5,1.2,6,geometric,29.715848771777573,8,0.0,alpha=0.3000|ec=0.5000|slope=1.2000|lag=6.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.010000|cscale=0.050000|dist=LogNormal|0.005230|0.026151|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.00523,0.026151,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,29.598153812912546,8,3522118.380574418,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
multi|tiktok|pmode=contribution|rpk=none|cmean=0.020000|cscale=0.005000|dist=LogNormal|0.010460|0.002615|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,0.01046,0.002615,LogNormal,False,PASS,PASS,0.3,0.5,1.2,4,geometric,25.31509047622333,8,3080271.44528691,alpha=0.3000|ec=0.5000|slope=1.2000|lag=4.0000|decay=geometric
