channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
amazon,0.5,3,0.1480460533297931,0.14649904227970786,0.1433252354400853,0.1481258380692452,,233028.3089209032,230593.27360064202,0.004800602629159906
amazon,1.0,3,0.1417709284865607,0.14328343856976258,0.1378297589207068,0.1502496283020203,,223151.10046044824,225531.83036838577,0.01241986938131348
amazon,1.5,3,0.1326256153391053,0.13400373427766477,0.1272196929172302,0.1421658945766588,,212009.93369788158,212009.93369788158,0.014946201659428587
amazon,2.5,3,0.1241632989017913,0.12354600833418462,0.1162122534355148,0.1302624726652478,,195436.2370516662,194464.60576635413,0.014050219229732985
amazon,4.0,3,0.117504860041663,0.1175192552737684,0.1137477601785212,0.121305145601121,,184955.6824355123,184978.34090237852,0.007557385422599802
beehiiv,0.5,3,0.1756563781015575,0.17860142074007954,0.1731779723893851,0.186969911729296,,5764555.291443456,5861203.425196979,0.013791939339910908
beehiiv,1.0,3,0.1753693097860862,0.17167253571355504,0.1622286039590835,0.1774196933954954,,5755134.505276505,5633816.630164906,0.015191089436411898
beehiiv,1.5,3,0.1557687418566395,0.15517704967202406,0.1448655127702901,0.1648968943891426,,5082771.666420171,5082771.666420171,0.020031381618852484
beehiiv,2.5,3,0.1489038439871122,0.1461944170772201,0.1330986823452015,0.1565807248993466,,4886611.297859657,4797695.419034194,0.0234820425541451
beehiiv,4.0,3,0.1290990894691397,0.12920416089188716,0.1206191185396164,0.1378942746669054,,4236674.166705153,4240122.319470937,0.017275156127289
google,0.5,3,0.0145017977012321,0.0144016997293672,0.014197690449655,0.0145056110372145,,14934740.093156677,14831653.756934553,0.0003079205875595008
google,1.0,3,0.0138141244715855,0.013853624470195567,0.013786385199055,0.0139603637399462,,14226536.79551165,14267216.042669484,0.00017397854089119986
google,1.5,3,0.0139717655139975,0.013885930539626168,0.0132828744423265,0.0144031516625545,,14256287.827460803,14256287.827460803,0.0011202772202280002
