channel,roi_prior_sigma,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_mu
amazon,1.0,5,0.1272196929172302,0.12841836015104002,0.1162122534355148,0.1433252354400853,,200247.0801156627,202133.8132785615,0.02711298200457049
amazon,1.5,5,0.1326256153391053,0.13207073124715432,0.1137477601785212,0.1480460533297931,,209293.66875605722,207664.38917886288,0.03429829315127189
amazon,2.0,5,0.1421658945766588,0.1384217958428586,0.121305145601121,0.1502496283020203,,223772.78728010043,217879.4792401571,0.02894448270089929
beehiiv,1.0,5,0.1448655127702901,0.1495563658686975,0.1206191185396164,0.186969911729296,,4754084.464298999,4908025.256782916,0.0663507931896796
beehiiv,1.5,5,0.1557687418566395,0.15736954936198885,0.1290990894691397,0.1774196933954954,,5325583.294651557,5177565.791575131,0.048320603926355704
beehiiv,2.0,5,0.1648968943891426,0.1615838352261732,0.1378942746669054,0.1753693097860862,,5411458.868541343,5302733.452845258,0.037475035119180794
google,1.0,5,0.0132828744423265,0.01319423313066358,0.0119924670682909,0.014197690449655,,13679426.618213356,13588138.973848427,0.0022052233813640992
google,1.5,5,0.0138141244715855,0.0135871171629211,0.0125345158274285,0.0145056110372145,,13863742.002820887,13893719.372373374,0.001971095209786
google,2.0,5,0.0139603637399462,0.01378252846825242,0.0128976791670235,0.0145017977012321,,14377141.94870551,14193997.512625227,0.0016041185342086008
liveintent,1.0,5,0.0903505469113588,0.0915108905319745,0.0782214426916713,0.1055646535133322,,7209857.751593677,7302451.6841552155,0.0273432108216609
liveintent,1.5,5,0.0961201129201799,0.09546530401799824,0.0846386497126271,0.1029953620396554,,7723414.4302682085,7604945.580425998,0.01835671232702829
liveintent,2.0,5,0.0998320499497155,0.09765941971540448,0.0898353852036719,0.1020089813818534,,7966469.532205499,7793096.426323118,0.012173596178181492
meta,1.0,5,0.0252520576212555,0.02853015392599622,0.023295315648429,0.0408079150753716,,2121572.1421899614,2396984.067184927,0.0175125994269426
meta,1.5,5,0.0240915902036552,0.025454743453146238,0.0224462039132292,0.0310995437693782,,2085120.3753394787,2167232.564075718,0.008653339856149002
meta,2.0,5,0.0239143345039337,0.0244155468080813,0.0224972122271234,0.0279034792119637,,2009182.247384536,2051292.0064287782,0.0054062669848402994
moloco,1.0,5,0.076611792690431,0.08339141685329374,0.0692084765030692,0.1074638672545552,,6452510.330650792,7023513.741647405,0.038255390751486
moloco,1.5,5,0.0742107754107564,0.0783519072886556,0.0689349329068015,0.0943814126340051,,6494993.912378567,6686263.919339238,0.025446479727203597
moloco,2.0,5,0.0716575510365267,0.07411200611479576,0.0673223737378915,0.0868631375581026,,6035246.952132424,6241969.653592294,0.019540763820211096
snapchat,1.0,5,0.0304859442776069,0.03067680123417326,0.030385622602577,0.031440901546739,,13238328.963649267,13321207.392902393,0.0010552789441620018
snapchat,1.5,5,0.0307784764763588,0.03076898479244356,0.0305596695592006,0.0309228932236631,,13372055.669933125,13360631.582156617,0.00036322366446249824
snapchat,2.0,5,0.030713611083726,0.030262620624154756,0.0282847579491014,0.0310961568262428,,13337191.837833611,13141352.07610916,0.002811398877141401
tiktok,1.0,5,0.0656906650712092,0.10336458098577953,0.0191032962594181,0.2628384139637152,,11513504.391008807,18116555.15687796,0.24373511770429712
tiktok,1.5,5,0.0448725035879761,0.06430229006094543,0.0149646914024682,0.1514260044197241,,9661522.831284817,12121523.371299064,0.1364613130172559
tiktok,2.0,5,0.0343755052424967,0.04741588745118736,0.0125519489989771,0.1074756851916511,,6024943.271979368,8310511.513029138,0.094923736192674
