channel,estimated_roi,target_channel,roi_prior_mu
meta,0.077992186,meta,0.020759
google,0.047098733,meta,0.020759
snapchat,0.08383986,meta,0.020759
tiktok,0.11678076,meta,0.020759
moloco,0.25604147,meta,0.020759
liveintent,0.23418418,meta,0.020759
beehiiv,0.3707012,meta,0.020759
amazon,0.7832469,meta,0.020759
meta,0.07338875,meta,0.036328
google,0.049340688,meta,0.036328
snapchat,0.0869633,meta,0.036328
tiktok,0.12704885,meta,0.036328
moloco,0.25977746,meta,0.036328
liveintent,0.26306218,meta,0.036328
beehiiv,0.3369983,meta,0.036328
amazon,0.7566554,meta,0.036328
meta,0.08078981,meta,0.051898
google,0.042829327,meta,0.051898
snapchat,0.085684806,meta,0.051898
tiktok,0.12772956,meta,0.051898
moloco,0.2435101,meta,0.051898
liveintent,0.27358502,meta,0.051898
beehiiv,0.38385147,meta,0.051898
amazon,0.73351014,meta,0.051898
meta,0.084300235,meta,0.072657
google,0.04207974,meta,0.072657
snapchat,0.077218875,meta,0.072657
tiktok,0.1334199,meta,0.072657
moloco,0.26406333,meta,0.072657
liveintent,0.29635063,meta,0.072657
beehiiv,0.37571687,meta,0.072657
amazon,0.7627087,meta,0.072657
meta,0.08429305,meta,0.103795
google,0.0410688,meta,0.103795
snapchat,0.072434835,meta,0.103795
tiktok,0.13276671,meta,0.103795
moloco,0.25314385,meta,0.103795
liveintent,0.28785366,meta,0.103795
beehiiv,0.35395297,meta,0.103795
amazon,0.7194334,meta,0.103795
meta,0.09155051,google,0.020759
google,0.043628097,google,0.020759
snapchat,0.096471675,google,0.020759
tiktok,0.12318502,google,0.020759
moloco,0.30031994,google,0.020759
liveintent,0.25032136,google,0.020759
beehiiv,0.34731722,google,0.020759
amazon,0.6437053,google,0.020759
meta,0.08669288,google,0.036328
google,0.04475062,google,0.036328
snapchat,0.09063743,google,0.036328
tiktok,0.12512831,google,0.036328
moloco,0.25810882,google,0.036328
liveintent,0.2322594,google,0.036328
beehiiv,0.36473432,google,0.036328
amazon,0.6987803,google,0.036328
meta,0.08940476,google,0.051898
google,0.043799184,google,0.051898
snapchat,0.09046131,google,0.051898
tiktok,0.12312549,google,0.051898
moloco,0.26886982,google,0.051898
liveintent,0.21951187,google,0.051898
beehiiv,0.37286404,google,0.051898
amazon,0.6906074,google,0.051898
meta,0.08852275,google,0.072657
google,0.048263438,google,0.072657
snapchat,0.09288904,google,0.072657
tiktok,0.13137528,google,0.072657
moloco,0.26005143,google,0.072657
liveintent,0.22661166,google,0.072657
beehiiv,0.37323672,google,0.072657
amazon,0.6690885,google,0.072657
meta,0.093825996,google,0.103795
google,0.0400336,google,0.103795
snapchat,0.07958073,google,0.103795
tiktok,0.12438091,google,0.103795
moloco,0.24397953,google,0.103795
liveintent,0.29105416,google,0.103795
beehiiv,0.36352628,google,0.103795
amazon,0.7923392,google,0.103795
meta,0.08875883,snapchat,0.020759
google,0.049164053,snapchat,0.020759
snapchat,0.081520006,snapchat,0.020759
tiktok,0.12625985,snapchat,0.020759
moloco,0.2627454,snapchat,0.020759
liveintent,0.21831255,snapchat,0.020759
beehiiv,0.36857715,snapchat,0.020759
amazon,0.7190695,snapchat,0.020759
meta,0.09160973,snapchat,0.036328
google,0.039954323,snapchat,0.036328
snapchat,0.067118876,snapchat,0.036328
tiktok,0.13009703,snapchat,0.036328
moloco,0.21145959,snapchat,0.036328
liveintent,0.23622966,snapchat,0.036328
beehiiv,0.44736227,snapchat,0.036328
amazon,0.8296706,snapchat,0.036328
meta,0.089318775,snapchat,0.051898
google,0.05022188,snapchat,0.051898
snapchat,0.083683506,snapchat,0.051898
tiktok,0.12973927,snapchat,0.051898
moloco,0.2587999,snapchat,0.051898
liveintent,0.21663523,snapchat,0.051898
beehiiv,0.359217,snapchat,0.051898
amazon,0.72658527,snapchat,0.051898
meta,0.08973497,snapchat,0.072657
google,0.04954886,snapchat,0.072657
snapchat,0.07259007,snapchat,0.072657
tiktok,0.13104913,snapchat,0.072657
moloco,0.25433335,snapchat,0.072657
liveintent,0.25697282,snapchat,0.072657
beehiiv,0.34700456,snapchat,0.072657
amazon,0.7279459,snapchat,0.072657
meta,0.09274853,snapchat,0.103795
google,0.042223014,snapchat,0.103795
snapchat,0.07460675,snapchat,0.103795
tiktok,0.12219842,snapchat,0.103795
moloco,0.2369113,snapchat,0.103795
liveintent,0.27450493,snapchat,0.103795
beehiiv,0.36667287,snapchat,0.103795
