channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,0.017757207,meta,0.020759,0.006689,Normal
meta,0.06272099,meta,0.020759,0.006689,Normal
meta,-0.106932364,meta,0.020759,0.006689,Normal
meta,-0.08385612,meta,0.020759,0.006689,Normal
meta,0.08320617,meta,0.020759,0.006689,Normal
meta,0.1726658,meta,0.020759,0.006689,Normal
meta,0.2697974,meta,0.020759,0.006689,Normal
meta,0.23031549,meta,0.020759,0.006689,Normal
meta,1.0179904,meta,0.020759,0.006689,LogNormal
meta,0.03654341,meta,0.020759,0.006689,LogNormal
meta,0.07123177,meta,0.020759,0.006689,LogNormal
meta,0.13687484,meta,0.020759,0.006689,LogNormal
meta,0.22223337,meta,0.020759,0.006689,LogNormal
meta,0.23517728,meta,0.020759,0.006689,LogNormal
meta,0.35670286,meta,0.020759,0.006689,LogNormal
meta,1.0637249,meta,0.020759,0.006689,LogNormal
meta,0.012007904,meta,0.020759,0.011706,Normal
meta,-0.034663517,meta,0.020759,0.011706,Normal
meta,0.004511307,meta,0.020759,0.011706,Normal
meta,-0.029389733,meta,0.020759,0.011706,Normal
meta,0.12252221,meta,0.020759,0.011706,Normal
meta,0.3461923,meta,0.020759,0.011706,Normal
meta,0.39853737,meta,0.020759,0.011706,Normal
meta,0.26865137,meta,0.020759,0.011706,Normal
meta,1.0097914,meta,0.020759,0.011706,LogNormal
meta,0.03723747,meta,0.020759,0.011706,LogNormal
meta,0.07437453,meta,0.020759,0.011706,LogNormal
meta,0.13335799,meta,0.020759,0.011706,LogNormal
meta,0.24143426,meta,0.020759,0.011706,LogNormal
meta,0.20911114,meta,0.020759,0.011706,LogNormal
meta,0.3257253,meta,0.020759,0.011706,LogNormal
meta,0.88390666,meta,0.020759,0.011706,LogNormal
meta,0.008924084,meta,0.020759,0.016722,Normal
meta,-0.015782472,meta,0.020759,0.016722,Normal
meta,-0.03751529,meta,0.020759,0.016722,Normal
meta,-0.03408974,meta,0.020759,0.016722,Normal
meta,0.064576864,meta,0.020759,0.016722,Normal
meta,0.40169343,meta,0.020759,0.016722,Normal
meta,0.34286213,meta,0.020759,0.016722,Normal
meta,0.23396775,meta,0.020759,0.016722,Normal
meta,0.9978539,meta,0.020759,0.016722,LogNormal
meta,0.037344202,meta,0.020759,0.016722,LogNormal
meta,0.06754403,meta,0.020759,0.016722,LogNormal
meta,0.15082678,meta,0.020759,0.016722,LogNormal
meta,0.22693484,meta,0.020759,0.016722,LogNormal
meta,0.2608531,meta,0.020759,0.016722,LogNormal
meta,0.34896466,meta,0.020759,0.016722,LogNormal
meta,0.9015254,meta,0.020759,0.016722,LogNormal
meta,0.0034557704,meta,0.020759,0.023411,Normal
meta,-0.014346169,meta,0.020759,0.023411,Normal
meta,-0.027498256,meta,0.020759,0.023411,Normal
meta,-0.03900031,meta,0.020759,0.023411,Normal
meta,0.09813112,meta,0.020759,0.023411,Normal
meta,0.35851344,meta,0.020759,0.023411,Normal
meta,0.2941182,meta,0.020759,0.023411,Normal
meta,0.25312752,meta,0.020759,0.023411,Normal
meta,0.9764681,meta,0.020759,0.023411,LogNormal
meta,0.036607236,meta,0.020759,0.023411,LogNormal
meta,0.07261711,meta,0.020759,0.023411,LogNormal
meta,0.13212553,meta,0.020759,0.023411,LogNormal
meta,0.23486681,meta,0.020759,0.023411,LogNormal
meta,0.25067508,meta,0.020759,0.023411,LogNormal
meta,0.35591322,meta,0.020759,0.023411,LogNormal
meta,1.0892661,meta,0.020759,0.023411,LogNormal
meta,-0.010397501,meta,0.020759,0.033445,Normal
meta,-0.027706495,meta,0.020759,0.033445,Normal
