channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,targets,prior_key,roi_prior_overrides_json
meta,0.026570657,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
google,-0.04092361,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
snapchat,-0.01212319,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
tiktok,0.0341912,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
moloco,0.07232722,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
liveintent,0.41950423,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
beehiiv,0.27842426,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
amazon,0.20085232,"meta,tiktok",0.036328,0.011706,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
meta,1.0321397,"meta,tiktok",0.036328,0.011706,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
google,0.056304354,"meta,tiktok",0.036328,0.011706,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
snapchat,0.11382586,"meta,tiktok",0.036328,0.011706,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
tiktok,1.0267985,"meta,tiktok",0.036328,0.011706,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}"
