run_id,prior_key,channel,estimated_roi
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,0.0185899
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,-0.017251562
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,-0.007112108
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,-0.013461895
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,0.054181952
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,0.28801972
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,0.30937764
multi|meta|0.020759|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,0.25514734
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,0.01827129
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,0.020447234
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,0.033674814
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,0.043821894
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,0.09301746
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,0.114065535
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,0.18213752
multi|meta|0.020759|0.006689|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,0.17286457
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",meta,0.01049776
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",google,-0.017106326
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",snapchat,-0.00704856
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",tiktok,-0.018727226
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",moloco,0.060003597
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",liveintent,0.30810672
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",beehiiv,0.31557515
multi|meta|0.020759|0.016722|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",amazon,0.26656115
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",meta,0.013273764
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",google,0.02057243
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",snapchat,0.033513848
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",tiktok,0.043389622
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",moloco,0.09352531
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",liveintent,0.11477737
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",beehiiv,0.17978817
multi|meta|0.020759|0.016722|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}",amazon,0.17219043
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",meta,-0.0050258096
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",google,-0.01880941
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",snapchat,-0.004023943
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",tiktok,-0.026616652
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",moloco,0.064861074
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",liveintent,0.33066064
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",beehiiv,0.3081192
multi|meta|0.020759|0.033445|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",amazon,0.2765304
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",meta,0.008740657
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",google,0.020641694
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",snapchat,0.034440268
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",tiktok,0.04316988
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",moloco,0.093999885
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",liveintent,0.116957806
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",beehiiv,0.1831725
multi|meta|0.020759|0.033445|LogNormal,"{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}",amazon,0.17239879
multi|meta|0.051898|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",meta,0.049273655
multi|meta|0.051898|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",google,-0.014190098
multi|meta|0.051898|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",snapchat,-0.013467431
multi|meta|0.051898|0.006689|Normal,"{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}",tiktok,-0.0124258725
