run_id,targets,prior_key,channel,qc_status_code,qc_summary_short,qc_primary_review_check,qc_flagged_channels,roi_baseline,roi_new,delta_abs,delta_pct,channel_total_spend,incremental_outcome_baseline,incremental_outcome_new,delta_outcome,delta_outcome_abs,dollars_per_subscription,incremental_value_baseline,incremental_value_new,delta_value,delta_value_abs
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,PASS,PASS,,,-0.039971717,-0.030660229,0.009311487999999996,0.23295191447492725,840158.1265220001,-33582.56286858758,-25759.440555375495,7823.122313212083,7823.122313212083,100.0,-3358256.286858758,-2575944.0555375493,782312.2313212086,782312.2313212086
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,PASS,PASS,,,-0.014083741,-0.006796887,0.007286854000000001,0.517394774584395,10298543.94665,-145042.02562173642,-69998.03946991407,75043.98615182235,75043.98615182235,100.0,-14504202.562173642,-6999803.946991407,7504398.615182235,7504398.615182235
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,PASS,PASS,,,0.040842675,0.035834536,0.005008139000000002,0.12262024953066863,4342436.908989999,177356.73938188315,155609.21174293087,-21747.527638952277,21747.527638952277,100.0,17735673.938188314,15560921.174293088,-2174752.7638952266,2174752.7638952266
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,PASS,PASS,,,-0.0076278066,-0.0073099397,0.00031786689999999986,0.04167212367445183,1752685.0091300001,-13369.142280362876,-12812.02172983425,557.1205505286252,557.1205505286252,100.0,-1336914.2280362875,-1281202.172983425,55712.0550528625,55712.0550528625
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,PASS,PASS,,,0.053634446,0.021455728,0.032178718,0.5999636502258269,842234.6095886,45172.78668731085,18070.756695519194,-27102.029991791656,27102.029991791656,100.0,4517278.668731085,1807075.6695519194,-2710202.999179166,2710202.999179166
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,PASS,PASS,,,0.05361623,0.021011261,0.032604969,0.608117523369323,797987.173079,42785.06380885347,16766.716768215043,-26018.347040638426,26018.347040638426,100.0,4278506.380885347,1676671.6768215043,-2601834.7040638425,2601834.7040638425
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,PASS,PASS,,,0.053885467,0.020987097,0.032898369999999996,0.610523984138432,328172.2732613,17683.71620113676,6887.383331645409,-10796.332869491353,10796.332869491353,100.0,1768371.6201136762,688738.3331645409,-1079633.2869491354,1079633.2869491354
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|Normal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,PASS,PASS,,,0.28516877,0.27334133,0.011827440000000022,0.041475228861842184,15740.258094,4488.630040148525,4302.463081957225,-186.16695819130018,186.16695819130018,100.0,448863.0040148525,430246.30819572246,-18616.69581913005,18616.69581913005
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,-0.039971717,0.031111874,0.071083591,1.7783471998463314,840158.1265220001,-33582.56286858758,26138.893772428524,59721.456641016106,59721.456641016106,100.0,-3358256.286858758,2613889.3772428525,5972145.66410161,5972145.66410161
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,-0.014083741,0.02259925,0.036682991,2.6046340244399553,10298543.94665,-145042.02562173642,232739.36928633004,377781.3949080665,377781.3949080665,100.0,-14504202.562173642,23273936.928633004,37778139.49080665,37778139.49080665
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,0.040842675,0.037552167,0.0032905080000000045,0.08056543798857452,4342436.908989999,177356.73938188315,163067.91599335626,-14288.823388526886,14288.823388526886,100.0,17735673.938188314,16306791.599335626,-1428882.3388526887,1428882.3388526887
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,-0.0076278066,0.048138693,0.055766499600000005,7.310948287545728,1752685.0091300001,-13369.142280362876,84371.96558021128,97741.10786057416,97741.10786057416,100.0,-1336914.2280362875,8437196.558021128,9774110.786057416,9774110.786057416
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,0.053634446,0.021207612,0.032426834,0.6045897071445466,842234.6095886,45172.78668731085,17861.78481312651,-27311.00187418434,27311.00187418434,100.0,4517278.668731085,1786178.481312651,-2731100.187418434,2731100.187418434
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,0.05361623,0.020783639,0.032832591,0.6123629169749534,797987.173079,42785.06380885347,16585.077331904453,-26199.986476949016,26199.986476949016,100.0,4278506.380885347,1658507.7331904452,-2619998.6476949016,2619998.6476949016
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,0.053885467,0.020947669,0.032937798000000004,0.6112556842088795,328172.2732613,17683.71620113676,6874.444155255263,-10809.272045881498,10809.272045881498,100.0,1768371.6201136762,687444.4155255263,-1080927.20458815,1080927.20458815
"multi|beehiiv,liveintent,moloco|0.020759|0.006689|LogNormal","beehiiv,liveintent,moloco","{""beehiiv"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""liveintent"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""moloco"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,REVIEW,REVIEW:PriorPosteriorShift,PriorPosteriorShift,liveintent,0.28516877,0.17972049,0.10544828,0.36977499324347474,15740.258094,4488.630040148525,2828.8468973801464,-1659.7831427683786,1659.7831427683786,100.0,448863.0040148525,282884.68973801465,-165978.31427683786,165978.31427683786
