run_id,targets,prior_key,channel,qc_status_code,qc_summary_short,qc_primary_review_check,qc_flagged_channels,roi_baseline,roi_new,delta_abs,delta_pct,channel_total_spend,incremental_outcome_baseline,incremental_outcome_new,delta_outcome,delta_outcome_abs,dollars_per_subscription,incremental_value_baseline,incremental_value_new,delta_value,delta_value_abs
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,PASS,PASS,,,0.038441,0.018903013,0.019537987000000003,0.5082590723446321,840158.1265220001,32296.518541632206,15881.51998770101,-16414.998553931197,16414.998553931197,100.0,3229651.8541632206,1588151.998770101,-1641499.8553931196,1641499.8553931196
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,PASS,PASS,,,0.03336005,0.018110605,0.015249445000000004,0.45711697074794566,10298543.94665,343559.94098744134,186512.8614929192,-157047.07949452213,157047.07949452213,100.0,34355994.09874413,18651286.14929192,-15704707.94945221,15704707.94945221
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",snapchat,PASS,PASS,,,-0.045233604,-0.025263855,0.019969748999999995,0.441480387014928,4342436.908989999,-196424.07153623766,-109706.69641537155,86717.37512086611,86717.37512086611,100.0,-19642407.153623767,-10970669.641537156,8671737.512086611,8671737.512086611
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",tiktok,PASS,PASS,,,0.043795947,0.019735118,0.024060829000000002,0.549384832345331,1752685.0091300001,76760.499767552,34589.44547201163,-42171.05429554037,42171.05429554037,100.0,7676049.9767552,3458944.5472011627,-4217105.429554038,4217105.429554038
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",moloco,PASS,PASS,,,0.08279834,0.08244372,0.00035461999999999994,0.004282936107173119,842234.6095886,69735.62756448417,69436.95432723186,-298.6732372523111,298.6732372523111,100.0,6973562.756448417,6943695.432723185,-29867.323725231923,29867.323725231923
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",liveintent,PASS,PASS,,,0.013991427,0.10666274,0.092671313,6.623435407982331,797987.173079,11164.979279071194,85115.49836546037,73950.51908638918,73950.51908638918,100.0,1116497.9279071195,8511549.836546037,7395051.908638918,7395051.908638918
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",beehiiv,PASS,PASS,,,0.14133364,0.21821329,0.07687965,0.5439586074483045,328172.2732613,46381.781927094205,71611.5514351273,25229.769508033096,25229.769508033096,100.0,4638178.192709421,7161155.1435127305,2522976.9508033097,2522976.9508033097
"multi|google,meta,tiktok|0.020759|0.006689|Normal","google,meta,tiktok","{""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",amazon,PASS,PASS,,,0.04676712,0.15210909,0.10534197000000001,2.2524793059739405,15740.258094,736.1265391130694,2394.236335043475,1658.1097959304054,1658.1097959304054,100.0,73612.65391130694,239423.63350434747,165810.97959304054,165810.97959304054
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal","google,meta,tiktok","{""google"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",meta,FAIL,FAIL:Convergence,Convergence,"max_r_hat,roi_m",0.038441,0.018382765,0.020058235000000004,0.5217927473270727,840158.1265220001,32296.518541632206,15444.429402694193,-16852.089138938012,16852.089138938012,100.0,3229651.8541632206,1544442.9402694195,-1685208.9138938012,1685208.9138938012
"multi|google,meta,tiktok|0.020759|0.006689|LogNormal","google,meta,tiktok","{""google"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}",google,FAIL,FAIL:Convergence,Convergence,"max_r_hat,roi_m",0.03336005,0.017068785,0.016291265000000003,0.4883465402479913,10298543.94665,343559.94098744134,175783.63243842032,-167776.30854902102,167776.30854902102,100.0,34355994.09874413,17578363.24384203,-16777630.8549021,16777630.8549021
